episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,79.67,0.0,100,16,108.5,7.5,101.0,0.01,0.98,2.81,0.08,-2.07,2.49,3.37,2.74,3.45,9.56,0.75,0.06
2,29.25,0.0,100,16,108.5,7.5,101.0,0.69,0.03,0.03,0.57,0.09,0.17,1.4,0.69,1.42,3.51,0.75,0.07
3,50.75,0.0,100,2,102.5,1.5,101.0,0.58,0.07,-0.06,0.49,0.09,-0.06,2.33,1.78,1.98,6.09,0.75,0.06
4,43.75,0.0,100,16,108.5,7.5,101.0,0.61,0.06,-0.13,0.52,0.14,-0.12,2.1,1.45,1.7,5.25,0.75,0.06
5,32.08,0.0,100,8,106.0,5.0,101.0,0.67,0.03,0.09,0.54,-0.01,0.17,1.45,0.82,1.58,3.85,0.75,0.07
6,28.67,0.0,100,4,103.5,2.5,101.0,0.69,0.03,0.04,0.56,0.08,0.16,1.35,0.7,1.39,3.44,0.75,0.07
7,80.58,0.0,100,2.38,53.01,1.69,51.32,0.01,0.97,2.99,0.08,-2.07,2.39,3.41,2.75,3.51,9.67,0.52,0.06
8,80.0,0.0,100,2,102.5,1.5,101.0,0.01,0.97,3.73,0.08,-2.08,2.12,3.42,2.7,3.48,9.6,0.75,0.06
9,29.25,0.0,100,32,109.5,8.5,101.0,0.67,0.03,0.1,0.54,0.03,0.22,1.32,0.64,1.55,3.51,0.75,0.06
10,28.83,0.0,100,32,109.5,8.5,101.0,0.67,0.03,0.09,0.54,0.03,0.22,1.33,0.64,1.49,3.46,0.75,0.06
11,80.0,0.0,100,64,111.0,10.0,101.0,0.01,0.98,2.68,0.08,-2.07,2.42,3.38,2.79,3.43,9.6,0.75,0.06
12,33.42,0.0,100,1.43,53.2,1.22,51.98,0.65,0.05,-0.03,0.55,0.14,0.05,1.65,0.92,1.44,4.01,0.54,0.06
13,53.08,0.0,100,8,106.0,5.0,101.0,0.6,0.06,-0.02,0.5,0.06,-0.09,2.46,1.89,2.02,6.37,0.75,0.06
14,45.08,0.0,100,4,103.5,2.5,101.0,0.6,0.06,-0.11,0.51,0.13,-0.13,2.18,1.5,1.73,5.41,0.75,0.06
15,81.42,0.0,100,16,108.5,7.5,101.0,0.01,0.96,4.5,0.07,-2.08,2.02,3.47,2.77,3.53,9.77,0.75,0.06
16,79.58,0.0,100,16,108.5,7.5,101.0,0.01,0.97,2.9,0.08,-2.07,2.41,3.36,2.75,3.44,9.55,0.75,0.06
17,57.42,0.0,100,8,106.0,5.0,101.0,0.6,0.06,0.01,0.5,0.05,-0.03,2.59,2.06,2.24,6.89,0.75,0.06
18,50.58,0.0,100,32,109.5,8.5,101.0,0.6,0.06,-0.02,0.51,0.08,-0.02,2.34,1.8,1.93,6.07,0.75,0.06
19,79.42,0.0,100,32,109.5,8.5,101.0,0.01,0.98,2.56,0.09,-2.07,2.5,3.36,2.73,3.44,9.53,0.75,0.06
20,80.25,0.0,100,32,109.5,8.5,101.0,0.01,0.97,2.99,0.08,-2.07,2.42,3.39,2.75,3.49,9.63,0.75,0.06
21,54.08,0.0,100,64,111.0,10.0,101.0,0.59,0.06,-0.04,0.5,0.07,-0.04,2.44,1.92,2.13,6.49,0.75,0.06
22,79.75,0.0,100,2,102.5,1.5,101.0,0.01,0.98,2.21,0.09,-2.07,2.5,3.39,2.74,3.44,9.57,0.75,0.06
23,79.83,0.0,100,32,109.5,8.5,101.0,0.01,0.97,2.9,0.08,-2.07,2.51,3.37,2.79,3.42,9.58,0.75,0.06
24,53.75,0.0,100,16,108.5,7.5,101.0,0.6,0.06,0.03,0.5,0.07,-0.04,2.39,1.95,2.11,6.45,0.75,0.06
25,31.75,0.0,100,64,111.0,10.0,101.0,0.67,0.03,0.1,0.54,0.01,0.24,1.35,0.82,1.64,3.81,0.75,0.06
26,81.58,0.0,100,2,102.5,1.5,101.0,0.01,0.97,3.25,0.08,-2.07,2.26,3.45,2.79,3.55,9.79,0.75,0.06
27,29.33,0.0,100,8,106.0,5.0,101.0,0.68,0.03,0.07,0.56,0.08,0.12,1.35,0.69,1.48,3.52,0.75,0.06
28,80.83,0.0,100,16,108.5,7.5,101.0,0.01,0.98,2.71,0.08,-2.07,2.41,3.44,2.75,3.51,9.7,0.75,0.06
29,29.0,0.0,100,32,109.5,8.5,101.0,0.69,0.03,0.06,0.57,0.1,0.08,1.4,0.68,1.4,3.48,0.75,0.06
30,64.08,0.0,100,2.17,55.0,1.58,53.42,0.37,0.41,1.07,0.34,-0.77,0.98,2.81,2.29,2.59,7.69,0.56,0.07
31,78.58,0.0,100,4,103.5,2.5,101.0,0.01,0.97,2.9,0.08,-2.07,2.42,3.3,2.75,3.38,9.43,0.75,0.06
32,28.5,0.0,100,16,108.5,7.5,101.0,0.7,0.03,0.02,0.58,0.13,0.15,1.37,0.67,1.38,3.42,0.75,0.06
33,80.75,0.0,100,64,111.0,10.0,101.0,0.01,0.97,3.28,0.08,-2.08,2.21,3.45,2.7,3.54,9.69,0.75,0.06
34,79.0,0.0,100,8,106.0,5.0,101.0,0.01,0.97,3.38,0.08,-2.08,2.24,3.35,2.69,3.44,9.48,0.75,0.06
35,81.0,0.0,100,8,106.0,5.0,101.0,0.01,0.98,2.63,0.08,-2.07,2.29,3.45,2.72,3.55,9.72,0.75,0.06
36,55.58,0.0,100,32,109.5,8.5,101.0,0.59,0.06,0.01,0.5,0.06,-0.01,2.49,1.99,2.19,6.67,0.75,0.07
37,43.5,0.0,100,64,111.0,10.0,101.0,0.6,0.06,-0.11,0.52,0.13,-0.09,2.12,1.46,1.64,5.22,0.75,0.06
38,68.92,0.0,100,2.8,54.9,1.9,53.0,0.24,0.61,2.19,0.24,-1.22,1.32,3.05,2.36,2.86,8.27,0.55,0.07
39,28.75,0.0,100,8,106.0,5.0,101.0,0.68,0.03,0.13,0.55,0.06,0.18,1.28,0.63,1.54,3.45,0.75,0.06
40,79.83,0.0,100,32,109.5,8.5,101.0,0.01,0.98,2.85,0.08,-2.07,2.38,3.39,2.7,3.49,9.58,0.75,0.06
41,32.83,0.0,100,16.5,55.75,4.75,51.0,0.68,0.03,0.1,0.56,0.05,0.17,1.49,0.86,1.59,3.94,0.5,0.06
42,27.25,0.0,100,8,106.0,5.0,101.0,0.68,0.03,0.09,0.56,0.09,0.18,1.26,0.55,1.46,3.27,0.75,0.06
43,31.08,0.0,100,64,111.0,10.0,101.0,0.69,0.03,0.02,0.56,0.05,0.26,1.4,0.85,1.48,3.73,0.75,0.06
44,44.83,0.0,100,11.95,67.32,5.75,61.58,0.5,0.28,1.12,0.43,-0.52,0.72,2.01,1.3,2.07,5.38,0.62,0.06
45,29.67,0.0,100,64,111.0,10.0,101.0,0.69,0.03,0.03,0.58,0.12,0.08,1.44,0.76,1.36,3.56,0.75,0.06
46,50.92,0.0,100,8,106.0,5.0,101.0,0.59,0.06,-0.03,0.5,0.07,-0.01,2.34,1.83,1.94,6.11,0.75,0.06
47,28.83,0.0,100,8,106.0,5.0,101.0,0.7,0.03,0.06,0.58,0.13,0.19,1.32,0.74,1.4,3.46,0.75,0.06
48,49.42,0.0,100,64,111.0,10.0,101.0,0.58,0.07,-0.07,0.5,0.08,-0.15,2.33,1.68,1.92,5.93,0.75,0.06
49,26.92,0.0,100,32,109.5,8.5,101.0,0.7,0.04,0.08,0.58,0.15,0.15,1.33,0.57,1.33,3.23,0.75,0.06
