,timestamp,SessionID,CandidateID,Config,latency,throttle,throuput_dl,throuput_ul,packetsize_dl,packetsize_ul,inter_arrival_dl,inter_arrival_ul
0,0,1,A,D,500.0,500.0,587.592,846.128,442.46385542168673,656.9316770186335,0.0031178433734939757,0.006140571428571428
1,1,1,A,D,500.0,500.0,603.816,813.024,460.2256097560976,655.6645161290322,0.0031417560975609752,0.006392470967741936
2,2,1,A,D,500.0,500.0,591.744,798.144,451.0243902439024,631.4430379746835,0.0031202865853658538,0.006253626582278481
3,3,1,A,D,500.0,500.0,349.16,791.72,495.96590909090907,638.483870967742,4.409090909091029e-05,0.006359754838709676
4,4,1,A,D,500.0,500.0,623.856,792.096,472.6181818181818,634.6923076923077,0.0031239272727272734,0.006251641025641031
5,5,1,A,D,500.0,500.0,646.736,810.816,484.08383233532936,649.6923076923077,0.00309452095808383,0.006341358974358972
6,6,1,A,D,500.0,500.0,646.248,695.712,486.63253012048193,583.6510067114094,0.0031191084337349392,0.006633476510067117
7,7,1,A,D,500.0,500.0,700.024,792.216,491.58988764044943,600.1636363636363,0.0031205561797752806,0.005992836363636359
8,8,1,A,D,500.0,500.0,609.664,663.552,450.93491124260356,524.9620253164557,0.003094041420118342,0.006249810126582279
9,9,1,A,D,500.0,500.0,511.424,741.032,376.0470588235294,575.335403726708,0.00309962352941177,0.0061258819875776496
10,10,1,A,D,500.0,500.0,529.784,786.584,403.7987804878049,610.7018633540373,0.003128341463414631,0.006040198757763974
11,11,1,A,D,500.0,500.0,603.112,842.032,448.7440476190476,657.8375,0.003088238095238087,0.006179587500000005
12,12,1,A,D,500.0,500.0,548.832,840.576,431.47169811320754,652.6211180124224,0.003202836477987415,0.006130838509316766
13,13,1,A,D,500.0,500.0,624.472,724.992,456.48538011695905,592.3137254901961,0.003011538011695903,0.006465849673202621
14,14,1,A,D,500.0,500.0,665.384,855.272,489.2529411764706,672.3836477987421,0.0030218235294117626,0.006224157232704407
15,15,1,A,D,500.0,500.0,667.392,958.248,493.63313609467457,739.3888888888889,0.003107272189349111,0.006076623456790124
16,16,1,A,D,500.0,500.0,690.544,923.608,504.7836257309942,744.8451612903226,0.0030367426900584885,0.0062643483870967855
17,17,1,A,D,500.0,500.0,540.344,873.392,427.4873417721519,673.9135802469136,0.0034494113924050745,0.006103320987654308
18,18,1,A,D,500.0,500.0,514.728,763.944,437.6938775510204,612.1346153846154,0.0035311224489795977,0.006349846153846159
19,19,1,A,D,500.0,500.0,313.184,667.528,403.58762886597935,534.8782051282051,0.0001597010309278434,0.0063341025641025775
20,20,1,A,D,500.0,500.0,512.152,696.392,415.7077922077922,558.0064102564103,0.0035239675324675182,0.006338480769230774
21,21,1,A,D,500.0,500.0,406.144,671.224,317.3,541.3096774193548,0.00325295000000001,0.0062764322580645265
22,22,1,A,D,500.0,500.0,517.488,804.816,406.8301886792453,649.0451612903225,0.003193006289308164,0.0063641612903225795
23,23,1,A,D,500.0,500.0,533.192,803.248,408.88957055214723,631.4842767295597,0.003116907975460122,0.006215415094339612
24,24,1,A,D,500.0,500.0,562.656,907.368,447.97452229299364,713.3396226415094,0.0032969872611464802,0.00622867295597483
25,25,1,A,D,500.0,500.0,603.8,764.896,457.42424242424244,646.027027027027,0.0032287696969697,0.006673263513513527
26,26,1,A,D,500.0,500.0,666.616,872.6,551.8344370860927,694.7452229299363,0.0035183046357615904,0.0062957070063694295
27,27,1,A,D,500.0,500.0,708.032,869.2,675.6030534351145,687.6582278481013,0.003910122137404594,0.006155424050632924
28,28,1,A,D,500.0,500.0,551.888,909.52,718.6041666666666,715.0314465408806,4.278125000001243e-05,0.006207056603773584
29,29,1,A,D,500.0,500.0,787.8,1069.832,619.3396226415094,825.4876543209876,0.003235477987421393,0.00610366666666668
30,30,1,A,D,500.0,500.0,694.736,1013.304,563.9090909090909,822.487012987013,0.0032854090909090784,0.006427233766233765
31,31,1,A,D,500.0,500.0,600.88,832.8,455.2121212121212,642.5925925925926,0.003170284848484848,0.006099919753086419
32,32,1,A,D,500.0,500.0,588.36,812.016,468.43949044585986,659.1038961038961,0.0033092420382165597,0.006416084415584396
33,33,1,A,D,500.0,500.0,588.104,776.096,448.25,606.325,0.003248134146341503,0.006162425000000038
34,34,1,A,D,500.0,500.0,508.328,649.144,399.62893081761007,537.3708609271523,0.003257069182389976,0.0064397748344370825
35,35,1,A,D,500.0,500.0,461.36,580.912,367.3248407643312,465.47435897435895,0.003277312101910839,0.006324884615384627
36,36,1,A,D,500.0,500.0,388.064,717.824,577.4761904761905,560.8,3.825000000002801e-05,0.006176187499999974
37,37,1,A,D,500.0,500.0,666.432,805.192,514.2222222222222,637.0189873417721,0.003212160493827159,0.006257867088607592
38,38,1,A,D,500.0,500.0,709.832,849.16,568.775641025641,671.8037974683544,0.0032590128205128256,0.006253955696202555
39,39,1,A,D,500.0,500.0,742.728,732.864,580.25625,631.7793103448275,0.003179825000000003,0.006801572413793131
40,40,1,A,D,500.0,500.0,693.128,862.048,551.8535031847134,695.2,0.0032850254777070037,0.006275135483870951
41,41,1,A,D,500.0,500.0,666.248,859.552,510.92638036809814,667.3540372670808,0.003166472392638027,0.006138472049689417
42,42,1,A,D,500.0,500.0,628.792,889.296,497.4620253164557,805.5217391304348,0.0034483037974683516,0.00712587681159419
43,43,1,A,D,500.0,500.0,613.104,1054.216,461.67469879518075,813.4382716049382,0.0032557650602409423,0.006069617283950652
44,44,1,A,D,500.0,500.0,701.656,799.88,538.079754601227,645.0645161290323,0.003161785276073631,0.006378070967741953
45,45,1,A,D,500.0,500.0,606.48,940.992,462.2560975609756,726.074074074074,0.0031580365853658204,0.006002450617283956
46,46,1,A,D,500.0,500.0,617.152,1008.56,491.3630573248408,797.9113924050633,0.0033470700636942987,0.006239803797468356
47,47,1,A,D,500.0,500.0,601.424,921.992,442.22352941176473,758.2171052631579,0.003206658823529426,0.006503598684210506
48,48,1,A,D,500.0,500.0,559.984,646.024,432.08641975308643,511.09493670886076,0.003197129629629638,0.006269512658227854
49,49,1,A,D,500.0,500.0,437.648,717.752,374.6986301369863,557.2608695652174,0.00352469863013699,0.0061372236024844675
50,50,1,A,D,500.0,500.0,453.424,999.488,407.75539568345323,776.0,0.003639345323741037,0.0061391677018633834
51,51,1,A,D,500.0,500.0,640.08,871.56,462.485549132948,712.0588235294117,0.0031430231213872787,0.006359607843137243
52,52,1,A,D,500.0,500.0,455.28,798.992,421.55555555555554,632.1139240506329,0.003788088888888894,0.006238056962025321
53,53,1,A,D,500.0,500.0,347.536,871.048,417.71153846153845,680.50625,0.0048740192307692954,0.006177518749999988
54,54,1,A,D,500.0,500.0,510.432,914.52,391.4355828220859,728.1210191082803,0.0031493251533742297,0.0063099363057324736
55,55,1,A,D,500.0,500.0,573.752,881.12,434.6606060606061,701.5286624203821,0.0032574121212121123,0.006306369426751581
56,56,1,A,D,500.0,500.0,537.848,681.08,425.5126582278481,575.2364864864865,0.0032808797468354624,0.0066766959459459594
57,57,1,A,D,500.0,500.0,544.08,808.352,419.81481481481484,660.4183006535948,0.0031442407407407252,0.0063581111111111165
58,58,1,A,D,500.0,500.0,575.992,820.52,449.99375,637.0496894409938,0.003202650000000018,0.006129813664596308
59,59,1,A,D,500.0,500.0,592.912,878.216,446.4698795180723,694.7911392405064,0.003209614457831311,0.006249601265822784
60,60,1,A,D,500.0,500.0,582.2,966.232,457.70440251572325,750.1801242236024,0.0032093396226415298,0.00615799999999997
61,61,1,A,D,500.0,500.0,561.616,924.088,428.0609756097561,740.4551282051282,0.0031480548780487764,0.006337820512820522
62,62,1,A,D,500.0,500.0,583.152,902.4,447.20245398773005,709.433962264151,0.0032295705521472057,0.0062094716981131864
63,63,1,A,D,500.0,500.0,663.312,1000.288,496.49101796407183,767.0920245398773,0.0032106227544910337,0.006039999999999977
64,64,1,A,D,500.0,500.0,659.608,904.776,505.83435582822085,802.1063829787234,0.003156797546012232,0.0069116170212766646
65,65,1,A,D,500.0,500.0,786.352,1040.248,614.3375,844.3571428571429,0.0032082687499999985,0.006421116883116846
66,66,1,A,D,500.0,500.0,1033.328,833.928,755.3567251461989,647.4596273291926,0.003025994152046838,0.0061534285714286525
67,67,1,A,D,500.0,500.0,733.184,719.272,587.4871794871794,583.8246753246754,0.0033145833333332775,0.006420798701298729
68,68,1,A,D,500.0,500.0,565.96,664.048,436.6975308641975,515.5652173913044,0.0031956234567901186,0.006130683229813711
69,69,1,A,D,500.0,500.0,527.904,747.36,409.8633540372671,610.5882352941177,0.003320204968944115,0.006357477124183034
70,70,1,A,D,500.0,500.0,281.344,818.608,418.6666666666667,639.5375,3.286904761912708e-05,0.0061532687499999735
71,71,1,A,D,500.0,500.0,553.344,834.304,421.7560975609756,672.825806451613,0.0031951219512195176,0.006375096774193557
72,72,1,A,D,500.0,500.0,573.48,721.488,450.8490566037736,621.9724137931034,0.0031981320754716374,0.006827517241379351
73,73,1,A,D,500.0,500.0,594.968,872.848,448.01807228915663,690.5443037974684,0.003161903614457868,0.006254715189873367
74,74,1,A,D,500.0,500.0,592.56,891.144,451.6463414634146,691.8819875776397,0.0031789268292682876,0.0061210310559006754
75,75,1,A,D,500.0,500.0,343.496,784.768,260.22424242424245,700.6857142857143,0.0030885333333333337,0.006945557142857187
76,76,1,A,D,500.0,500.0,670.408,960.584,481.61494252873564,750.45625,0.002999344827586178,0.006164556249999986
77,77,1,A,D,500.0,500.0,491.216,942.728,412.09395973154363,750.5796178343949,0.003464073825503285,0.00629240764331213
78,78,1,A,D,500.0,500.0,721.864,756.44,524.6104651162791,685.1811594202899,0.0029819476744186064,0.007063130434782585
79,79,1,A,D,500.0,500.0,623.168,889.312,469.2530120481928,771.9722222222222,0.003130759036144574,0.005606034722222258
80,80,1,A,D,500.0,500.0,628.616,758.176,482.0674846625767,644.7074829931972,0.003177159509202445,0.006713455782312955
81,81,1,A,D,500.0,500.0,701.392,945.744,506.78612716763007,743.5094339622641,0.0030589075144508513,0.006121194968553455
82,82,1,A,D,500.0,500.0,563.384,1108.744,432.04294478527606,860.8260869565217,0.0031267239263804095,0.006135770186335405
83,83,1,A,D,500.0,500.0,625.2,899.696,504.19354838709677,820.8905109489051,0.003336406451612931,0.006418999999999973
84,84,1,A,D,500.0,500.0,849.104,1112.856,620.6900584795321,1008.0217391304348,0.0031808304093567785,0.0071707318840580365
85,85,1,A,D,500.0,500.0,758.8,953.944,619.9346405228758,851.7357142857143,0.0033224640522875647,0.0067542571428572075
86,86,1,A,D,500.0,500.0,829.6,1199.048,602.9069767441861,837.3240223463687,0.003156255813953528,0.005525921787709532
87,87,1,A,D,500.0,500.0,454.08,927.392,700.7407407407408,805.0277777777778,3.2975308641880474e-05,0.006580805555555476
88,88,1,A,D,500.0,500.0,831.84,1034.144,653.9622641509434,833.9870967741936,0.003330729559748395,0.006288987096774228
89,89,1,A,D,500.0,500.0,813.728,1060.304,605.452380952381,849.6025641025641,0.003048869047619109,0.006337365384615405
90,90,1,A,D,500.0,500.0,740.992,1025.656,557.9759036144578,796.3167701863354,0.0031264156626506067,0.006129962732919266
91,91,1,A,D,500.0,500.0,906.488,950.16,636.5786516853933,756.4968152866242,0.0030539606741573004,0.006299668789808897
92,92,1,A,D,500.0,500.0,661.08,848.136,494.8203592814371,658.4906832298136,0.0030407544910179773,0.006141627329192501
93,93,1,A,D,500.0,500.0,598.944,835.136,456.5121951219512,673.4967741935484,0.003317048780487761,0.006295909677419331
94,94,1,A,D,500.0,500.0,587.712,874.488,459.15,678.9503105590062,0.0031928687499999777,0.006133136645962676
95,95,1,A,D,500.0,500.0,639.064,1034.944,467.15204678362574,808.55,0.00303950877192983,0.006170412499999944
96,96,1,A,D,500.0,500.0,618.168,920.64,474.0552147239264,719.25,0.003153625766871202,0.006179168750000042
97,97,1,A,D,500.0,500.0,721.152,768.416,530.2588235294118,671.6923076923077,0.0031921176470588114,0.006921692307692289
98,98,1,A,D,500.0,500.0,717.216,933.48,521.2325581395348,724.7515527950311,0.0030114767441861015,0.006138515527950354
99,99,1,A,D,500.0,500.0,708.456,940.352,553.48125,758.3483870967742,0.0032157812499999496,0.006300490322580609
100,100,1,A,D,500.0,500.0,678.208,957.44,520.0981595092024,743.3540372670808,0.0031276687116564518,0.00613927329192545
101,101,1,A,D,500.0,500.0,404.928,966.784,632.7,774.6666666666666,4.202500000012321e-05,0.006337243589743644
102,102,1,A,D,500.0,500.0,699.256,977.552,526.5481927710844,758.9689440993789,0.0031396084337349368,0.006142919254658343
103,103,1,A,D,500.0,500.0,769.032,941.184,608.4113924050633,763.9480519480519,0.0032806835443038172,0.006327649350649433
104,104,1,A,D,500.0,500.0,788.848,774.368,604.9447852760736,658.4761904761905,0.003205546012270013,0.006796489795918439
105,105,1,A,D,500.0,500.0,940.424,933.12,708.1506024096385,742.9299363057324,0.003120789156626505,0.006205203821656115
106,106,1,A,D,500.0,500.0,981.272,946.784,738.9096385542168,735.0807453416149,0.003373927710843405,0.006138627329192572
107,107,1,A,D,500.0,500.0,980.552,873.52,770.874213836478,661.7575757575758,0.003195798742138386,0.005993496969696993
108,108,1,A,D,500.0,500.0,1160.24,982.816,805.7222222222222,722.6588235294117,0.0029865166666666375,0.005814899999999939
109,109,1,A,D,500.0,500.0,1249.704,670.216,935.4071856287425,544.0064935064935,0.0032147964071856587,0.006431032467532496
110,110,1,A,D,500.0,500.0,1138.784,780.8,906.6751592356688,621.656050955414,0.003257866242038174,0.006218121019108317
111,111,1,A,D,500.0,500.0,1301.144,959.808,991.7256097560976,731.560975609756,0.0031797621951219165,0.0060254634146341204
112,112,1,A,D,500.0,500.0,1285.752,808.664,986.0061349693251,639.7658227848101,0.0031673496932515324,0.005994126582278517
113,113,1,A,D,500.0,500.0,1443.296,925.288,1042.8439306358382,688.4583333333334,0.003165323699421967,0.005882095238095226
114,114,1,A,D,500.0,500.0,1065.288,737.424,816.9386503067485,587.1210191082803,0.0031229079754601214,0.0062101783439490405
115,115,1,A,D,500.0,500.0,1111.536,863.832,837.0,679.1132075471698,0.003095740963855397,0.006143069182389941
116,116,1,A,D,500.0,500.0,968.256,922.72,756.45,716.3975155279503,0.0031705812499999374,0.0061288322981365995
117,117,1,A,D,500.0,500.0,581.128,914.36,807.1222222222223,718.8364779874214,4.5144444444468316e-05,0.006210861635220126
118,118,1,A,D,500.0,500.0,1029.352,917.048,775.1144578313254,716.44375,0.003127975903614461,0.0061781125000000435
119,119,1,A,D,500.0,500.0,998.696,936.728,775.3850931677018,731.81875,0.0032707577639752047,0.006177831249999955
120,120,1,A,D,500.0,500.0,1086.56,953.808,813.2934131736527,731.4478527607362,0.0031757185628742335,0.006079147239263853
121,121,1,A,D,500.0,500.0,1036.536,911.2,785.2545454545455,711.875,0.0031312000000000215,0.006177681249999978
122,122,1,A,D,500.0,500.0,1006.824,858.248,740.3117647058823,674.7232704402516,0.003175188235294132,0.006138861635220117
123,123,1,A,D,500.0,500.0,1031.464,907.216,805.83125,700.0123456790124,0.003191043749999967,0.006103209876543214
124,124,1,A,D,500.0,500.0,987.952,943.256,757.6319018404907,741.5534591194969,0.003233938650306715,0.006220433962264115
125,125,1,A,D,500.0,500.0,1079.752,783.768,780.1676300578034,685.1118881118881,0.003141063583815084,0.006913076923076893
126,126,1,A,D,500.0,500.0,1060.592,786.368,818.358024691358,606.7654320987655,0.003191796296296305,0.006114740740740756
127,127,1,A,D,500.0,500.0,1048.704,926.856,799.3170731707318,689.625,0.0031244329268292443,0.005888678571428602
128,128,1,A,D,500.0,500.0,942.592,910.664,736.4,711.45625,0.0031744437499998668,0.0060957812499999875
129,129,1,A,D,500.0,500.0,1012.944,908.144,753.6785714285714,723.0445859872611,0.003212523809523812,0.006302579617834448
130,130,1,A,D,500.0,500.0,1032.632,928.904,801.7329192546584,730.2704402515724,0.0033303540372669814,0.006196094339622566
131,131,1,A,D,500.0,500.0,265.736,757.248,395.4404761904762,690.9197080291971,0.006419726190476435,0.007215642335766371
132,132,1,A,D,500.0,500.0,469.648,1100.184,360.159509202454,785.8457142857143,0.00318014110429444,0.0056577828571429175
133,133,1,A,D,500.0,500.0,940.576,940.752,683.5581395348837,730.3975155279503,0.0030190872093023343,0.006139503105590084
134,134,1,A,D,500.0,500.0,918.528,890.256,745.5584415584416,713.3461538461538,0.0033989935064933836,0.006247596153846174
135,135,1,A,D,500.0,500.0,1317.848,824.984,885.6505376344086,674.0065359477125,0.00290547311827966,0.006459307189542417
136,136,1,A,D,500.0,500.0,1080.832,742.864,833.9753086419753,584.0125786163522,0.0031699197530863092,0.00620198113207537
137,137,1,A,D,500.0,500.0,1110.616,916.904,821.4615384615385,682.2202380952381,0.003167124260354896,0.005887071428571372
138,138,1,A,D,500.0,500.0,909.68,745.192,680.8982035928144,642.4068965517241,0.0032314790419162,0.006828020689655314
139,139,1,A,D,500.0,500.0,939.512,899.752,729.4347826086956,725.6064516129032,0.0031668136645963407,0.006369935483870897
140,140,1,A,D,500.0,500.0,807.448,935.52,615.4329268292682,735.4716981132076,0.0031569085365853213,0.006135522012578638
141,141,1,A,D,500.0,500.0,1001.248,931.024,719.2873563218391,741.2611464968153,0.0031154712643679605,0.006291388535031733
142,142,1,A,D,500.0,500.0,1039.232,958.088,796.9570552147239,739.2654320987655,0.003214785276073645,0.006084074074074145
143,143,1,A,D,500.0,500.0,1086.448,1094.224,785.0057803468208,814.1547619047619,0.003094739884392938,0.005814119047619114
144,144,1,A,D,500.0,500.0,1041.528,745.352,823.993670886076,647.0069444444445,0.0032115632911391048,0.006909909722222373
145,145,1,A,D,500.0,500.0,512.992,936.224,782.0,717.963190184049,0.0003119878048778446,0.005991165644171818
146,146,1,A,D,500.0,500.0,1004.744,740.568,770.5092024539878,585.8924050632911,0.0031902147239263657,0.00626557594936705
