,timestamp,SessionID,CandidateID,Config,latency,throttle,throuput_dl,throuput_ul,packetsize_dl,packetsize_ul,inter_arrival_dl,inter_arrival_ul
0,0,7,B,D,500.0,500.0,135.76,57.448,154.27272727272728,121.71186440677967,0.009034363636363636,0.016851932203389833
1,1,7,B,D,500.0,500.0,92.96,77.68,103.75,116.98795180722891,0.008873419642857145,0.011926204819277109
2,2,7,B,D,500.0,500.0,85.712,67.8,121.75,114.52702702702703,0.011046181818181818,0.01335202702702703
3,3,7,B,D,500.0,500.0,83.592,65.272,114.82417582417582,114.91549295774648,0.01089075824175824,0.013751323943661973
4,4,7,B,D,500.0,500.0,105.68,74.68,146.77777777777777,129.65277777777777,0.010917022222222222,0.01372411111111111
5,5,7,B,D,500.0,500.0,14.176,298.728,147.66666666666666,110.47633136094674,0.010215416666666663,0.002923357988165682
6,6,7,B,D,500.0,500.0,385.04,295.464,107.43303571428571,206.3296089385475,0.0015074218749999999,0.005522139664804471
7,7,7,B,D,500.0,500.0,280.68,451.312,206.38235294117646,354.8050314465409,0.0031385882352941204,0.006223440251572326
8,8,7,B,D,500.0,500.0,257.976,627.688,205.39490445859872,516.1907894736842,0.003302955414012736,0.00650438157894737
9,9,7,B,D,500.0,500.0,548.816,632.816,423.4691358024691,517.0065359477125,0.003160691358024689,0.00637655555555555
10,10,7,B,D,500.0,500.0,663.096,778.896,499.3192771084337,632.2207792207793,0.0031764277108433697,0.006415402597402604
11,11,7,B,D,500.0,500.0,596.12,876.256,457.14723926380367,659.8313253012049,0.0031760245398772913,0.005957198795180719
12,12,7,B,D,500.0,500.0,579.984,765.104,450.29813664596276,617.0193548387097,0.003212211180124221,0.0063864967741935515
13,13,7,B,D,500.0,500.0,460.792,739.432,405.6267605633803,570.5493827160494,0.0037889225352112648,0.006115117283950614
14,14,7,B,D,500.0,500.0,357.792,745.352,421.92452830188677,597.2371794871794,0.004824962264150938,0.006330602564102567
15,15,7,B,D,500.0,500.0,643.52,769.872,470.4093567251462,612.9554140127389,0.0032275672514619886,0.006209541401273883
16,16,7,B,D,500.0,500.0,565.288,717.808,441.63125,571.5031847133758,0.003214331249999991,0.006305611464968154
17,17,7,B,D,500.0,500.0,572.912,687.472,439.3496932515337,588.5890410958904,0.003116509202453991,0.006755513698630148
18,18,7,B,D,500.0,500.0,565.776,935.408,423.4850299401198,664.3522727272727,0.0032790359281437017,0.005613289772727278
19,19,7,B,D,500.0,500.0,496.624,698.504,387.9875,535.6625766871166,0.0031999875000000124,0.006072619631901827
20,20,7,B,D,500.0,500.0,590.4,733.752,444.578313253012,573.24375,0.003237512048192777,0.006177675000000016
21,21,7,B,D,500.0,500.0,623.368,719.784,478.04294478527606,551.9815950920246,0.003124760736196326,0.005965999999999997
22,22,7,B,D,500.0,500.0,591.448,824.552,453.5644171779141,640.1801242236024,0.003136558282208583,0.006147776397515536
23,23,7,B,D,500.0,500.0,641.256,734.288,463.33526011560696,559.670731707317,0.003065965317919086,0.00600815853658538
24,24,7,B,D,500.0,500.0,580.088,605.296,436.81325301204816,475.8616352201258,0.0031917710843373344,0.006212735849056609
25,25,7,B,D,500.0,500.0,518.272,647.272,402.3850931677019,502.54037267080747,0.003179701863354047,0.0059666086956521695
26,26,7,B,D,500.0,500.0,589.888,635.464,466.6835443037975,496.45625,0.0032320759493670824,0.006175993749999997
27,27,7,B,D,500.0,500.0,578.68,810.424,430.5654761904762,629.2111801242236,0.003137821428571425,0.005969068322981353
28,28,7,B,D,500.0,500.0,545.552,707.424,426.2125,542.5030674846626,0.003250237499999997,0.006062834355828219
