,timestamp,SessionID,CandidateID,Config,latency,throttle,throuput_dl,throuput_ul,packetsize_dl,packetsize_ul,inter_arrival_dl,inter_arrival_ul
0,0,8,A,C,0.0,500.0,611.224,697.656,431.6553672316384,479.15934065934067,0.005530209039548022,0.00544037912087912
1,1,8,A,C,0.0,500.0,550.616,593.792,376.10382513661204,419.3446327683616,0.005424754098360655,0.005583813559322034
2,2,8,A,C,0.0,500.0,551.744,687.024,391.8636363636364,461.7096774193548,0.005606494318181817,0.005329913978494623
3,3,8,A,C,0.0,500.0,580.304,677.784,389.98924731182797,450.65425531914894,0.005315048387096776,0.005258462765957447
4,4,8,A,C,0.0,500.0,578.744,618.68,418.1676300578035,422.59562841530055,0.0057287283236994255,0.005402994535519127
5,5,8,A,C,0.0,500.0,457.056,576.352,396.75,434.0,0.0058075624999999985,0.005861500000000001
6,6,8,A,C,0.0,500.0,514.424,488.128,423.04605263157896,458.76691729323306,0.005587802631578952,0.00742724812030075
7,7,8,A,C,0.0,500.0,555.64,521.2,423.5060975609756,361.94444444444446,0.006014963414634147,0.00547702777777778
8,8,8,A,C,0.0,500.0,637.928,636.432,433.375,441.96666666666664,0.005381114130434787,0.005490866666666664
9,9,8,A,C,0.0,500.0,717.768,651.504,509.77840909090907,460.10169491525426,0.005562488636363641,0.005595966101694919
10,10,8,A,C,0.0,500.0,730.616,578.608,510.2067039106145,399.5911602209945,0.005525480446927372,0.005461740331491708
11,11,8,A,C,0.0,500.0,658.056,523.024,459.536312849162,363.2111111111111,0.005515335195530725,0.005496088888888896
12,12,8,A,C,0.0,500.0,566.776,510.816,393.59444444444443,364.86857142857144,0.005456083333333329,0.00556441142857143
13,13,8,A,C,0.0,500.0,592.864,540.912,421.0681818181818,369.4754098360656,0.005538136363636365,0.005379551912568306
14,14,8,A,C,0.0,500.0,663.464,535.744,453.1857923497268,365.94535519125685,0.005394065573770492,0.005403655737704924
15,15,8,A,C,0.0,500.0,660.128,510.736,458.4222222222222,358.6629213483146,0.005497466666666659,0.005559994382022476
16,16,8,A,C,0.0,500.0,625.64,500.712,434.47222222222223,343.8956043956044,0.005516894444444434,0.005431967032967027
17,17,8,A,C,0.0,500.0,636.376,508.64,434.6830601092896,351.2707182320442,0.005405120218579232,0.005376872928176808
18,18,8,A,C,0.0,500.0,661.312,523.8,449.2608695652174,355.8423913043478,0.005277233695652158,0.005367570652173907
19,19,8,A,C,0.0,500.0,691.52,604.488,467.2432432432432,426.89830508474574,0.005353897297297313,0.005606570621468932
20,20,8,A,C,0.0,500.0,705.808,724.76,515.9415204678363,489.7027027027027,0.005588953216374253,0.005334075675675672
21,21,8,A,C,0.0,500.0,780.208,578.912,518.7553191489362,391.15675675675675,0.005277462765957436,0.00534254594594595
22,22,8,A,C,0.0,500.0,701.72,559.464,469.06417112299465,384.24725274725273,0.005288834224598925,0.005429879120879135
23,23,8,A,C,0.0,500.0,643.768,522.352,449.5586592178771,364.7709497206704,0.0054891564245809965,0.005432597765363133
24,24,8,A,C,0.0,500.0,629.512,528.688,423.05913978494624,365.1160220994475,0.005304483870967735,0.005377469613259685
25,25,8,A,C,0.0,500.0,662.064,540.48,444.93548387096774,381.6949152542373,0.005299967741935476,0.005567966101694919
26,26,8,A,C,0.0,500.0,656.208,551.792,453.18232044198896,376.90710382513663,0.005442375690607717,0.00540239890710382
27,27,8,A,C,0.0,500.0,624.656,545.144,429.02197802197804,376.4806629834254,0.005435560439560457,0.005465441988950278
28,28,8,A,C,0.0,500.0,584.024,550.536,405.5722222222222,378.11538461538464,0.0054871055555555555,0.005433659340659337
29,29,8,A,C,0.0,500.0,565.416,519.88,388.33516483516485,367.14689265536725,0.005456467032967031,0.005496587570621481
30,30,8,A,C,0.0,500.0,626.008,539.872,432.3259668508287,370.7912087912088,0.0053853977900552505,0.0054299725274725204
31,31,8,A,C,0.0,500.0,581.32,541.536,405.94972067039106,378.16759776536315,0.0055221508379888155,0.00552411731843574
32,32,8,A,C,0.0,500.0,612.416,596.992,430.0674157303371,403.37297297297295,0.005562943820224751,0.005353459459459487
33,33,8,A,C,0.0,500.0,650.408,610.48,451.6722222222222,431.12994350282486,0.005514594444444477,0.005590497175141225
34,34,8,A,C,0.0,500.0,670.032,612.408,455.1847826086956,422.9337016574586,0.005374445652173907,0.005463055248618787
35,35,8,A,C,0.0,500.0,635.912,616.952,441.60555555555555,423.7307692307692,0.0053698500000000215,0.005343675824175828
36,36,8,A,C,0.0,500.0,632.6,537.536,432.10382513661204,397.58579881656806,0.0052854043715846784,0.005673059171597605
37,37,8,A,C,0.0,500.0,630.032,599.232,442.438202247191,423.1864406779661,0.005225769662921329,0.005573192090395477
38,38,8,A,C,0.0,500.0,659.896,699.072,455.7292817679558,477.5081967213115,0.005435049723756876,0.00540134972677596
39,39,8,A,C,0.0,500.0,693.896,683.128,471.3967391304348,474.39444444444445,0.005390168478260865,0.005495333333333323
