,throuput_mean,throuput_median,throuput_var,throuput_skew,throuput_kurt,avg_packet_size,std_packet_size,var_packet_size,skew_packet_size,kurt_packet_size,inter_arrival_times_avg,inter_arrival_times_std,inter_arrival_times_var,inter_arrival_times_skew,inter_arrival_times_kurt,Latency_binary,Jerkiness_binary,Sync_binary,Network_order_binary,Latency,Jerkiness,Sync,Network_order,Config,Latency_prediction,Jerkiness_prediction,Sync_prediction,Network_order_prediction
0,0.8489899804491309,1.0460543772443438,1.3493703027160544,-0.4590479941849355,-0.07288468216091486,1.451763639054083,1.2910860433226388,1.487917096872676,-0.7927399773511132,-0.8015551624574803,-0.0009831452592761953,-0.1679775299351391,-0.15908014178751495,-0.3239373473923374,-0.3313902309688298,0,0,1,0.0,0,0,5,1.0,D,0,0,1,0.0
2,0.02051537051037358,0.012497567706214385,0.7387385818500788,-0.1630677450287191,-0.38051029348841975,0.04209606236538441,0.023194251069874976,0.02199264099447359,0.16580117168526737,0.15982529330241235,-0.62798922213304,2.153016881778803,2.575996942383632,0.47953547692555953,0.1544233579757893,0,0,0,1.0,1,0,2,4.0,C,1,1,0,1.0
3,-0.3369437964891061,-0.5082786435760911,-0.17987098026035814,0.6549563695653866,-0.5306052155278477,-0.21489898496735632,0.09084463085800684,0.08735923335140672,0.27873296051819363,0.2573848251875649,-0.0875562316064283,-0.37630189737291897,-0.3479157755083901,-0.39527006817636906,-0.37271331883543934,0,0,0,0.0,2,1,2,2.0,B,1,0,1,0.0
4,-0.17441075438170564,-0.2635810440289402,0.03849815730866708,-0.4888897323371446,0.22332458373346792,0.06561658312556137,0.2862933009608029,0.2843478735560956,0.06698406955316127,-0.036637180051403984,0.08049747299057203,-0.3343567663477029,-0.3106449836468266,-0.4236987681637596,-0.4132692843329501,0,0,1,0.0,1,0,4,2.0,B,0,0,1,0.0
6,0.9444603049266421,1.0495391908864162,0.7162152159522103,0.5718417127931117,-0.6356000199054399,1.5634360279638002,1.3255020861827067,1.5348018187877666,-0.8474064602389996,-0.8194859147612786,-0.04377689743729883,-0.013776812573855619,-0.013294239199159681,-0.2444896992881229,-0.2793557841432146,0,0,1,1.0,1,1,4,4.0,D,1,0,1,0.0
8,-0.027503635211937723,-0.012497567706214385,0.20810916466138243,-0.7753065191289973,0.1332487980052794,-0.03900404179372171,-0.3392059162221126,-0.3035086250596237,0.17791872852162674,0.37429820133029373,-0.6818084805869863,2.085447316791709,2.4800008503071376,0.45292531489173593,0.13392720082251375,0,0,0,1.0,2,1,2,3.0,C,0,1,0,1.0
10,0.01801510113613137,0.02848879375917641,-0.057208318804092134,-1.1172451201129365,0.9944098289465418,-0.06033433279526273,-0.3333805453676114,-0.29860511528488565,0.295063352638793,0.48179563274756915,-0.8665316807487143,0.24415898398452723,0.2419959637416813,0.09037751855663764,0.035739833084167685,0,0,0,1.0,1,2,3,4.0,C,0,1,0,1.0
11,-0.2773770744841283,-0.3979674868656138,-0.10347970698638001,-0.5194379513082711,0.32350619444575685,-0.06857871805561543,0.1763570119740522,0.17205759901286113,0.12521709837967185,0.07300266450643461,0.10735733183409966,-0.13227829171131217,-0.12578389226506415,-0.3665001963306651,-0.3827084792173845,0,0,1,1.0,1,0,5,4.0,B,0,0,1,0.0
12,0.7795737912912024,0.9890767897259909,1.2421662538521616,-0.2726205456312368,-0.14679930224218388,1.387951339805888,1.2753266403863652,1.4665733192891335,-0.7711744782326593,-0.7877612020478085,0.05258669428878585,0.0137768125738566,0.013294239199159681,-0.34840847728399743,-0.37274343185336245,0,0,1,0.0,2,1,5,2.0,D,0,0,1,0.0
13,0.5542560511097384,0.2867541702782543,1.4718024232677116,0.7434226896059231,-0.7161481572591463,0.5876598730417811,0.3729328104050682,0.3755378797313839,-0.3283443914951102,-0.357445602672841,-0.8545624127500735,-0.04033141220248181,-0.03876419589801087,-0.3907234720345973,-0.4079559836339005,0,0,1,1.0,1,0,5,3.0,C,1,0,1,1.0
14,-0.22558405544433038,-0.31901965293378864,-0.004755590157290905,-0.40611680331996397,0.0976125623805051,0.04162652006241609,0.30192526722982116,0.30062519923675945,0.07919803284814565,-0.02897817308799459,0.2023673871965773,0.018982182828206774,0.01833561099267735,-0.24788582882124124,-0.3049283343450777,1,0,0,1.0,3,1,2,3.0,B,0,0,1,0.0
17,-0.28234482005835665,-0.44052820576320967,0.06273908661593211,1.0493424032113776,-0.34329652246137365,-0.08269820380596227,0.2512154998344212,0.24810340892475588,0.10705962027774941,0.02897817308799459,0.07335665056691579,-0.36506971073693106,-0.33797238896480214,-0.3858416076148273,-0.35679234097543505,1,1,0,0.0,3,3,3,2.0,B,0,0,1,0.0
18,0.003167514638838226,0.02831189966566985,0.6400556186595364,-0.3183940826734509,-0.2942010073963295,0.028548769114000543,-0.22740899601597206,-0.20752855092781927,0.13801174975136055,0.2615735532765987,-0.6140439134425149,2.5400401897697185,3.144758227536368,0.6507811774121495,0.5052074659167017,1,0,0,1.0,3,2,3,4.0,C,0,1,0,1.0
31,-1.6065613183893308,-1.996559409881304,-0.43232376669625955,2.8165332341860703,4.690980880228656,-1.2056588096554406,-2.0094552917671513,-1.2664015370760442,-0.7802311601071577,-0.43033189700994945,7.8866493854035875,-2.1940416097313844,-1.5996179042893859,1.1455083820769205,2.2143205785271824,1,1,0,0.0,3,3,2,1.0,A,1,1,0,0.0
32,-1.600108175191584,-1.9920132316781944,-0.43638364000261876,1.4016627928677738,1.5843468256165816,-1.2007442403389363,-2.081221827881691,-1.2879893802325488,-0.6988348016244491,-0.35615678359689323,7.71984045088201,-2.565794217037821,-1.7680906242073486,0.6869919627768094,1.3694921820444377,1,0,0,1.0,3,2,1,4.0,A,1,1,0,0.0
34,0.39708574166585453,0.39708301639808224,0.18408821520016735,0.34216451102176065,-0.5288346386884271,0.36174555447308804,-0.07103209786726145,-0.06663881567020755,-0.13387459073089003,-0.08299524567338878,-0.9149608108334484,-0.31575210895669714,-0.2939924932485255,-0.40256024581705185,-0.4087879956627154,1,1,0,0.0,3,3,2,2.0,C,0,0,1,1.0
35,-0.3850544252967944,-0.503184093683112,-0.1250603659258044,-0.4111680820953864,0.1613124563434267,-0.1754007009912993,0.14440815472323504,0.14014204372705447,0.20920877898983536,0.1703879864129607,0.2307939404049947,0.14257338471566489,0.13974454267954978,-0.26418181511259153,-0.30187366144799915,0,0,1,0.0,2,1,4,2.0,B,0,0,0,0.0
36,-1.6102185363244246,-2.0023969149670093,-0.4457217541796709,1.643815877181574,0.9145693084789375,-1.2296544563436405,-2.1236987705586063,-1.2999987358845297,-0.8593594571605473,-0.7181384599241218,7.787574830449611,-2.6477258699891406,-1.8012241127747262,1.241743896323693,3.0203731056809335,1,1,0,0.0,4,3,1,1.0,A,1,1,0,0.0
