episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
1,18.57,0.3,70,11.67,28.71,5.68,23.03,-1.13,3.74,1.99,-0.68,-1.02,0.87,0.59,0.66,0.24,0.48,0.46,0.15
2,35.32,0.19,81,20.17,60.83,5.05,55.78,-1.06,3.51,3.12,-0.66,-1.09,0.65,0.6,0.74,0.26,0.49,0.39,0.13
3,21.58,0.21,79,9.97,97.97,3.66,94.3,-1.05,3.33,1.72,-0.61,-0.88,0.78,0.47,0.54,0.28,0.48,0.53,0.15
4,27.27,0.17,83,23.27,148.54,7.12,141.42,-0.7,2.15,1.44,-0.39,-0.7,0.47,0.42,0.65,0.26,0.46,0.26,0.14
5,11.18,0.19,81,23.01,185.38,5.99,179.38,-1.2,4.19,2.87,-0.74,-1.23,1.03,0.6,0.78,0.15,0.49,0.45,0.12
6,-3.79,0.23,77,22.29,222.86,5.75,217.12,-0.47,1.41,2.04,-0.29,-0.71,0.3,0.43,0.84,0.35,0.48,0.61,0.12
7,-3.81,0.18,82,10.2,260.11,3.55,256.56,-1.59,5.43,5.68,-1.04,-1.53,0.96,0.77,0.76,0.13,0.5,0.62,0.16
8,-8.38,0.23,77,18.52,302.95,4.82,298.13,-0.61,1.98,1.15,-0.33,-0.69,0.64,0.47,0.68,0.29,0.46,0.37,0.13
9,-6.18,0.08,92,25.48,344.74,5.65,339.09,0.02,-0.55,-0.05,0.12,-0.01,-0.13,0.25,0.42,0.54,0.43,0.58,0.14
10,-22.12,0.12,88,50.55,397.46,9.37,388.09,-1.3,4.65,4.65,-0.85,-1.45,1.15,0.74,0.88,0.17,0.5,0.58,0.14
11,-23.83,0.16,84,52.95,434.86,9.48,425.38,-1.2,4.08,3.27,-0.75,-1.21,1.14,0.66,0.77,0.23,0.49,0.43,0.12
12,-41.06,0.22,78,5.27,467.43,2.89,464.54,-0.12,-0.37,0.01,0.03,0.01,-0.15,0.23,0.42,0.46,0.45,0.56,0.12
13,-41.68,0.28,72,11.03,508.1,4.38,503.72,-0.69,2.0,1.28,-0.39,-0.68,0.43,0.4,0.65,0.4,0.49,0.31,0.14
14,-50.71,0.15,85,13.98,552.01,5.68,546.33,-0.33,0.97,0.98,-0.16,-0.55,0.24,0.42,0.76,0.33,0.45,0.64,0.14
15,-51.74,0.24,76,21.84,594.51,6.99,587.53,-0.9,2.87,3.24,-0.54,-0.88,0.56,0.54,0.63,0.28,0.49,0.34,0.12
16,-63.4,0.23,77,18.7,627.59,7.15,620.44,-0.95,3.45,2.06,-0.58,-1.13,1.08,0.62,0.84,0.25,0.48,0.5,0.12
17,-64.37,0.17,83,10.12,665.0,4.04,660.96,-0.66,1.71,2.04,-0.37,-0.55,0.17,0.37,0.54,0.41,0.48,0.39,0.15
18,-76.8,0.21,79,18.84,705.59,6.12,699.47,-0.82,2.33,1.45,-0.45,-0.57,0.59,0.38,0.42,0.34,0.48,0.6,0.14
19,-86.49,0.19,81,17.14,751.36,6.18,745.19,-1.51,5.5,4.52,-0.99,-1.64,1.42,0.83,0.94,0.09,0.49,0.63,0.14
20,-88.11,0.18,82,21.37,793.78,6.9,786.88,-0.08,-0.41,0.12,0.03,-0.05,-0.13,0.15,0.52,0.37,0.49,0.54,0.13
21,-93.8,0.18,82,32.49,849.04,7.14,841.9,-0.3,0.37,0.95,-0.1,-0.19,-0.14,0.33,0.42,0.48,0.43,0.44,0.69
22,-104.92,0.18,82,2.2,877.13,1.6,875.54,-0.89,2.49,2.66,-0.52,-0.66,0.31,0.4,0.44,0.33,0.48,0.58,0.12
23,-110.75,0.16,84,30.52,932.19,8.14,924.05,-0.09,-0.2,0.38,0.01,-0.17,-0.04,0.2,0.51,0.45,0.45,0.55,0.13
24,-119.64,0.07,93,44.9,969.43,8.44,960.99,-1.02,3.68,2.68,-0.62,-1.16,0.92,0.69,0.84,0.2,0.48,0.52,0.16
25,-118.02,0.21,79,38.48,1021.78,8.75,1013.04,-0.98,3.26,2.41,-0.59,-0.99,1.04,0.57,0.76,0.23,0.48,0.37,0.14
26,-135.47,0.13,87,3.52,1069.99,2.39,1067.61,-0.76,2.11,1.49,-0.44,-0.62,0.51,0.36,0.51,0.28,0.49,0.5,0.14
27,-145.7,0.19,81,18.01,1133.64,6.73,1126.91,-0.2,-0.01,0.45,-0.04,-0.07,-0.12,0.22,0.41,0.44,0.46,0.54,0.14
28,-151.02,0.14,86,28.7,1138.25,6.83,1131.42,-0.22,0.51,1.44,-0.08,-0.42,-0.09,0.46,0.73,0.38,0.45,0.67,0.12
29,-155.05,0.18,82,19.82,1194.91,7.13,1187.78,-0.1,-0.4,-0.06,0.03,-0.04,-0.1,0.1,0.39,0.5,0.47,0.52,0.13
30,-158.43,0.14,86,22.66,1196.71,5.55,1191.16,-1.06,3.33,3.13,-0.65,-0.95,0.87,0.49,0.63,0.24,0.51,0.52,0.13
