episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
1,69.1,0.0,100.0,7.16,74.85,6.97,67.82,0.05,134.46,32.91,1.94,0.67,100.0,0.0,0.0,0.07
2,56.02,0.0,100.0,4.0,106.12,5.0,101.0,0.12,70.35,36.11,5.37,0.67,0.0,0.0,100.0,0.09
3,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,83.36,30.98,2.41,0.67,100.0,0.0,0.0,0.07
4,78.63,0.0,100.0,1.0,52.08,1.0,51.02,0.06,79.38,27.87,1.87,0.34,49.0,51.0,0.0,0.06
5,56.04,0.0,100.0,4.0,106.06,5.0,101.0,0.06,55.46,19.69,2.81,0.67,100.0,0.0,0.0,0.06
6,78.64,0.0,100.0,1.0,52.06,1.0,51.0,0.06,141.52,45.73,3.71,0.67,100.0,0.0,0.0,0.07
7,59.32,0.0,100.0,3.88,98.22,4.84,93.32,0.06,65.95,17.78,0.89,0.64,96.0,0.0,4.0,0.07
8,53.95,0.0,100.0,16.0,111.06,10.0,101.0,0.06,123.66,45.51,5.18,0.67,100.0,0.0,0.0,0.08
9,67.83,0.0,100.0,3.54,77.88,3.45,74.38,0.05,70.07,12.09,2.49,0.57,15.0,85.0,0.0,0.08
10,57.69,0.0,100.0,1.0,102.12,1.0,101.0,0.12,71.83,35.26,5.01,0.67,0.0,0.0,100.0,0.06
11,57.09,0.0,100.0,2.0,103.55,2.5,101.0,0.05,116.07,45.76,0.68,0.67,100.0,0.0,0.0,0.07
12,77.28,0.0,100.0,4.5,55.31,4.25,51.0,0.06,103.46,41.88,2.68,0.67,100.0,0.0,0.0,0.08
13,56.05,0.0,100.0,4.0,106.05,5.0,101.0,0.05,127.44,35.51,2.37,0.67,100.0,0.0,0.0,0.07
14,69.25,0.0,100.0,2.36,74.5,2.95,71.48,0.07,69.37,16.19,0.13,0.55,82.0,0.0,18.0,0.07
15,76.46,0.0,100.0,4.46,57.26,4.55,52.62,0.09,91.62,32.03,6.01,0.39,41.0,0.0,59.0,0.06
16,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,103.89,40.81,2.58,0.67,100.0,0.0,0.0,0.06
17,53.95,0.0,100.0,16.0,111.05,10.0,101.0,0.05,110.6,44.88,2.22,0.67,100.0,0.0,0.0,0.08
18,75.62,0.0,100.0,6.4,59.28,4.24,54.92,0.12,87.76,28.55,3.45,0.67,0.0,0.0,100.0,0.07
19,54.97,0.0,100.0,8.0,108.62,7.5,101.0,0.12,65.3,38.47,0.28,0.67,0.0,0.0,100.0,0.07
20,67.83,0.0,100.0,4.24,77.88,3.7,74.12,0.06,124.89,25.02,0.54,0.56,16.0,84.0,0.0,0.08
21,57.06,0.0,100.0,2.0,103.62,2.5,101.0,0.12,104.82,36.1,1.65,0.67,0.0,0.0,100.0,0.08
22,71.6,0.0,100.0,1.0,68.87,1.0,67.82,0.05,114.43,41.31,2.8,0.67,100.0,0.0,0.0,0.07
23,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,90.01,35.42,0.68,0.67,100.0,0.0,0.0,0.07
24,68.8,0.0,100.0,6.8,75.56,6.5,69.0,0.06,122.23,40.82,2.2,0.67,100.0,0.0,0.0,0.07
25,55.0,0.0,100.0,8.0,108.56,7.5,101.0,0.06,94.04,43.45,3.22,0.67,100.0,0.0,0.0,0.06
26,66.27,0.0,100.0,3.72,81.62,4.65,76.92,0.05,115.24,45.69,1.79,0.57,86.0,14.0,0.0,0.07
27,76.95,0.0,100.0,2.77,56.1,3.36,52.62,0.12,64.94,25.24,6.1,0.39,41.0,0.0,59.0,0.06
28,56.05,0.0,100.0,4.0,106.05,5.0,101.0,0.05,129.1,46.2,1.94,0.67,100.0,0.0,0.0,0.07
29,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,107.58,46.09,1.7,0.67,100.0,0.0,0.0,0.07
30,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,74.72,13.62,1.93,0.67,100.0,0.0,0.0,0.06
31,57.09,0.0,100.0,2.0,103.55,2.5,101.0,0.05,54.24,28.35,3.5,0.67,0.0,100.0,0.0,0.06
32,67.03,0.0,100.0,14.48,79.8,9.53,70.22,0.05,126.45,32.05,2.23,0.67,100.0,0.0,0.0,0.07
33,77.77,0.0,100.0,2.53,54.13,3.04,51.02,0.07,30.83,13.02,3.11,0.67,100.0,0.0,0.0,0.07
34,68.11,0.0,100.0,3.49,77.21,4.32,72.78,0.11,94.77,38.3,6.55,0.55,17.0,0.0,83.0,0.06
