episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
1,78.72,0.0,100.0,6.36,51.87,6.47,45.34,0.05,163.45,34.78,3.57,0.39,41.0,59.0,0.0,0.07
2,59.91,0.0,100.0,4.6,96.8,5.25,91.5,0.05,144.68,44.94,0.56,0.63,5.0,95.0,0.0,0.07
3,56.04,0.0,100.0,4.0,106.06,5.0,101.0,0.06,127.84,46.21,4.01,0.67,100.0,0.0,0.0,0.08
4,55.0,0.0,100.0,8.0,108.56,7.5,101.0,0.06,104.54,38.68,2.66,0.67,100.0,0.0,0.0,0.07
5,53.95,0.0,100.0,16.0,111.06,10.0,101.0,0.06,98.18,45.22,2.93,0.67,100.0,0.0,0.0,0.08
6,78.32,0.0,100.0,1.5,52.81,1.75,51.0,0.06,136.0,28.69,1.97,0.67,100.0,0.0,0.0,0.07
7,72.92,0.0,100.0,1.75,65.73,2.12,63.5,0.1,126.43,36.99,1.36,0.5,25.0,0.0,75.0,0.06
8,69.01,0.0,100.0,6.4,75.06,6.0,69.0,0.06,56.62,33.35,0.78,0.53,80.0,20.0,0.0,0.07
9,55.0,0.0,100.0,8.0,108.56,7.5,101.0,0.06,101.71,10.91,2.82,0.67,100.0,0.0,0.0,0.06
10,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,97.56,40.95,3.08,0.67,100.0,0.0,0.0,0.06
11,57.09,0.0,100.0,2.0,103.55,2.5,101.0,0.05,124.44,45.49,1.96,0.67,100.0,0.0,0.0,0.07
12,56.05,0.0,100.0,4.0,106.05,5.0,101.0,0.05,123.13,46.31,2.23,0.67,100.0,0.0,0.0,0.07
13,56.04,0.0,100.0,4.0,106.05,5.0,101.0,0.05,146.01,46.33,3.43,0.67,100.0,0.0,0.0,0.07
14,53.95,0.0,100.0,16.0,111.05,10.0,101.0,0.05,118.6,46.02,2.58,0.67,100.0,0.0,0.0,0.07
15,54.97,0.0,100.0,8.0,108.61,7.5,101.0,0.11,68.64,26.64,2.64,0.67,0.0,0.0,100.0,0.07
16,53.92,0.0,100.0,16.0,111.12,10.0,101.0,0.12,148.9,36.23,4.45,0.67,0.0,0.0,100.0,0.06
17,81.93,0.0,100.0,5.54,44.19,5.7,38.42,0.07,104.32,34.03,4.71,0.47,70.0,0.0,30.0,0.06
18,56.04,0.0,100.0,4.0,106.06,5.0,101.0,0.06,133.74,29.06,3.9,0.67,100.0,0.0,0.0,0.07
19,67.27,0.0,100.0,6.81,79.23,6.39,72.78,0.05,134.64,41.04,2.49,0.67,100.0,0.0,0.0,0.07
20,53.93,0.0,100.0,16.0,111.12,10.0,101.0,0.12,85.21,33.75,2.6,0.67,0.0,0.0,100.0,0.06
21,68.87,0.0,100.0,4.52,75.4,3.85,71.48,0.07,75.57,43.69,1.1,0.55,82.0,0.0,18.0,0.06
22,75.81,0.0,100.0,9.4,58.81,7.25,51.5,0.06,64.38,27.29,1.54,0.67,100.0,0.0,0.0,0.06
23,73.7,0.0,100.0,11.05,63.87,7.03,56.78,0.06,103.29,46.14,1.72,0.67,100.0,0.0,0.0,0.06
24,54.97,0.0,100.0,8.0,108.62,7.5,101.0,0.12,100.66,37.32,5.29,0.67,0.0,0.0,100.0,0.06
25,56.04,0.0,100.0,4.0,106.06,5.0,101.0,0.06,74.69,44.89,1.54,0.67,100.0,0.0,0.0,0.07
26,75.02,0.0,100.0,5.84,60.71,5.7,54.92,0.09,69.04,36.98,2.92,0.43,64.0,0.0,36.0,0.07
27,75.84,0.0,100.0,10.24,58.73,7.6,51.08,0.05,118.62,37.74,3.02,0.67,100.0,0.0,0.0,0.07
28,57.06,0.0,100.0,2.0,103.62,2.5,101.0,0.12,64.18,28.71,1.68,0.67,0.0,0.0,100.0,0.06
29,73.74,0.0,100.0,5.83,63.76,5.49,58.22,0.05,87.84,26.74,5.5,0.67,100.0,0.0,0.0,0.06
30,70.08,0.0,100.0,2.33,72.51,2.23,70.22,0.06,64.48,38.45,0.4,0.67,100.0,0.0,0.0,0.07
31,54.99,0.0,100.0,8.0,108.57,7.5,101.0,0.07,103.65,42.49,15.5,0.67,100.0,0.0,0.0,0.06
32,53.95,0.0,100.0,16.0,111.05,10.0,101.0,0.05,125.18,42.31,2.04,0.67,100.0,0.0,0.0,0.07
33,53.95,0.0,100.0,16.0,111.05,10.0,101.0,0.05,143.95,34.87,2.56,0.67,100.0,0.0,0.0,0.12
34,76.66,0.0,100.0,4.0,56.77,5.0,51.72,0.05,140.9,36.21,2.42,0.67,100.0,0.0,0.0,0.07
35,57.09,0.0,100.0,2.0,103.55,2.5,101.0,0.05,143.12,32.51,2.75,0.67,100.0,0.0,0.0,0.07
36,77.28,0.0,100.0,4.5,55.31,4.25,51.0,0.06,115.5,42.49,2.0,0.67,100.0,0.0,0.0,0.06
37,58.97,0.0,100.0,8.4,99.06,7.62,91.38,0.06,101.03,41.26,3.93,0.62,95.0,3.0,2.0,0.07
38,53.95,0.0,100.0,16.0,111.05,10.0,101.0,0.05,141.75,40.61,2.9,0.67,100.0,0.0,0.0,0.06
39,56.04,0.0,100.0,4.0,106.05,5.0,101.0,0.05,126.91,46.41,5.48,0.67,100.0,0.0,0.0,0.07
40,76.97,0.0,100.0,4.0,56.05,5.0,51.0,0.05,138.31,32.38,3.9,0.67,100.0,0.0,0.0,0.06
41,72.5,0.0,100.0,1.76,66.71,2.14,64.52,0.05,130.8,41.41,2.72,0.67,100.0,0.0,0.0,0.06
42,66.68,0.0,100.0,13.84,80.64,9.1,71.48,0.06,102.14,33.7,3.11,0.55,0.0,18.0,82.0,0.06
43,53.92,0.0,100.0,16.0,111.12,10.0,101.0,0.12,92.18,24.85,0.54,0.67,0.0,0.0,100.0,0.06
44,61.86,0.0,100.0,14.5,92.15,9.1,83.0,0.05,92.19,44.07,12.87,0.6,10.0,90.0,0.0,0.07
45,56.05,0.0,100.0,4.0,106.05,5.0,101.0,0.05,109.91,40.17,2.85,0.67,100.0,0.0,0.0,0.08
