episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
1,56.04,0.0,100.0,4.0,106.05,5.0,101.0,0.05,126.52,33.45,9.56,0.67,100.0,0.0,0.0,0.07
2,56.04,0.0,100.0,4.0,106.06,5.0,101.0,0.06,46.13,34.07,0.87,0.67,0.0,100.0,0.0,0.06
3,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,102.5,14.65,2.48,0.67,100.0,0.0,0.0,0.06
4,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,62.31,10.53,2.32,0.67,100.0,0.0,0.0,0.06
5,56.02,0.0,100.0,4.0,106.11,5.0,101.0,0.11,16.04,1.98,0.09,0.67,0.0,0.0,100.0,0.06
6,57.69,0.0,100.0,1.0,102.12,1.0,101.0,0.12,73.84,14.7,5.54,0.67,0.0,0.0,100.0,0.09
7,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,52.59,3.97,1.72,0.67,0.0,100.0,0.0,0.07
8,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,65.96,43.89,0.4,0.67,100.0,0.0,0.0,0.07
9,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,21.05,5.07,6.34,0.67,100.0,0.0,0.0,0.08
10,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,103.52,11.71,1.94,0.67,100.0,0.0,0.0,0.13
11,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,111.21,27.74,2.46,0.67,100.0,0.0,0.0,0.13
12,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,104.93,21.81,3.65,0.67,100.0,0.0,0.0,0.13
13,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,24.34,10.12,2.03,0.67,100.0,0.0,0.0,0.09
14,57.09,0.0,100.0,2.0,103.55,2.5,101.0,0.05,144.34,33.93,5.04,0.67,100.0,0.0,0.0,0.14
15,57.08,0.0,100.0,2.0,103.57,2.5,101.0,0.07,39.69,2.36,5.53,0.67,0.0,100.0,0.0,0.13
16,57.09,0.0,100.0,2.0,103.57,2.5,101.0,0.07,13.86,3.11,5.57,0.67,100.0,0.0,0.0,0.13
17,57.07,0.0,100.0,2.0,103.61,2.5,101.0,0.11,33.09,10.07,1.77,0.67,100.0,0.0,0.0,0.1
18,57.69,0.0,100.0,1.0,102.11,1.0,101.0,0.11,19.76,2.23,10.96,0.67,0.0,0.0,100.0,0.11
19,57.69,0.0,100.0,1.0,102.12,1.0,101.0,0.12,17.86,1.83,7.07,0.67,0.0,0.0,100.0,0.09
20,57.06,0.0,100.0,2.0,103.61,2.5,101.0,0.11,30.2,15.81,1.97,0.67,100.0,0.0,0.0,0.13
21,57.09,0.0,100.0,2.0,103.56,2.5,101.0,0.06,97.1,45.46,1.84,0.67,100.0,0.0,0.0,0.14
22,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,37.99,32.62,3.27,0.67,0.0,100.0,0.0,0.13
23,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,79.67,36.99,0.22,0.67,100.0,0.0,0.0,0.11
24,57.09,0.0,100.0,2.0,103.55,2.5,101.0,0.05,116.44,32.71,1.98,0.67,100.0,0.0,0.0,0.09
25,56.04,0.0,100.0,4.0,106.06,5.0,101.0,0.06,47.34,5.56,2.11,0.67,0.0,100.0,0.0,0.14
26,57.06,0.0,100.0,2.0,103.62,2.5,101.0,0.12,18.04,1.75,9.45,0.67,0.0,0.0,100.0,0.1
27,57.69,0.0,100.0,1.0,102.12,1.0,101.0,0.12,71.99,33.71,0.11,0.67,0.0,0.0,100.0,0.07
28,57.06,0.0,100.0,2.0,103.62,2.5,101.0,0.12,26.6,9.42,1.46,0.67,100.0,0.0,0.0,0.08
29,57.69,0.0,100.0,1.0,102.12,1.0,101.0,0.12,57.5,35.83,0.88,0.67,0.0,0.0,100.0,0.07
