episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
1,-67.57,0.83,17.0,4.0,23.12,5.0,18.0,0.12,125.24,36.77,4.34,0.67,0.0,0.0,17.0,0.06
2,98.08,0.81,19.0,4.0,25.12,5.0,20.0,0.12,74.23,42.79,1.34,0.67,0.0,0.0,19.0,0.09
3,99.87,0.95,5.0,1.0,7.05,1.0,6.0,0.05,118.32,39.13,1.65,0.67,5.0,0.0,0.0,0.13
4,-69.14,0.84,16.0,1.0,18.06,1.0,17.0,0.06,58.21,32.53,2.74,0.67,16.0,0.0,0.0,0.05
5,98.43,0.83,17.0,4.0,23.05,5.0,18.0,0.05,16.43,11.67,2.54,0.67,17.0,0.0,0.0,0.12
6,99.62,0.91,9.0,1.0,11.05,1.0,10.0,0.05,122.85,45.88,4.49,0.67,9.0,0.0,0.0,0.13
7,99.82,0.94,6.0,1.0,8.09,1.0,7.0,0.09,37.41,21.32,1.6,0.67,6.0,0.0,0.0,0.14
8,99.62,0.91,9.0,1.0,11.12,1.0,10.0,0.12,77.4,36.27,7.19,0.67,0.0,0.0,9.0,0.11
9,-90.13,0.95,5.0,1.0,7.06,1.0,6.0,0.06,27.11,11.38,3.32,0.67,0.0,5.0,0.0,0.05
10,-71.01,0.85,15.0,1.0,17.05,1.0,16.0,0.05,121.36,46.33,2.84,0.67,15.0,0.0,0.0,0.1
11,-78.55,0.89,11.0,1.0,13.05,1.0,12.0,0.05,20.48,36.98,2.71,0.67,0.0,11.0,0.0,0.05
12,99.24,0.87,13.0,1.0,15.06,1.0,14.0,0.06,78.87,31.63,0.6,0.67,13.0,0.0,0.0,0.1
13,99.62,0.91,9.0,1.0,11.12,1.0,10.0,0.12,95.27,37.62,0.11,0.67,0.0,0.0,9.0,0.11
14,99.37,0.89,11.0,2.0,14.62,2.5,12.0,0.12,71.89,36.52,0.19,0.67,0.0,0.0,11.0,0.11
15,-61.89,0.8,20.0,2.0,23.55,2.5,21.0,0.05,21.03,2.76,5.01,0.67,20.0,0.0,0.0,0.08
16,-69.25,0.84,16.0,2.0,19.62,2.5,17.0,0.12,21.17,5.47,1.12,0.67,0.0,0.0,16.0,0.09
17,99.27,0.88,12.0,2.0,15.59,2.5,13.0,0.09,25.02,16.9,6.23,0.67,12.0,0.0,0.0,0.16
18,-74.77,0.87,13.0,1.0,15.11,1.0,14.0,0.11,33.81,14.47,4.35,0.67,13.0,0.0,0.0,0.07
19,-82.38,0.91,9.0,1.0,11.07,1.0,10.0,0.07,75.8,43.96,2.71,0.67,9.0,0.0,0.0,0.06
20,-76.73,0.88,12.0,2.0,15.62,2.5,13.0,0.12,69.19,19.3,2.61,0.67,0.0,0.0,12.0,0.08
21,-71.11,0.85,15.0,2.0,18.62,2.5,16.0,0.12,72.73,35.15,1.59,0.67,0.0,0.0,15.0,0.08
22,99.24,0.87,13.0,1.0,15.05,1.0,14.0,0.05,116.65,19.09,7.13,0.67,13.0,0.0,0.0,0.1
