episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
1,56.85,0.0,100.0,4.12,104.12,5.05,99.02,0.05,110.29,46.32,2.2,0.66,99.0,1.0,0.0,0.07
2,66.95,0.0,100.0,5.92,79.98,5.8,74.12,0.06,60.54,40.42,2.31,0.67,100.0,0.0,0.0,0.06
3,75.1,0.0,100.0,3.01,60.51,3.68,56.78,0.05,94.73,28.14,0.83,0.67,100.0,0.0,0.0,0.1
4,72.33,0.0,100.0,2.68,67.13,2.56,64.52,0.05,59.08,14.52,1.68,0.51,24.0,76.0,0.0,0.08
5,78.76,0.0,100.0,4.28,51.76,5.17,46.54,0.05,37.15,16.89,3.33,0.62,7.0,93.0,0.0,0.07
6,72.92,0.0,100.0,2.52,65.72,3.15,62.52,0.05,95.99,36.74,1.83,0.49,74.0,26.0,0.0,0.08
7,57.09,0.0,100.0,2.0,103.56,2.5,101.0,0.06,124.74,46.25,1.51,0.67,100.0,0.0,0.0,0.07
8,75.54,0.0,100.0,10.0,59.46,6.4,53.0,0.06,32.23,19.15,1.48,0.67,100.0,0.0,0.0,0.07
9,62.98,0.0,100.0,1.49,89.49,1.46,87.98,0.05,54.19,29.11,4.36,0.67,100.0,0.0,0.0,0.07
10,54.82,0.0,100.0,15.85,108.98,9.91,99.02,0.05,114.49,34.59,3.73,0.66,1.0,99.0,0.0,0.08
11,57.09,0.0,100.0,2.0,103.55,2.5,101.0,0.05,162.88,37.29,2.29,0.67,0.0,100.0,0.0,0.07
12,77.0,0.0,100.0,1.0,55.97,1.0,54.92,0.05,79.62,33.82,3.16,0.67,100.0,0.0,0.0,0.09
13,66.27,0.0,100.0,3.72,81.62,4.65,76.92,0.05,92.26,12.29,3.1,0.57,14.0,86.0,0.0,0.08
14,75.89,0.0,100.0,10.12,58.62,7.55,51.02,0.05,106.1,39.66,5.03,0.34,49.0,51.0,0.0,0.1
15,68.01,0.0,100.0,7.34,77.46,6.83,70.58,0.05,104.92,27.76,2.55,0.65,97.0,3.0,0.0,0.11
16,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,38.99,16.17,2.61,0.67,0.0,100.0,0.0,0.09
17,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,109.16,45.64,1.61,0.67,100.0,0.0,0.0,0.1
18,53.95,0.0,100.0,16.0,111.06,10.0,101.0,0.06,18.28,8.57,3.81,0.67,100.0,0.0,0.0,0.09
19,58.54,0.0,100.0,1.01,100.09,1.01,99.02,0.05,98.01,18.14,4.29,0.67,100.0,0.0,0.0,0.07
20,54.78,0.0,100.0,16.0,109.07,10.0,99.02,0.05,25.65,9.67,2.18,0.66,1.0,99.0,0.0,0.07
21,75.55,0.0,100.0,9.04,59.43,7.1,52.28,0.05,105.45,43.78,2.49,0.67,100.0,0.0,0.0,0.11
22,76.79,0.0,100.0,8.05,56.46,5.23,51.18,0.05,37.67,27.88,1.54,0.67,100.0,0.0,0.0,0.08
23,63.08,0.0,100.0,8.88,89.25,7.78,81.42,0.05,67.31,38.09,2.18,0.59,11.0,89.0,0.0,0.08
24,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,55.18,33.93,2.23,0.67,0.0,100.0,0.0,0.07
25,53.95,0.0,100.0,16.0,111.05,10.0,101.0,0.05,124.94,32.2,2.36,0.67,100.0,0.0,0.0,0.09
26,77.94,0.0,100.0,2.0,53.73,2.5,51.18,0.05,117.86,40.14,2.04,0.67,100.0,0.0,0.0,0.08
27,76.71,0.0,100.0,8.65,56.67,5.59,51.02,0.06,85.77,41.5,3.0,0.67,100.0,0.0,0.0,0.08
28,53.95,0.0,100.0,16.0,111.05,10.0,101.0,0.05,20.46,33.81,1.8,0.67,0.0,100.0,0.0,0.07
29,76.01,0.0,100.0,1.33,58.33,1.5,56.78,0.06,103.9,35.2,3.58,0.67,100.0,0.0,0.0,0.1
30,70.08,0.0,100.0,2.33,72.5,2.23,70.22,0.05,41.88,5.66,3.53,0.54,19.0,81.0,0.0,0.08
31,76.41,0.0,100.0,5.9,57.38,5.75,51.58,0.05,104.74,41.57,1.92,0.67,100.0,0.0,0.0,0.09
32,71.3,0.0,100.0,12.22,69.6,7.97,61.58,0.05,118.6,40.79,1.35,0.67,100.0,0.0,0.0,0.07
33,60.87,0.0,100.0,1.34,94.53,1.24,93.22,0.08,31.79,4.73,5.59,0.64,96.0,0.0,4.0,0.07
34,56.04,0.0,100.0,4.0,106.05,5.0,101.0,0.05,65.88,32.87,4.55,0.67,100.0,0.0,0.0,0.06
35,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,38.17,26.11,8.9,0.67,0.0,100.0,0.0,0.08
36,55.0,0.0,100.0,8.0,108.56,7.5,101.0,0.06,38.41,16.02,1.24,0.67,100.0,0.0,0.0,0.07
37,74.36,0.0,100.0,13.08,62.29,9.03,53.22,0.05,34.34,7.09,2.7,0.44,34.0,66.0,0.0,0.06
38,55.82,0.0,100.0,8.08,106.6,7.53,99.02,0.05,40.8,6.83,2.95,0.66,1.0,99.0,0.0,0.07
39,78.31,0.0,100.0,2.02,52.84,2.52,50.26,0.05,82.37,30.37,2.52,0.66,99.0,1.0,0.0,0.1
40,59.97,0.0,100.0,4.2,96.68,5.12,91.5,0.05,101.61,40.54,1.85,0.67,100.0,0.0,0.0,0.07
41,75.8,0.0,100.0,3.45,58.84,3.27,55.5,0.07,30.35,9.21,6.68,0.67,100.0,0.0,0.0,0.07
42,60.01,0.0,100.0,4.0,96.57,5.0,91.5,0.07,58.63,41.94,2.34,0.67,100.0,0.0,0.0,0.07
43,76.36,0.0,100.0,9.25,57.5,5.95,51.5,0.05,47.0,9.73,3.82,0.67,100.0,0.0,0.0,0.07
44,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,92.18,45.17,0.75,0.67,100.0,0.0,0.0,0.07
45,57.68,0.0,100.0,4.0,102.14,5.0,97.08,0.06,94.68,16.26,4.6,0.67,100.0,0.0,0.0,0.07
46,63.85,0.0,100.0,2.18,87.4,2.73,84.62,0.06,56.2,39.61,1.6,0.67,100.0,0.0,0.0,0.07
47,75.4,0.0,100.0,12.0,59.8,8.75,51.0,0.05,55.35,37.89,3.32,0.67,100.0,0.0,0.0,0.07
48,66.56,0.0,100.0,4.6,80.93,5.38,75.5,0.05,108.24,40.37,2.54,0.57,85.0,15.0,0.0,0.07
49,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,69.97,8.76,2.6,0.67,0.0,100.0,0.0,0.07
50,76.55,0.0,100.0,3.2,57.05,4.0,53.0,0.05,45.03,37.97,1.46,0.67,100.0,0.0,0.0,0.07
51,79.62,0.0,100.0,4.32,49.71,5.2,44.46,0.05,94.3,38.61,1.75,0.67,100.0,0.0,0.0,0.07
52,68.02,0.0,100.0,6.16,77.44,5.9,71.48,0.06,35.42,4.1,4.52,0.55,18.0,82.0,0.0,0.07
53,60.02,0.0,100.0,4.0,96.56,5.0,91.5,0.06,21.94,11.67,3.93,0.63,95.0,5.0,0.0,0.06
54,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,118.88,37.94,3.91,0.67,100.0,0.0,0.0,0.07
55,84.36,0.0,100.0,1.66,38.39,1.99,36.34,0.06,46.5,15.27,3.84,0.67,100.0,0.0,0.0,0.07
56,55.0,0.0,100.0,8.0,108.56,7.5,101.0,0.06,127.96,45.79,3.98,0.67,100.0,0.0,0.0,0.07
57,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,139.53,30.31,1.84,0.67,100.0,0.0,0.0,0.06
58,55.0,0.0,100.0,8.0,108.56,7.5,101.0,0.06,111.94,11.15,4.46,0.67,100.0,0.0,0.0,0.06
59,69.0,0.0,100.0,12.92,75.1,8.35,66.68,0.07,25.08,5.41,4.85,0.67,100.0,0.0,0.0,0.07
60,78.17,0.0,100.0,1.54,53.18,1.81,51.32,0.05,91.61,44.12,3.17,0.67,100.0,0.0,0.0,0.07
61,74.51,0.0,100.0,8.0,61.93,7.5,54.38,0.05,68.91,22.26,4.38,0.42,37.0,63.0,0.0,0.06
62,60.37,0.0,100.0,8.56,95.71,7.67,87.98,0.05,109.86,45.27,3.36,0.62,93.0,7.0,0.0,0.07
63,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,63.3,11.5,3.68,0.67,100.0,0.0,0.0,0.07
64,71.71,0.0,100.0,1.66,68.61,1.88,66.68,0.05,111.45,28.36,2.98,0.67,100.0,0.0,0.0,0.06
65,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,69.8,13.01,3.2,0.67,0.0,100.0,0.0,0.06
66,56.04,0.0,100.0,4.0,106.06,5.0,101.0,0.06,100.89,46.14,2.35,0.67,100.0,0.0,0.0,0.06
67,58.08,0.0,100.0,15.3,101.18,9.62,91.5,0.05,109.58,30.04,1.54,0.67,100.0,0.0,0.0,0.07
68,58.69,0.0,100.0,2.12,99.73,2.6,97.08,0.05,40.17,32.41,2.88,0.65,2.0,98.0,0.0,0.06
69,68.89,0.0,100.0,3.55,75.36,2.53,72.78,0.05,47.43,12.42,1.85,0.55,17.0,83.0,0.0,0.07
70,61.76,0.0,100.0,8.72,92.4,7.72,84.62,0.06,45.01,5.4,2.59,0.61,9.0,91.0,0.0,0.08
71,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,91.34,37.53,2.35,0.67,100.0,0.0,0.0,0.07
72,68.7,0.0,100.0,3.46,75.81,4.28,71.48,0.05,45.9,10.34,3.79,0.55,18.0,82.0,0.0,0.07
73,79.46,0.0,100.0,5.08,50.09,5.12,44.86,0.11,25.62,19.68,3.1,0.37,44.0,0.0,56.0,0.07
74,71.19,0.0,100.0,5.22,69.86,4.22,65.58,0.05,121.31,22.25,2.35,0.67,100.0,0.0,0.0,0.07
75,64.52,0.0,100.0,2.2,85.8,2.75,83.0,0.05,22.45,37.57,2.65,0.6,10.0,90.0,0.0,0.07
76,59.33,0.0,100.0,1.06,98.21,1.08,97.08,0.05,101.39,31.73,3.11,0.67,100.0,0.0,0.0,0.09
77,62.8,0.0,100.0,4.36,89.91,5.22,84.62,0.06,86.32,41.86,1.15,0.67,100.0,0.0,0.0,0.07
78,74.45,0.0,100.0,12.8,62.06,9.0,53.0,0.06,81.93,27.1,1.92,0.67,100.0,0.0,0.0,0.07
79,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,114.46,46.24,2.7,0.67,100.0,0.0,0.0,0.06
80,53.95,0.0,100.0,16.0,111.05,10.0,101.0,0.05,124.84,36.37,3.4,0.67,100.0,0.0,0.0,0.07
81,58.75,0.0,100.0,1.98,99.59,2.47,97.08,0.04,39.72,5.22,5.92,0.67,0.0,100.0,0.0,0.07
82,66.83,0.0,100.0,1.91,80.28,1.84,78.38,0.06,26.91,40.35,1.88,0.58,87.0,13.0,0.0,0.07
83,61.03,0.0,100.0,2.22,94.13,2.7,91.38,0.05,139.95,38.63,3.74,0.65,98.0,2.0,0.0,0.07
84,78.43,0.0,100.0,1.0,52.55,1.0,51.5,0.05,114.97,44.81,1.93,0.67,100.0,0.0,0.0,0.07
85,77.74,0.0,100.0,2.38,54.21,2.84,51.32,0.05,86.09,24.17,4.23,0.67,100.0,0.0,0.0,0.07
86,81.98,0.0,100.0,9.16,44.06,7.15,36.86,0.05,62.99,23.48,2.08,0.43,64.0,36.0,0.0,0.07
87,66.48,0.0,100.0,1.12,81.11,1.18,79.88,0.05,41.62,4.81,1.64,0.59,12.0,88.0,0.0,0.07
