episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
1,67.37,0.0,100.0,13.76,78.99,9.07,69.86,0.05,22.32,6.97,10.5,0.67,100.0,0.0,0.0,0.07
2,68.89,0.0,100.0,4.72,75.35,5.45,69.86,0.04,34.81,8.16,7.85,0.55,18.0,82.0,0.0,0.06
3,88.84,0.52,48.0,8.0,56.55,7.5,49.0,0.05,71.72,29.66,3.39,0.67,0.0,48.0,0.0,0.07
4,55.85,0.0,100.0,7.93,106.51,7.43,99.02,0.05,105.14,16.28,4.44,0.67,100.0,0.0,0.0,0.06
5,75.86,0.0,100.0,5.64,58.7,6.03,52.62,0.05,25.97,30.1,4.78,0.39,41.0,59.0,0.0,0.06
6,-9.11,0.49,51.0,1.0,53.05,1.0,52.0,0.05,121.03,36.05,3.28,0.67,51.0,0.0,0.0,0.05
7,84.19,0.41,59.0,4.0,65.05,5.0,60.0,0.05,100.36,45.13,2.0,0.67,59.0,0.0,0.0,0.08
8,93.53,0.53,47.0,10.89,33.88,6.94,26.89,0.05,103.93,27.41,3.1,0.67,47.0,0.0,0.0,0.07
9,43.36,0.21,79.0,1.63,45.29,1.95,43.29,0.05,97.97,36.36,1.97,0.67,79.0,0.0,0.0,0.06
10,54.79,0.0,100.0,15.92,109.05,9.97,99.02,0.05,123.07,20.89,7.89,0.67,100.0,0.0,0.0,0.06
11,16.44,0.36,64.0,3.19,44.15,2.38,41.72,0.05,92.55,36.15,2.62,0.61,59.0,5.0,0.0,0.06
12,89.04,0.44,56.0,3.57,47.77,4.43,43.29,0.06,93.18,18.98,3.78,0.67,56.0,0.0,0.0,0.08
13,56.04,0.0,100.0,4.0,106.06,5.0,101.0,0.06,53.11,39.47,5.14,0.67,100.0,0.0,0.0,0.06
14,66.38,0.0,100.0,3.58,81.36,3.38,77.94,0.05,45.82,5.56,3.66,0.58,13.0,87.0,0.0,0.06
15,72.74,0.0,100.0,5.78,66.16,4.53,61.58,0.05,56.79,22.0,4.0,0.49,73.0,27.0,0.0,0.07
16,73.92,0.0,100.0,5.28,63.33,5.8,57.48,0.05,69.34,28.71,1.95,0.67,100.0,0.0,0.0,0.07
17,74.35,0.0,100.0,8.2,62.3,6.75,55.5,0.05,35.73,33.71,3.5,0.43,35.0,65.0,0.0,0.06
18,53.95,0.0,100.0,16.0,111.05,10.0,101.0,0.05,116.9,37.74,2.73,0.67,0.0,100.0,0.0,0.06
19,75.24,0.0,100.0,8.0,60.17,7.5,52.62,0.05,54.52,25.48,1.19,0.67,100.0,0.0,0.0,0.07
20,70.05,0.0,100.0,16.0,72.57,10.0,62.52,0.05,39.35,20.82,82.25,0.49,26.0,74.0,0.0,0.07
21,61.62,0.0,100.0,2.84,92.72,2.95,89.72,0.05,38.88,4.13,5.17,0.67,0.0,100.0,0.0,0.06
22,82.4,0.39,61.0,15.75,69.94,9.85,60.03,0.06,32.52,15.71,3.97,0.67,61.0,0.0,0.0,0.07
23,45.98,0.19,81.0,5.23,48.27,4.93,43.28,0.05,78.97,33.63,3.08,0.67,81.0,0.0,0.0,0.06
24,75.71,0.0,100.0,8.0,59.05,7.5,51.5,0.05,46.39,27.25,2.31,0.67,100.0,0.0,0.0,0.06
25,55.84,0.0,100.0,7.96,106.55,7.47,99.02,0.05,69.61,28.11,3.26,0.66,1.0,99.0,0.0,0.06
26,56.04,0.0,100.0,4.0,106.06,5.0,101.0,0.06,83.51,29.9,3.17,0.67,0.0,100.0,0.0,0.06
27,68.93,0.0,100.0,4.0,75.26,5.0,70.22,0.04,32.57,5.43,5.1,0.54,19.0,81.0,0.0,0.06
28,56.88,0.0,100.0,3.98,104.05,4.97,99.02,0.05,126.62,29.95,3.06,0.67,100.0,0.0,0.0,0.06
