1,10.71,0.19,81.0,7.16,29.28,6.54,22.64,0.1,75.13,28.18,2.97,0.41,31.0,0.0,50.0,0.2
1,5.71,0.19,81.0,8.0,28.85,6.88,21.88,0.09,36.77,18.66,5.57,0.34,41.0,0.0,40.0,0.2
1,5.26,0.2,80.0,8.0,28.84,6.88,21.9,0.07,37.09,33.44,3.44,0.5,0.0,60.0,20.0,0.2
0,0.2
2,6.59,0.17,83.0,8.82,29.68,7.2,22.39,0.09,44.92,19.73,2.68,0.22,19.0,18.0,46.0,0.21

2,21.74,0.11,89.0,7.42,21.5,6.66,14.79,0.06,87.55,29.39,2.76,0.4,54.0,35.0,0.0,0.21
2,7.34,0.17,83.0,8.92,22.34,7.2,15.06,0.08,57.48,24.42,5.59,0.18,30.0,38.0,15.0,0.21
3,26.97,0.14,86.0,3.02,22.67,3.1,19.49,0.08,45.16,18.05,3.51,0.26,50.0,20.0,16.0,0.2
3,40.0,0.02,98.0,3.86,19.86,3.91,15.86,0.09,25.99,8.82,3.22,0.18,34.0,45.0,19.0,0.21
4,24.12,0.16,84.0,4.58,19.82,4.33,15.43,0.07,104.34,34.24,3.6,0.15,27.0,38.0,19.0,0.22
4,22.94,0.16,84.0,3.83,21.92,3.63,18.21,0.08,59.52,23.77,3.03,0.52,66.0,18.0,0.0,0.22
4,27.51,0.14,86.0,3.52,22.47,3.34,19.05,0.08,60.34,35.36,2.0,0.11,26.0,23.0,37.0,0.22
5,20.74,0.11,89.0,6.25,22.62,6.12,16.43,0.07,31.97,13.78,5.29,0.44,59.0,30.0,0.0,0.2

6,24.92,0.18,82.0,1.91,19.99,2.25,17.66,0.08,51.7,25.71,2.56,0.31,52.0,16.0,14.0,0.2
6,36.79,0.12,88.0,1.95,21.45,2.34,19.05,0.06,88.2,35.04,2.49,0.17,37.0,36.0,15.0,0.2
6,30.94,0.13,87.0,1.77,20.69,2.06,18.53,0.1,34.23,10.33,3.52,0.16,34.0,16.0,37.0,0.2
7,18.91,0.21,79.0,2.94,25.26,3.61,21.57,0.08,72.13,27.7,4.01,0.45,53.0,0.0,26.0,0.2

7,16.24,0.21,79.0,2.39,20.84,2.93,17.85,0.06,18.71,7.55,3.41,0.35,38.0,41.0,0.0,0.2
7,23.18,0.19,81.0,2.58,24.93,3.15,21.68,0.1,81.23,23.91,2.95,0.46,0.0,25.0,56.0,0.2
