r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
12.236624,100,9.138014,0.43,5.0,12.24,0.24,76.0,6.95,28.37,6.51,21.76,0.09,27.23,22.05,2.52,0.39,0.0,31.0,45.0,0.0
26.953371,100,9.138014,0.57,1.0,26.95,0.18,82.0,7.66,19.74,6.74,12.95,0.05,99.35,25.61,2.26,0.42,30.0,52.0,0.0,0.0
20.689394,100,9.138014,0.47,3.0,20.69,0.2,80.0,8.45,24.78,7.22,17.48,0.09,59.17,24.59,2.53,0.27,48.0,16.0,16.0,0.0
21.41238,100,9.139001,-1.0,24.0,21.41,0.18,82.0,7.07,24.31,6.4,17.83,0.08,30.0,12.68,2.23,0.24,46.0,19.0,17.0,0.0
11.608146,100,11.822514,0.44,17.0,11.61,0.25,75.0,6.88,23.29,6.43,16.77,0.08,37.19,13.06,5.16,0.05,27.0,27.0,21.0,0.21
32.20034,100,11.822514,0.47,21.0,32.2,0.11,89.0,8.72,23.35,7.11,16.16,0.09,29.94,16.66,2.0,0.23,34.0,43.0,12.0,0.21
14.412043,100,11.822514,-1.0,24.0,14.41,0.24,76.0,8.79,28.12,7.24,20.82,0.07,65.87,23.27,2.82,0.28,13.0,45.0,18.0,0.21
27.42349,100,11.822514,0.53,19.0,27.42,0.15,85.0,8.14,23.97,6.97,16.94,0.06,45.23,22.64,3.28,0.49,23.0,62.0,0.0,0.21
31.551422,100,14.831672,0.44,15.0,31.55,0.13,87.0,3.77,20.46,3.78,16.6,0.08,54.66,21.2,4.72,0.02,30.0,29.0,28.0,0.21
42.796795,100,14.831672,0.53,19.0,42.8,0.07,93.0,3.55,21.12,3.76,17.27,0.09,86.17,24.78,4.75,0.06,34.0,25.0,34.0,0.21
22.017544,100,14.831672,0.53,13.0,22.02,0.2,80.0,2.86,20.44,2.99,17.38,0.08,64.15,30.28,3.26,0.09,29.0,20.0,31.0,0.21
30.608978,100,14.831672,0.48,15.0,30.61,0.13,87.0,4.02,20.43,4.18,16.16,0.09,37.26,23.17,3.39,0.38,50.0,37.0,0.0,0.21
21.352781,100,17.650225,-1.0,24.0,21.35,0.21,79.0,3.84,21.4,3.63,17.67,0.1,82.98,29.74,0.61,0.36,16.0,10.0,53.0,0.21
31.060637,100,17.650225,0.5,11.0,31.06,0.12,88.0,4.66,21.23,4.4,16.75,0.08,34.53,11.34,5.73,0.2,33.0,41.0,14.0,0.21
28.050863,100,17.650225,-1.0,24.0,28.05,0.16,84.0,3.83,23.25,3.63,19.55,0.07,72.94,28.68,3.99,0.08,33.0,28.0,23.0,0.21
40.336227,100,17.650225,-1.0,24.0,40.34,0.09,91.0,4.77,17.55,4.5,12.99,0.06,87.14,22.72,2.4,0.36,42.0,49.0,0.0,0.21
29.134098,100,20.382824,0.41,7.0,29.13,0.15,85.0,8.0,23.06,6.76,16.24,0.06,71.84,21.86,1.64,0.49,62.0,23.0,0.0,0.21
31.737896,100,20.382824,0.56,7.0,31.74,0.16,84.0,6.76,22.32,6.46,15.81,0.05,116.93,44.17,2.28,0.38,48.0,36.0,0.0,0.21
34.4115,100,20.382824,0.57,7.0,34.41,0.11,89.0,8.85,23.22,7.16,16.0,0.06,64.13,17.32,2.96,0.43,57.0,32.0,0.0,0.21
17.44642,100,20.382824,0.45,15.0,17.45,0.22,78.0,8.05,27.79,6.89,20.82,0.07,56.35,32.22,2.76,0.15,36.0,19.0,23.0,0.21
43.07658,100,22.716053,0.53,13.0,43.08,0.08,92.0,2.36,17.99,2.85,15.09,0.05,99.09,30.57,4.03,0.38,53.0,39.0,0.0,0.2
24.624266,100,22.716053,-1.0,24.0,24.62,0.17,83.0,1.51,17.16,1.7,15.35,0.11,34.21,16.86,3.37,0.29,45.0,29.0,9.0,0.2
19.632782,100,22.716053,0.44,5.0,19.63,0.21,79.0,1.92,23.51,2.28,21.14,0.09,64.18,23.93,3.65,0.38,34.0,0.0,45.0,0.2
28.5971,100,22.716053,-1.0,24.0,28.6,0.14,86.0,1.85,18.96,2.19,16.7,0.07,32.67,14.95,3.81,0.53,69.0,17.0,0.0,0.2
28.040773,100,25.200423,0.48,23.0,28.04,0.15,85.0,2.95,22.52,3.64,18.78,0.11,51.25,22.62,2.88,0.11,22.0,27.0,36.0,0.21
20.812803,100,25.200423,0.45,19.0,20.81,0.2,80.0,2.51,21.06,3.05,17.93,0.08,52.7,22.2,5.69,0.14,27.0,18.0,35.0,0.21
19.140863,100,25.200423,0.48,23.0,19.14,0.21,79.0,2.63,25.07,3.21,21.77,0.09,54.33,29.58,2.67,0.35,0.0,38.0,41.0,0.21
15.313498,100,25.200423,0.5,3.0,15.31,0.24,76.0,2.79,23.68,3.42,20.18,0.07,65.1,27.68,2.85,0.15,19.0,36.0,21.0,0.21
19.971518,100,27.739482,-1.0,24.0,19.97,0.22,78.0,7.88,23.04,6.09,16.87,0.08,87.87,32.53,1.72,0.11,31.0,18.0,29.0,0.2
8.510239,100,27.739482,0.42,13.0,8.51,0.27,73.0,10.12,26.64,6.99,19.56,0.09,36.06,21.76,6.33,0.2,21.0,15.0,37.0,0.2
28.416393,100,27.739482,0.45,9.0,28.42,0.16,84.0,10.32,29.85,7.14,22.64,0.06,95.15,32.21,3.03,0.1,24.0,36.0,24.0,0.2
24.810791,100,27.739482,0.45,19.0,24.81,0.16,84.0,9.18,22.02,6.67,15.29,0.07,26.08,17.21,3.02,0.21,42.0,27.0,15.0,0.2
20.347593,100,31.262827,0.53,21.0,20.35,0.22,78.0,6.87,22.82,5.53,17.23,0.06,88.3,38.29,3.02,0.55,64.0,14.0,0.0,0.22
30.374466,100,31.262827,0.49,21.0,30.37,0.15,85.0,6.42,24.97,5.57,19.34,0.06,85.28,34.77,3.96,0.38,17.0,58.0,10.0,0.22
26.384682,100,31.262827,0.47,3.0,26.38,0.15,85.0,5.56,23.67,4.6,19.01,0.06,30.92,18.74,3.47,0.38,49.0,36.0,0.0,0.22
28.741259,100,31.262827,0.42,1.0,28.74,0.14,86.0,7.48,28.57,5.66,22.84,0.07,46.09,32.42,1.45,0.52,67.0,0.0,19.0,0.22
21.358881,100,33.896459,0.5,17.0,21.36,0.2,80.0,7.12,23.73,5.39,18.25,0.08,67.5,25.0,1.75,0.25,8.0,38.0,34.0,0.2
37.931484,100,33.896459,0.52,1.0,37.93,0.11,89.0,6.79,22.02,5.38,16.58,0.06,100.6,33.37,3.04,0.26,28.0,48.0,13.0,0.2
24.322954,100,33.896459,0.47,19.0,24.32,0.17,83.0,6.24,20.22,4.98,15.16,0.09,37.2,17.8,1.83,0.26,45.0,25.0,13.0,0.2
24.782122,100,33.896459,0.45,19.0,24.78,0.16,84.0,5.14,17.61,4.14,13.4,0.06,24.73,4.98,5.25,0.38,36.0,48.0,0.0,0.2
11.989342,100,36.579683,0.5,19.0,11.99,0.26,74.0,4.19,23.59,3.41,20.11,0.07,65.21,21.77,2.69,0.5,55.0,0.0,19.0,0.22
35.870182,100,36.579683,-1.0,24.0,35.87,0.11,89.0,4.0,19.37,3.22,16.07,0.07,66.19,27.06,2.56,0.25,48.0,26.0,15.0,0.22
31.548605,100,36.579683,0.45,13.0,31.55,0.13,87.0,5.4,23.97,4.19,19.68,0.1,63.47,22.75,4.22,0.13,35.0,18.0,34.0,0.22
30.75555,100,36.579683,0.43,11.0,30.76,0.14,86.0,4.1,19.64,3.3,16.26,0.08,61.94,23.29,2.83,0.22,23.0,46.0,17.0,0.22
20.32464,100,39.224463,0.46,3.0,20.32,0.21,79.0,3.22,17.95,3.38,14.51,0.06,55.82,28.21,4.6,0.46,54.0,25.0,0.0,0.23
26.982355,100,39.224463,0.46,19.0,26.98,0.17,83.0,3.18,21.39,3.26,18.07,0.06,75.92,27.97,2.18,0.35,44.0,39.0,0.0,0.23
20.396923,100,39.225457,0.49,1.0,20.4,0.19,81.0,3.6,21.91,3.7,18.12,0.08,31.32,12.38,3.76,0.26,45.0,14.0,22.0,0.23
25.304548,100,39.225457,0.47,7.0,25.3,0.17,83.0,3.88,19.68,3.95,15.64,0.09,49.18,20.97,5.35,0.27,48.0,20.0,15.0,0.23
15.182832,100,41.83151,0.49,5.0,15.18,0.23,77.0,2.6,21.02,3.16,17.77,0.09,34.09,20.45,2.71,0.24,35.0,7.0,35.0,0.22
25.834444,100,41.83151,0.56,3.0,25.83,0.16,84.0,2.93,26.7,3.61,23.02,0.07,49.82,24.64,3.46,0.15,29.0,37.0,18.0,0.22
33.694458,100,41.83151,0.52,3.0,33.69,0.12,88.0,2.81,19.97,3.47,16.43,0.07,58.25,26.33,3.4,0.33,44.0,44.0,0.0,0.22
25.80336,100,41.83151,0.47,13.0,25.8,0.18,82.0,2.52,20.76,3.1,17.61,0.05,73.36,34.74,2.82,0.4,49.0,33.0,0.0,0.22
32.353092,100,44.752034,0.53,13.0,32.35,0.13,87.0,9.17,22.95,6.52,16.34,0.08,71.45,24.87,2.59,0.27,46.0,30.0,11.0,0.21
34.512867,100,44.752034,0.49,13.0,34.51,0.12,88.0,10.25,26.64,7.24,19.34,0.06,84.36,33.2,3.14,0.2,46.0,22.0,20.0,0.21
28.194124,100,44.752034,0.42,1.0,28.19,0.15,85.0,10.12,25.94,7.12,18.75,0.07,66.28,20.28,3.1,0.32,53.0,12.0,20.0,0.21
18.487556,100,44.752034,0.42,5.0,18.49,0.2,80.0,8.15,28.4,6.19,22.12,0.08,38.88,16.59,3.62,0.34,41.0,0.0,39.0,0.21
31.455936,100,47.581528,0.52,19.0,31.46,0.15,85.0,9.6,24.88,7.41,17.41,0.05,92.59,45.24,1.79,0.35,45.0,40.0,0.0,0.21
32.244003,100,47.581528,0.44,15.0,32.24,0.11,89.0,9.39,23.6,7.44,16.09,0.07,33.15,14.9,4.26,0.34,44.0,45.0,0.0,0.21
29.471895,100,47.581528,0.46,1.0,29.47,0.14,86.0,6.98,24.43,5.87,18.47,0.09,54.73,23.55,5.14,0.25,49.0,17.0,20.0,0.21
31.402332,100,47.581528,0.57,19.0,31.4,0.13,87.0,9.2,22.01,7.44,14.51,0.06,58.02,20.01,2.58,0.41,53.0,34.0,0.0,0.21
11.536269,100,51.088525,0.47,5.0,11.54,0.26,74.0,8.35,27.59,6.76,20.73,0.11,67.89,22.28,2.76,0.53,15.0,0.0,59.0,0.23
35.6005,100,51.088525,0.54,1.0,35.6,0.12,88.0,7.55,25.39,6.42,18.91,0.06,88.22,43.15,2.15,0.55,73.0,15.0,0.0,0.23
24.488787,100,51.088525,0.52,19.0,24.49,0.18,82.0,9.37,24.86,7.1,17.68,0.07,66.48,31.04,4.76,0.2,44.0,19.0,19.0,0.23
26.483177,100,51.088525,-1.0,24.0,26.48,0.16,84.0,8.55,29.66,6.76,22.83,0.07,69.37,24.8,3.97,0.21,45.0,19.0,20.0,0.23
