1,-4.24,0.15,85.0,7.91,25.45,6.97,18.4,0.08,62.68,28.09,3.37,0.16,17.0,31.0,37.0,0.4
1,-2.47,0.13,87.0,8.32,23.52,6.9,16.55,0.07,60.57,26.22,3.66,0.33,53.0,24.0,10.0,0.4
1,-4.15,0.16,84.0,6.71,26.43,6.4,19.98,0.06,70.93,30.08,7.59,0.48,60.0,24.0,0.0,0.4
2,-6.71,0.18,82.0,8.49,25.49,7.04,18.37,0.09,64.65,33.99,5.1,0.24,31.0,11.0,40.0,0.37
2,-3.7,0.17,83.0,9.83,23.61,7.56,15.98,0.07,87.74,26.84,4.71,0.21,39.0,31.0,13.0,0.37

3,-3.1,0.15,85.0,3.27,22.72,3.29,19.36,0.06,72.01,28.25,1.99,0.37,18.0,57.0,10.0,0.38

3,0.34,0.11,89.0,3.46,18.39,3.52,14.81,0.06,72.46,18.9,3.4,0.44,59.0,30.0,0.0,0.38
8
4,-3.58,0.15,85.0,3.88,22.69,3.68,18.94,0.08,70.56,25.67,2.33,0.13,37.0,20.0,28.0,0.414,-11.82,0.17,83.0,3.28,18.18,3.11,14.96,0.1,28.0,17.25,2.79,0.23,42.0,28.0,13.0,0.41

5,-8.52,0.16,84.0,7.52,25.11,6.82,18.19,0.1,39.17,24.97,2.0,0.27,15.0,20.0,49.0,0.41
5,3.17,0.09,91.0,8.84,24.16,7.34,16.73,0.1,63.81,32.01,2.66,0.18,41.0,34.0,16.0,0.41

5,-3.52,0.17,83.0,6.12,21.57,5.96,15.54,0.07,89.32,26.85,2.67,0.43,53.0,30.0,0.0,0.41
6,2.95,0.1,90.0,1.84,21.92,2.16,19.71,0.05,71.27,31.74,3.21,0.44,60.0,30.0,0.0,0.39

6,2.82,0.14,86.0,2.02,18.6,2.39,16.16,0.05,106.18,33.51,2.41,0.4,52.0,34.0,0.0,0.39
6,-5.74,0.16,84.0,1.85,17.92,2.18,15.67,0.08,63.43,24.13,4.01,0.21,21.0,45.0,18.0,0.39
