r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
-4.1508784,100,15.11074,0.12,1.0,-4.15,0.16,84.0,6.71,26.43,6.4,19.98,0.06,70.93,30.08,7.59,0.48,60.0,24.0,0.0,0.0
-2.472841,100,15.11074,0.17,19.0,-2.47,0.13,87.0,8.32,23.52,6.9,16.55,0.07,60.57,26.22,3.66,0.33,53.0,24.0,10.0,0.0
-4.2373857,100,15.11074,0.21,1.0,-4.24,0.15,85.0,7.91,25.45,6.97,18.4,0.08,62.68,28.09,3.37,0.16,17.0,31.0,37.0,0.0
-13.350678,100,15.111608,0.07,21.0,-13.35,0.19,81.0,7.36,24.2,6.54,17.56,0.1,31.56,18.89,3.52,0.1,32.0,20.0,29.0,0.0
-6.7063494,100,20.145412,0.09,5.0,-6.71,0.18,82.0,8.49,25.49,7.04,18.37,0.09,64.65,33.99,5.1,0.24,31.0,11.0,40.0,0.4
-11.320863,100,20.145412,-1.0,24.0,-11.32,0.18,82.0,6.98,25.85,6.49,19.29,0.06,43.16,15.59,3.49,0.48,59.0,23.0,0.0,0.4
-9.337856,100,20.145412,0.1,13.0,-9.34,0.21,79.0,7.7,27.88,6.74,21.06,0.07,77.33,28.34,2.56,0.51,61.0,0.0,18.0,0.4
-3.703596,100,20.145412,0.26,9.0,-3.7,0.17,83.0,9.83,23.61,7.56,15.98,0.07,87.74,26.84,4.71,0.21,39.0,31.0,13.0,0.4
-3.0991728,100,24.875397,0.16,15.0,-3.1,0.15,85.0,3.27,22.72,3.29,19.36,0.06,72.01,28.25,1.99,0.37,18.0,57.0,10.0,0.37
-13.567198,100,24.876366,-1.0,24.0,-13.57,0.21,79.0,3.23,24.52,3.36,21.09,0.07,47.95,19.76,4.7,0.22,43.0,17.0,19.0,0.37
-11.480711,100,24.876366,0.2,21.0,-11.48,0.25,75.0,3.92,20.83,4.21,16.56,0.06,89.11,39.69,2.3,0.38,43.0,32.0,0.0,0.37
0.34275502,100,24.876366,0.01,1.0,0.34,0.11,89.0,3.46,18.39,3.52,14.81,0.06,72.46,18.9,3.4,0.44,59.0,30.0,0.0,0.37
-3.582339,100,29.649841,0.27,15.0,-3.58,0.15,85.0,3.88,22.69,3.68,18.94,0.08,70.56,25.67,2.33,0.13,37.0,20.0,28.0,0.38
-11.819135,100,29.649841,0.07,23.0,-11.82,0.17,83.0,3.28,18.18,3.11,14.96,0.1,28.0,17.25,2.79,0.23,42.0,28.0,13.0,0.38
-15.675182,100,29.649841,0.03,7.0,-15.68,0.21,79.0,3.57,20.87,3.39,17.42,0.06,31.84,16.95,5.15,0.41,48.0,31.0,0.0,0.38
-0.0685211,100,29.649841,0.28,19.0,-0.07,0.14,86.0,5.97,22.84,5.61,17.16,0.07,84.0,31.85,5.31,0.51,66.0,20.0,0.0,0.38
-0.5899207,100,34.85963,0.28,7.0,-0.59,0.12,88.0,8.32,24.29,7.02,17.2,0.07,70.12,22.81,3.07,0.24,28.0,46.0,14.0,0.41
3.1706502,100,34.85963,0.13,13.0,3.17,0.09,91.0,8.84,24.16,7.34,16.73,0.1,63.81,32.01,2.66,0.18,41.0,34.0,16.0,0.41
-8.5197735,100,34.85963,-1.0,24.0,-8.52,0.16,84.0,7.52,25.11,6.82,18.19,0.1,39.17,24.97,2.0,0.27,15.0,20.0,49.0,0.41
-3.5174766,100,34.85963,0.16,3.0,-3.52,0.17,83.0,6.12,21.57,5.96,15.54,0.07,89.32,26.85,2.67,0.43,53.0,30.0,0.0,0.41
-4.612613,100,39.640763,0.04,3.0,-4.61,0.12,88.0,1.95,17.05,2.34,14.64,0.08,47.62,12.9,2.63,0.39,36.0,52.0,0.0,0.41
2.950262,100,39.640763,0.25,9.0,2.95,0.1,90.0,1.84,21.92,2.16,19.71,0.05,71.27,31.74,3.21,0.44,60.0,30.0,0.0,0.41
-5.7444415,100,39.640763,0.17,23.0,-5.74,0.16,84.0,1.85,17.92,2.18,15.67,0.08,63.43,24.13,4.01,0.21,21.0,45.0,18.0,0.41
2.8222814,100,39.640763,0.05,3.0,2.82,0.14,86.0,2.02,18.6,2.39,16.16,0.05,106.18,33.51,2.41,0.4,52.0,34.0,0.0,0.41
-7.6213837,100,43.66646,0.18,1.0,-7.62,0.19,81.0,2.96,21.49,3.65,17.78,0.07,70.95,29.65,2.24,0.36,55.0,11.0,15.0,0.39
3.3621047,100,43.66646,0.19,3.0,3.36,0.13,87.0,3.16,20.15,3.91,16.18,0.05,88.82,45.52,3.15,0.34,45.0,42.0,0.0,0.39
-27.135784,100,43.66646,-1.0,24.0,-27.14,0.31,69.0,2.77,22.2,3.39,18.72,0.09,28.63,12.08,3.15,0.39,0.0,29.0,40.0,0.39
3.0338612,100,43.66646,-1.0,24.0,3.03,0.12,88.0,2.44,22.16,2.97,19.11,0.08,93.13,28.99,2.9,0.14,36.0,17.0,35.0,0.39
-12.683997,100,48.714289,0.15,5.0,-12.68,0.22,78.0,8.81,27.05,6.19,20.77,0.09,61.84,23.84,3.36,0.34,38.0,0.0,40.0,0.4
-9.992316,100,48.714289,0.25,21.0,-9.99,0.22,78.0,10.08,23.72,6.9,16.74,0.08,74.54,35.6,1.74,0.15,32.0,14.0,32.0,0.4
2.553718,100,48.714289,0.13,9.0,2.55,0.13,87.0,9.62,30.15,6.8,23.29,0.06,91.48,36.28,3.74,0.48,62.0,25.0,0.0,0.4
-6.088908,100,48.71528,-1.0,24.0,-6.09,0.19,81.0,11.63,25.91,7.84,17.98,0.09,82.87,31.14,3.79,0.19,19.0,20.0,42.0,0.4
-1.7091545,100,53.767477,0.04,21.0,-1.71,0.07,93.0,7.12,21.14,5.67,15.4,0.08,27.5,13.83,2.76,0.39,54.0,39.0,0.0,0.38
-16.263996,100,53.767477,-1.0,24.0,-16.26,0.23,77.0,6.4,22.61,5.48,17.04,0.09,42.76,20.26,5.27,0.12,29.0,31.0,17.0,0.38
-12.1730585,100,53.767477,0.22,19.0,-12.17,0.21,79.0,5.25,22.94,4.45,18.41,0.09,56.26,23.96,1.43,0.35,50.0,20.0,9.0,0.38
1.4472764,100,53.767477,0.22,15.0,1.45,0.1,90.0,7.69,22.07,5.44,16.56,0.07,68.6,22.57,2.18,0.42,57.0,33.0,0.0,0.38
1.0940646,100,57.86683,0.22,1.0,1.09,0.1,90.0,8.42,23.98,6.19,17.71,0.08,57.6,30.8,4.42,0.24,48.0,27.0,15.0,0.45
6.6570454,100,57.86683,0.03,19.0,6.66,0.1,90.0,5.24,18.67,4.34,14.27,0.07,96.16,36.06,2.78,0.38,51.0,39.0,0.0,0.45
-7.4386907,100,57.86683,0.09,3.0,-7.44,0.16,84.0,5.99,27.04,4.46,22.5,0.08,54.46,18.8,2.38,0.53,0.0,17.0,67.0,0.45
2.3830848,100,57.86683,0.11,11.0,2.38,0.11,89.0,6.09,24.34,4.67,19.57,0.1,71.11,36.5,5.24,0.35,14.0,14.0,61.0,0.45
-16.714643,100,62.30436,0.08,5.0,-16.71,0.22,78.0,3.79,20.71,3.29,17.31,0.11,32.14,16.9,5.77,0.23,15.0,21.0,42.0,0.41
-11.220899,100,62.30436,-1.0,24.0,-11.22,0.23,77.0,5.0,24.26,3.84,20.34,0.08,74.23,35.23,4.12,0.17,38.0,18.0,21.0,0.41
-15.049149,100,62.30436,0.09,19.0,-15.05,0.2,80.0,5.09,25.07,3.92,21.05,0.1,36.26,8.62,1.82,0.19,19.0,19.0,42.0,0.41
-16.023846,100,62.30436,-1.0,24.0,-16.02,0.23,77.0,4.96,24.8,3.79,20.96,0.05,49.05,16.19,1.46,0.27,45.0,18.0,14.0,0.41
-8.012779,100,67.374712,0.19,7.0,-8.01,0.18,82.0,3.66,25.47,3.75,21.63,0.09,70.55,16.8,3.39,0.34,42.0,0.0,40.0,0.39
-4.5714602,100,67.374712,0.09,5.0,-4.57,0.15,85.0,3.62,26.2,3.76,22.33,0.1,58.82,29.17,8.63,0.49,22.0,0.0,63.0,0.39
-7.4404893,100,67.374712,0.26,3.0,-7.44,0.21,79.0,3.19,20.52,3.31,17.14,0.07,86.12,36.58,4.48,0.3,48.0,13.0,18.0,0.39
6.1835814,100,67.374712,0.24,21.0,6.18,0.11,89.0,2.63,20.06,2.66,17.35,0.05,97.14,40.75,3.1,0.36,48.0,41.0,0.0,0.39
-3.055772,100,72.308697,0.01,13.0,-3.06,0.15,85.0,2.48,17.37,3.02,14.28,0.07,72.96,27.67,1.75,0.26,42.0,34.0,9.0,0.37
3.051674,100,72.308697,0.15,23.0,3.05,0.14,86.0,3.09,23.4,3.83,19.49,0.08,100.66,40.92,3.75,0.11,34.0,20.0,32.0,0.37
-14.632683,100,72.308697,0.03,15.0,-14.63,0.19,81.0,3.16,21.53,3.91,17.56,0.07,26.1,13.13,3.91,0.38,46.0,35.0,0.0,0.37
-6.159064,100,72.308697,-1.0,24.0,-6.16,0.12,88.0,2.83,18.36,3.5,14.8,0.07,34.98,13.08,5.76,0.34,43.0,45.0,0.0,0.37
-6.2935915,100,77.328147,-1.0,24.0,-6.29,0.16,84.0,8.21,22.67,6.1,16.5,0.07,57.73,25.2,3.4,0.17,31.0,37.0,16.0,0.4
-7.3156886,100,77.328147,0.03,21.0,-7.32,0.12,88.0,8.82,23.4,6.48,16.84,0.08,25.88,12.86,3.78,0.17,43.0,25.0,20.0,0.4
-9.728301,100,77.328147,0.13,1.0,-9.73,0.2,80.0,8.1,24.22,6.12,18.02,0.07,63.95,28.09,4.16,0.23,16.0,43.0,21.0,0.4
-9.114916,100,77.328147,0.1,3.0,-9.11,0.16,84.0,10.6,22.99,7.41,15.5,0.08,37.97,21.15,2.82,0.2,23.0,43.0,18.0,0.4
3.8529048,100,81.860523,0.25,1.0,3.85,0.07,93.0,9.29,22.85,7.5,15.27,0.08,58.23,25.51,3.62,0.27,50.0,31.0,12.0,0.39
-9.588424,100,81.860523,0.12,5.0,-9.59,0.2,80.0,8.47,28.34,6.75,21.48,0.12,60.11,33.17,1.95,0.67,0.0,0.0,80.0,0.39
-10.375931,100,81.860523,0.17,1.0,-10.38,0.19,81.0,9.28,25.3,7.13,18.1,0.07,51.13,25.36,3.77,0.2,33.0,36.0,12.0,0.39
-10.181073,100,81.860523,0.04,19.0,-10.18,0.17,83.0,7.49,21.46,6.33,15.04,0.1,37.71,21.54,1.74,0.03,27.0,26.0,30.0,0.39
-12.610975,100,86.57764,0.12,3.0,-12.61,0.23,77.0,7.38,27.81,6.3,21.43,0.08,74.78,21.88,3.8,0.12,18.0,32.0,27.0,0.39
1.239177,100,86.57764,0.04,9.0,1.24,0.11,89.0,5.69,22.2,5.31,16.81,0.08,71.02,27.48,2.65,0.27,48.0,29.0,12.0,0.39
2.037506,100,86.57764,0.2,19.0,2.04,0.11,89.0,6.67,22.12,6.1,15.96,0.07,72.89,31.97,2.49,0.44,59.0,30.0,0.0,0.39
-3.999707,100,86.57764,0.02,5.0,-4.0,0.15,85.0,5.84,21.35,5.32,15.95,0.07,68.96,23.8,1.89,0.23,26.0,44.0,15.0,0.39
8.171916,100,91.397022,0.26,19.0,8.17,0.1,90.0,7.71,21.08,6.42,14.6,0.06,106.67,37.48,2.34,0.2,35.0,41.0,14.0,0.4
-6.7957063,100,91.397022,-1.0,24.0,-6.8,0.13,87.0,7.36,29.55,6.24,23.24,0.07,39.62,11.94,2.92,0.23,19.0,49.0,19.0,0.4
-23.253077,100,91.397022,0.07,9.0,-23.25,0.29,71.0,8.06,27.61,6.34,21.18,0.09,39.37,19.02,2.55,0.31,7.0,24.0,40.0,0.4
-1.9328936,100,91.397022,0.26,15.0,-1.93,0.13,87.0,9.29,23.25,7.21,15.98,0.06,63.08,28.11,3.64,0.34,43.0,44.0,0.0,0.4
-22.184994,100,96.030461,0.07,11.0,-22.18,0.28,72.0,5.12,20.07,4.36,15.64,0.07,39.02,19.25,4.78,0.3,44.0,16.0,12.0,0.45
