r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
28.666655,100,8.074255,0.53,3.0,28.67,0.14,86.0,8.56,23.1,7.06,15.95,0.08,42.59,20.64,3.8,0.33,43.0,43.0,0.0,0.0
8.200003,100,8.074255,0.0,13.0,8.2,0.23,77.0,9.92,24.33,7.66,16.6,0.07,46.75,24.91,2.96,0.53,61.0,16.0,0.0,0.0
26.333323,100,8.074255,0.8,7.0,26.33,0.19,81.0,7.6,24.27,6.67,17.53,0.08,43.67,21.67,2.01,0.31,50.0,12.0,19.0,0.0
36.399975,100,8.074255,0.0,15.0,36.4,0.14,86.0,7.21,24.91,6.48,18.37,0.06,80.18,34.78,6.66,0.4,35.0,51.0,0.0,0.0
37.33331,100,10.971891,0.8,1.0,37.33,0.12,88.0,7.59,26.59,6.62,19.89,0.08,33.27,17.4,3.12,0.45,29.0,59.0,0.0,0.2
20.066666,100,10.971891,0.8,11.0,20.07,0.21,79.0,8.2,28.44,6.9,21.44,0.1,64.88,24.98,3.91,0.47,23.0,0.0,56.0,0.2
25.599997,100,10.971891,0.0,23.0,25.6,0.2,80.0,7.45,24.68,6.66,17.93,0.1,46.51,23.86,2.21,0.34,10.0,19.0,51.0,0.2
47.266636,100,10.971891,0.0,19.0,47.27,0.09,91.0,6.73,23.04,6.24,16.73,0.08,83.43,31.71,2.75,0.42,58.0,33.0,0.0,0.2
66.06665,100,13.509866,1.0,1.0,66.07,0.11,89.0,3.01,18.26,3.04,15.15,0.07,21.26,3.77,2.69,0.34,46.0,43.0,0.0,0.21
44.93332,100,13.509866,0.8,19.0,44.93,0.23,77.0,2.77,19.67,2.88,16.73,0.06,30.06,12.45,3.91,0.38,33.0,44.0,0.0,0.21
64.66665,100,13.509866,1.0,13.0,64.67,0.12,88.0,2.93,21.81,3.03,18.7,0.07,30.83,11.75,5.27,0.29,54.0,16.0,18.0,0.21
59.66665,100,13.509866,1.0,13.0,59.67,0.13,87.0,3.47,19.83,3.64,16.11,0.07,110.58,28.48,2.63,0.15,40.0,27.0,20.0,0.21
