r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
-30.400013,100,6.4888,0.0,13.0,-30.4,0.56,44.0,7.27,15.14,6.48,8.59,0.08,47.75,22.01,3.27,0.41,27.0,17.0,0.0,0.0
-55.333347,100,10.249214,-1.0,12.0,-55.33,0.74,26.0,5.23,14.47,5.58,8.85,0.05,91.9,35.84,2.84,0.46,8.0,18.0,0.0,0.37
-13.399999,100,13.392893,-1.0,18.0,-13.4,0.54,46.0,2.76,13.12,2.98,10.09,0.05,100.2,45.48,3.19,0.33,23.0,23.0,0.0,0.48
0.6666657,100,16.763921,1.0,13.0,0.67,0.45,55.0,3.55,24.57,3.36,21.13,0.08,58.3,23.41,3.16,0.35,32.0,3.0,20.0,0.39
37.86664,100,20.013,0.8,7.0,37.87,0.16,84.0,6.38,29.81,6.16,23.57,0.07,85.75,35.68,2.87,0.15,36.0,31.0,17.0,0.41
50.933315,100,22.63181,0.8,13.0,50.93,0.21,79.0,2.34,29.54,2.82,26.66,0.07,59.3,28.52,2.38,0.53,67.0,8.0,4.0,0.44
41.99999,100,25.469226,0.93,19.0,42.0,0.26,74.0,2.22,25.94,2.66,23.22,0.07,38.42,38.13,2.58,0.58,64.0,0.0,10.0,0.36
15.999997,100,28.641866,0.0,13.0,16.0,0.28,72.0,6.83,43.24,6.03,37.14,0.08,50.82,34.85,1.99,0.51,59.0,9.0,4.0,0.33
12.733334,100,31.067507,-1.0,22.0,12.73,0.34,66.0,5.38,17.68,4.2,13.42,0.06,106.46,38.88,2.7,0.28,30.0,32.0,4.0,0.32
-43.800003,100,33.84467,1.0,13.0,-43.8,0.67,33.0,5.45,14.79,4.09,10.61,0.09,64.86,23.39,4.16,0.4,13.0,0.0,20.0,0.34
29.599993,100,36.316279,0.0,5.0,29.6,0.16,84.0,7.86,31.07,5.34,25.64,0.09,72.14,38.44,1.99,0.18,33.0,14.0,37.0,0.3
