r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
34.45751,100,8.069074,0.82,23.0,34.46,0.22,78.0,7.13,23.79,6.44,17.28,0.06,104.72,38.52,3.04,0.15,24.0,36.0,18.0,0.0
35.645164,100,8.069074,0.89,11.0,35.65,0.21,79.0,7.85,26.53,6.77,19.7,0.06,81.7,33.19,3.5,0.03,26.0,28.0,25.0,0.0
15.699999,100,8.069074,0.17,13.0,15.7,0.19,81.0,8.15,28.34,6.94,21.33,0.06,76.67,31.3,3.44,0.67,81.0,0.0,0.0,0.0
40.115322,100,8.069074,0.29,15.0,40.12,0.08,92.0,9.09,24.72,7.23,17.41,0.08,23.52,7.81,4.94,0.41,35.0,57.0,0.0,0.0
44.5331,100,10.455334,0.73,17.0,44.53,0.15,85.0,7.86,22.79,6.71,16.0,0.08,72.74,29.19,3.12,0.07,28.0,33.0,24.0,0.23
21.984198,100,10.455334,0.28,19.0,21.98,0.2,80.0,9.15,25.02,7.28,17.68,0.07,64.06,17.28,3.88,0.43,28.0,52.0,0.0,0.23
13.665519,100,10.455334,-1.0,24.0,13.67,0.25,75.0,7.79,26.74,6.8,19.84,0.1,35.37,14.49,2.52,0.51,0.0,18.0,57.0,0.23
41.738934,100,10.455334,0.41,21.0,41.74,0.15,85.0,6.73,25.19,6.32,18.78,0.09,41.04,19.4,2.9,0.19,23.0,43.0,19.0,0.23
49.768936,100,12.923023,0.77,21.0,49.77,0.15,85.0,3.45,21.94,3.73,18.14,0.07,62.61,23.62,29.45,0.26,16.0,49.0,20.0,0.2
35.038902,100,12.923023,0.66,19.0,35.04,0.18,82.0,3.84,26.5,3.89,22.54,0.07,63.53,23.81,3.19,0.47,58.0,0.0,24.0,0.2
53.073997,100,12.923023,0.74,23.0,53.07,0.12,88.0,3.58,20.24,3.51,16.66,0.07,60.52,25.61,2.83,0.33,29.0,51.0,8.0,0.2
37.95943,100,12.923023,0.73,23.0,37.96,0.21,79.0,3.14,24.43,3.28,21.06,0.09,35.95,16.16,2.11,0.35,0.0,38.0,41.0,0.2
53.359676,100,15.312266,0.74,21.0,53.36,0.17,83.0,3.95,19.14,3.74,15.33,0.08,38.5,13.67,0.99,0.06,31.0,28.0,24.0,0.21
49.938488,100,15.312266,0.7,3.0,49.94,0.15,85.0,5.78,24.15,5.44,18.64,0.08,47.21,16.41,4.39,0.13,29.0,20.0,36.0,0.21
47.02674,100,15.312266,0.91,15.0,47.03,0.18,82.0,3.9,19.15,3.7,15.39,0.07,117.74,42.55,3.13,0.17,39.0,25.0,18.0,0.21
31.574991,100,15.312266,0.82,15.0,31.57,0.22,78.0,4.68,25.27,4.42,20.77,0.09,69.97,28.0,2.29,0.35,0.0,37.0,41.0,0.21
10.685807,100,17.737994,0.65,7.0,10.69,0.25,75.0,8.48,27.07,7.07,19.95,0.06,72.87,22.59,2.5,0.51,57.0,18.0,0.0,0.21
48.062378,100,17.737994,0.83,3.0,48.06,0.12,88.0,7.86,24.81,6.79,17.93,0.09,65.09,24.33,3.42,0.14,22.0,25.0,41.0,0.21
21.593845,100,17.737994,0.78,1.0,21.59,0.24,76.0,8.0,27.9,6.94,20.87,0.09,57.46,36.52,2.34,0.25,20.0,14.0,42.0,0.21
39.273018,100,17.737994,0.71,13.0,39.27,0.18,82.0,7.41,26.05,6.86,19.12,0.07,89.16,33.04,1.22,0.12,31.0,33.0,18.0,0.21
55.9057,100,20.16495,0.95,21.0,55.91,0.17,83.0,1.88,24.64,2.22,22.34,0.08,50.61,26.54,1.38,0.1,25.0,23.0,35.0,0.2
44.831142,100,20.16495,0.78,19.0,44.83,0.16,84.0,2.55,19.22,3.11,16.05,0.06,115.1,43.65,1.23,0.44,55.0,29.0,0.0,0.2
57.538277,100,20.16495,0.92,11.0,57.54,0.16,84.0,2.07,20.68,2.49,18.1,0.09,27.63,18.37,3.16,0.17,29.0,17.0,38.0,0.2
39.132465,100,20.16495,0.77,23.0,39.13,0.19,81.0,2.01,24.13,2.4,21.63,0.1,51.17,14.64,4.37,0.46,0.0,25.0,56.0,0.2
47.341476,100,22.734616,0.78,11.0,47.34,0.19,81.0,2.53,20.77,3.07,17.63,0.07,98.47,35.81,1.71,0.25,45.0,15.0,21.0,0.22
56.336155,100,22.734616,0.87,21.0,56.34,0.13,87.0,3.02,22.52,3.73,18.69,0.1,64.4,19.4,2.23,0.18,14.0,35.0,38.0,0.22
62.511555,100,22.734616,0.85,23.0,62.51,0.1,90.0,2.49,19.7,3.02,16.62,0.07,119.6,40.99,2.16,0.24,49.0,24.0,17.0,0.22
56.20366,100,22.734616,0.95,5.0,56.2,0.16,84.0,2.67,22.21,3.29,18.83,0.09,44.83,26.7,3.14,0.1,33.0,21.0,30.0,0.22
40.49262,100,24.839361,0.71,7.0,40.49,0.16,84.0,5.21,21.47,4.39,17.02,0.05,109.67,37.28,1.78,0.38,48.0,36.0,0.0,0.2
33.845325,100,24.839361,0.43,13.0,33.85,0.16,84.0,10.21,25.22,7.0,18.14,0.08,86.45,38.63,2.61,0.14,36.0,18.0,30.0,0.2
17.413214,100,24.839361,0.77,1.0,17.41,0.17,83.0,11.63,23.13,7.75,15.33,0.06,66.56,29.31,3.18,0.46,57.0,26.0,0.0,0.2
17.2135,100,24.839361,-1.0,24.0,17.21,0.19,81.0,11.0,25.91,7.41,18.44,0.06,45.1,22.17,2.28,0.44,28.0,53.0,0.0,0.2
32.210583,100,27.434001,0.83,13.0,32.21,0.18,82.0,6.98,27.1,5.3,21.71,0.09,74.92,41.69,2.67,0.33,41.0,0.0,41.0,0.21
15.85774,100,27.434001,0.24,5.0,15.86,0.26,74.0,6.54,25.07,5.18,19.78,0.11,47.74,27.66,3.29,0.52,16.0,0.0,58.0,0.21
34.75335,100,27.434001,0.72,23.0,34.75,0.16,84.0,9.81,25.48,6.8,18.6,0.09,50.0,23.28,2.1,0.1,33.0,21.0,30.0,0.21
25.133818,100,27.434001,0.58,19.0,25.13,0.22,78.0,7.13,26.69,5.53,21.08,0.08,65.31,24.99,2.64,0.37,43.0,0.0,35.0,0.21
42.26854,100,29.890653,0.58,1.0,42.27,0.08,92.0,8.25,20.96,6.12,14.76,0.07,48.77,19.97,3.24,0.37,51.0,41.0,0.0,0.2
35.067005,100,29.890653,0.83,23.0,35.07,0.18,82.0,6.17,27.61,4.72,22.8,0.09,38.49,19.57,4.13,0.34,40.0,0.0,42.0,0.2
21.788954,100,29.890653,0.93,21.0,21.79,0.29,71.0,6.61,23.93,4.82,19.04,0.07,52.56,20.82,2.32,0.14,33.0,18.0,20.0,0.2
17.82224,100,29.890653,-1.0,24.0,17.82,0.25,75.0,5.97,24.56,4.57,19.89,0.1,39.31,27.0,0.49,0.49,20.0,0.0,55.0,0.2
35.971237,100,32.502372,0.77,19.0,35.97,0.17,83.0,4.94,26.09,3.82,22.19,0.07,58.6,29.95,3.96,0.47,58.0,0.0,25.0,0.21
49.378357,100,32.502372,0.85,9.0,49.38,0.15,85.0,4.47,23.17,3.66,19.41,0.09,46.81,20.68,3.39,0.23,24.0,45.0,16.0,0.21
38.478973,100,32.502372,0.72,13.0,38.48,0.16,84.0,4.48,19.12,3.64,15.4,0.07,47.9,28.65,4.78,0.48,61.0,23.0,0.0,0.21
34.106495,100,32.502372,0.37,1.0,34.11,0.16,84.0,7.65,23.72,5.36,18.29,0.08,55.15,24.75,1.71,0.26,19.0,16.0,49.0,0.21
54.79307,100,34.99262,0.82,19.0,54.79,0.1,90.0,3.76,20.37,3.76,16.56,0.06,63.28,23.41,3.2,0.36,42.0,48.0,0.0,0.21
52.521255,100,34.993623,0.95,1.0,52.52,0.17,83.0,3.41,19.36,3.53,15.73,0.09,61.37,30.25,3.83,0.1,24.0,23.0,36.0,0.21
48.658897,100,34.993623,-1.0,24.0,48.66,0.14,86.0,4.7,23.51,4.65,18.79,0.08,105.95,40.44,3.18,0.24,16.0,23.0,47.0,0.21
55.43026,100,34.993623,0.79,15.0,55.43,0.13,87.0,4.13,20.42,4.22,16.11,0.08,31.18,16.44,3.92,0.22,47.0,22.0,18.0,0.21
32.211586,100,37.513175,0.73,7.0,32.21,0.21,79.0,2.56,24.6,3.12,21.42,0.06,66.92,28.76,2.55,0.55,65.0,0.0,14.0,0.22
69.064766,100,37.513175,0.86,17.0,69.06,0.11,89.0,2.54,19.93,3.11,16.74,0.08,98.32,39.07,4.49,0.08,24.0,30.0,35.0,0.22
43.972492,100,37.513175,-1.0,24.0,43.97,0.21,79.0,2.71,24.42,3.32,21.01,0.09,35.11,21.9,2.48,0.13,21.0,22.0,36.0,0.22
54.813725,100,37.513175,0.72,1.0,54.81,0.11,89.0,2.84,27.14,3.49,23.6,0.05,59.06,22.09,4.73,0.36,48.0,41.0,0.0,0.22
27.548164,100,39.821404,-1.0,24.0,27.55,0.12,88.0,12.07,27.61,8.15,19.39,0.07,31.02,17.17,2.14,0.36,47.0,41.0,0.0,0.21
40.350258,100,39.821404,0.86,3.0,40.35,0.15,85.0,7.32,21.62,5.74,15.81,0.08,37.79,13.69,4.93,0.22,41.0,31.0,13.0,0.21
20.128086,100,39.821404,0.83,11.0,20.13,0.22,78.0,10.72,24.33,7.5,16.74,0.09,44.05,14.51,3.95,0.14,30.0,16.0,32.0,0.2
1.2528418,100,39.821404,0.23,17.0,1.25,0.32,68.0,8.44,25.45,6.43,18.91,0.1,46.03,18.56,5.89,0.55,0.0,12.0,56.0,0.21
13.818113,100,42.249752,0.51,5.0,13.82,0.24,76.0,7.84,29.06,6.38,22.58,0.1,65.12,22.27,3.21,0.51,0.0,18.0,58.0,0.21
29.74409,100,42.249752,0.88,21.0,29.74,0.24,76.0,7.18,22.78,6.05,16.66,0.07,30.07,14.39,6.7,0.18,30.0,33.0,13.0,0.21
30.802382,100,42.249752,0.38,17.0,30.8,0.18,82.0,8.27,24.68,6.86,17.76,0.07,64.75,31.45,2.07,0.24,18.0,47.0,17.0,0.21
29.576147,100,42.249752,0.73,1.0,29.58,0.23,77.0,8.6,24.42,7.24,17.09,0.09,30.02,14.93,24.04,0.08,21.0,30.0,26.0,0.21
37.490757,100,44.953468,0.41,19.0,37.49,0.18,82.0,7.27,27.84,6.16,21.61,0.07,77.51,35.83,2.55,0.18,42.0,20.0,20.0,0.2
48.63547,100,44.953468,0.92,9.0,48.64,0.15,85.0,6.31,23.8,5.47,18.24,0.09,31.58,27.38,4.76,0.1,32.0,20.0,33.0,0.2
36.218197,100,44.953468,0.8,17.0,36.22,0.17,83.0,6.92,24.42,5.75,18.58,0.09,50.82,30.1,2.26,0.2,24.0,17.0,42.0,0.2
43.799213,100,44.953468,0.46,23.0,43.8,0.16,84.0,6.95,22.3,5.92,16.29,0.09,80.26,28.23,4.6,0.07,25.0,34.0,25.0,0.2
37.117386,100,47.436876,-1.0,24.0,37.12,0.17,83.0,9.64,23.02,7.5,15.42,0.09,27.78,10.19,6.15,0.09,33.0,28.0,22.0,0.21
36.985847,100,47.436876,0.78,9.0,36.99,0.15,85.0,6.85,20.68,5.94,14.68,0.06,120.71,41.35,2.78,0.37,47.0,38.0,0.0,0.21
55.80957,100,47.436876,0.87,7.0,55.81,0.07,93.0,6.49,22.47,5.78,16.62,0.07,82.58,33.65,3.49,0.2,46.0,29.0,18.0,0.21
45.787586,100,47.436876,0.7,15.0,45.79,0.14,86.0,6.95,24.65,6.13,18.44,0.07,34.12,17.14,3.41,0.14,34.0,35.0,17.0,0.21
22.336649,100,49.886043,0.82,7.0,22.34,0.27,73.0,5.27,23.56,4.14,19.34,0.08,60.02,29.54,5.04,0.36,39.0,0.0,34.0,0.21
45.30385,100,49.886043,0.4,1.0,45.3,0.14,86.0,6.44,21.75,5.06,16.6,0.09,39.37,16.25,5.12,0.19,45.0,21.0,20.0,0.21
32.125458,100,49.886043,0.67,19.0,32.13,0.2,80.0,4.45,21.73,3.67,17.98,0.08,55.05,26.52,3.51,0.46,55.0,25.0,0.0,0.21
41.419334,100,49.886043,0.89,13.0,41.42,0.18,82.0,4.66,26.21,3.6,22.54,0.07,65.48,32.99,2.1,0.23,43.0,24.0,15.0,0.21
30.60824,100,52.195593,0.79,17.0,30.61,0.23,77.0,4.61,24.88,4.49,20.31,0.08,64.05,16.8,7.85,0.35,0.0,40.0,37.0,0.2
46.053207,100,52.195593,0.7,1.0,46.05,0.17,83.0,5.82,23.78,5.58,18.12,0.08,77.55,26.79,2.92,0.14,28.0,19.0,36.0,0.2
45.31753,100,52.195593,0.87,17.0,45.32,0.17,83.0,5.36,23.69,5.13,18.48,0.07,55.14,25.26,2.75,0.2,37.0,34.0,12.0,0.2
49.36434,100,52.195593,0.57,19.0,49.36,0.12,88.0,3.88,20.78,3.9,16.82,0.06,56.53,25.53,2.1,0.4,53.0,35.0,0.0,0.2
9.098988,100,54.828325,0.27,1.0,9.1,0.19,81.0,13.06,30.33,8.43,21.85,0.06,52.58,31.59,3.43,0.45,55.0,26.0,0.0,0.21
32.240803,100,54.828325,0.38,7.0,32.24,0.16,84.0,10.5,25.3,7.05,18.17,0.08,44.41,17.17,3.51,0.25,48.0,19.0,17.0,0.21
27.74641,100,54.828325,0.41,13.0,27.75,0.16,84.0,12.17,26.52,7.95,18.5,0.07,87.29,27.71,4.97,0.17,32.0,37.0,15.0,0.21
34.760338,100,54.828325,0.43,3.0,34.76,0.11,89.0,13.33,27.98,8.57,19.33,0.09,35.71,17.3,4.35,0.14,39.0,20.0,30.0,0.21
37.30576,100,65.348905,0.88,11.0,37.31,0.17,83.0,8.34,24.27,6.2,17.98,0.09,53.85,23.89,3.01,0.17,16.0,37.0,30.0,0.22
51.425636,100,65.348905,0.34,1.0,51.43,0.1,90.0,5.04,24.6,4.64,19.87,0.09,42.53,18.93,5.37,0.32,55.0,12.0,23.0,0.22
43.289627,100,65.348905,0.32,3.0,43.29,0.08,92.0,7.26,21.55,5.82,15.67,0.06,94.58,36.79,4.34,0.37,51.0,41.0,0.0,0.22
48.15647,100,65.348905,0.85,15.0,48.16,0.16,84.0,5.71,27.65,4.88,22.69,0.07,74.31,36.18,3.01,0.1,35.0,23.0,26.0,0.22
69.63533,100,68.007352,0.45,9.0,69.64,0.06,94.0,4.61,23.94,3.7,20.17,0.07,81.25,24.06,2.63,0.09,35.0,36.0,23.0,8.08
56.669495,100,68.007352,0.45,7.0,56.67,0.06,94.0,8.85,25.02,5.97,18.98,0.07,38.42,13.67,4.57,0.1,39.0,30.0,25.0,8.08
38.86667,100,68.007352,0.67,1.0,38.87,0.09,91.0,5.22,28.2,3.97,24.18,0.06,69.88,31.42,2.29,0.67,91.0,0.0,0.0,8.08
50.272892,100,68.007352,0.4,11.0,50.27,0.13,87.0,5.86,27.44,4.45,22.92,0.07,61.7,31.36,2.0,0.19,44.0,19.0,24.0,8.08
48.836132,100,70.477632,0.69,19.0,48.84,0.13,87.0,6.99,30.13,5.96,24.09,0.08,52.13,29.45,3.83,0.16,39.0,18.0,30.0,0.2
47.20581,100,70.477632,0.39,1.0,47.21,0.12,88.0,7.07,29.02,5.66,23.3,0.06,51.42,16.48,2.44,0.22,48.0,21.0,19.0,0.2
36.33698,100,70.477632,0.51,19.0,36.34,0.11,89.0,7.58,25.37,6.25,19.06,0.06,89.93,30.84,3.1,0.52,69.0,20.0,0.0,0.2
55.36328,100,70.477632,0.63,21.0,55.36,0.04,96.0,7.79,21.47,6.02,15.38,0.07,54.08,25.11,3.8,0.26,34.0,50.0,12.0,0.2
44.9221,100,73.252829,0.63,5.0,44.92,0.05,95.0,9.83,25.05,7.45,17.54,0.07,36.14,14.04,2.46,0.28,33.0,51.0,11.0,0.21
49.5191,100,73.252829,0.58,9.0,49.52,0.07,93.0,7.31,23.9,6.21,17.63,0.05,108.71,37.1,2.86,0.37,52.0,41.0,0.0,0.21
