r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
2.666668,100,3.226398,0.33,7.0,2.67,0.23,77.0,7.43,27.6,6.66,20.88,0.06,41.43,24.35,1.15,0.67,77.0,0.0,0.0,0.0
19.809694,100,5.163912,0.49,19.0,19.81,0.21,79.0,7.85,27.81,6.8,20.94,0.07,62.06,22.33,2.34,0.51,60.0,0.0,19.0,0.14
31.344769,100,7.059937,0.67,7.0,31.34,0.2,80.0,4.19,19.13,4.4,14.65,0.08,26.98,10.67,7.11,0.33,40.0,40.0,0.0,0.12
53.73505,100,8.514366,0.75,1.0,53.74,0.13,87.0,4.3,20.02,4.06,15.89,0.08,27.68,14.79,3.73,0.25,44.0,31.0,12.0,0.13
15.828418,100,9.960055,0.45,19.0,15.83,0.21,79.0,8.15,28.6,6.99,21.54,0.07,63.06,28.27,3.51,0.55,65.0,0.0,14.0,0.15
6.6666675,100,11.655035,0.33,1.0,6.67,0.2,80.0,1.9,24.68,2.24,22.38,0.06,74.04,32.08,2.27,0.67,80.0,0.0,0.0,0.14
45.788788,100,13.379094,0.74,9.0,45.79,0.18,82.0,2.94,21.85,3.61,18.15,0.1,57.02,18.69,2.58,0.26,20.0,15.0,47.0,0.14
56.809242,100,15.25418,0.86,17.0,56.81,0.16,84.0,10.46,25.48,7.2,18.19,0.09,44.72,12.11,3.95,0.14,28.0,19.0,37.0,0.17
40.689705,100,17.229113,0.64,1.0,40.69,0.14,86.0,8.41,22.66,6.09,16.51,0.06,55.06,32.03,1.4,0.36,40.0,46.0,0.0,0.15
34.555378,100,18.726388,0.49,15.0,34.56,0.09,91.0,5.81,21.54,4.49,16.99,0.05,57.26,26.14,4.47,0.51,22.0,69.0,0.0,0.16
40.62711,100,20.208638,-1.0,24.0,40.63,0.26,74.0,4.5,24.56,3.51,20.97,0.07,46.78,26.68,3.47,0.05,25.0,27.0,22.0,0.15
55.41647,100,21.654953,0.85,15.0,55.42,0.15,85.0,3.54,27.32,3.79,23.46,0.07,48.59,21.04,57.47,0.15,37.0,30.0,18.0,0.13
48.72284,100,23.346934,0.82,17.0,48.72,0.16,84.0,2.88,25.93,3.55,22.31,0.07,33.72,22.04,3.1,0.18,18.0,41.0,25.0,0.14
47.260986,100,25.219954,0.66,11.0,47.26,0.13,87.0,12.11,27.73,8.13,19.52,0.08,87.31,33.24,2.25,0.34,58.0,16.0,13.0,0.15
