1,4.0,0.22,78.0,8.05,29.37,6.89,22.36,0.12,54.89,26.03,1.71,0.67,0.0,0.0,78.0,0.22
1,44.8,0.11,89.0,6.47,22.63,6.21,16.36,0.06,56.93,28.14,4.52,0.37,49.0,40.0,0.0,0.22
1,48.88,0.07,93.0,9.2,24.51,7.5,16.95,0.06,71.3,23.18,3.73,0.42,35.0,58.0,0.0,0.22
2,36.7,0.14,86.0,6.6,25.08,6.25,18.77,0.06,34.04,29.75,1.77,0.45,28.0,58.0,0.0,0.22

2,48.34,0.16,84.0,6.86,24.77,6.37,18.33,0.07,96.69,31.5,0.83,0.16,28.0,38.0,18.0,0.22
3,33.81,0.26,74.0,3.76,24.04,3.87,20.08,0.09,65.88,22.72,4.2,0.24,21.0,13.0,40.0,0.22
3,61.83,0.11,89.0,4.51,23.68,4.53,19.06,0.09,30.07,17.49,10.47,0.16,17.0,38.0,34.0,0.22
3,49.59,0.05,95.0,3.99,19.74,3.94,15.75,0.05,117.77,42.16,1.48,0.43,61.0,34.0,0.0,0.22
3,61.49,0.14,86.0,3.0,21.73,3.04,18.63,0.06,70.69,21.12,3.54,0.12,34.0,33.0,19.0,0.22
4,51.15,0.15,85.0,3.96,26.72,3.75,22.89,0.07,61.66,22.84,4.99,0.17,42.0,20.0,23.0,0.21
3.87,0.15,85.0,5.36,23.39,5.05,18.26,0.08,36.39,14.47,2.44,0.38,37.0,48.0,0.0,0.21
5,56.26,0.14,86.0,8.98,24.96,7.15,17.74,0.07,73.93,25.48,7.48,0.13,36.0,31.0,19.0,0.22
5,42.63,0.17,83.0,7.81,24.76,6.75,17.93,0.08,78.75,32.93,3.2,0.17,30.0,16.0,37.0,0.22
6,46.95,0.19,81.0,2.53,22.14,3.06,19.01,0.07,82.67,37.39,2.19,0.07,27.0,31.0,23.0,0.22
6,55.46,0.09,91.0,1.76,18.67,2.06,16.55,0.06,110.04,25.42,3.09,0.26,50.0,27.0,14.0,0.22
6,37.79,0.15,85.0,1.85,20.97,2.16,18.75,0.05,64.02,30.94,2.95,0.35,45.0,40.0,0.0,0.22
6,57.27,0.11,89.0,2.02,19.07,2.43,16.56,0.08,59.52,19.34,5.42,0.16,41.0,29.0,19.0,0.22
7,29.91,0.17,83.0,2.78,18.41,3.4,14.94,0.06,65.79,22.37,4.0,0.44,55.0,28.0,0.0,0.21

7,69.32,0.07,93.0,2.99,23.59,3.69,19.81,0.09,42.59,14.97,4.25,0.13,20.0,38.0,35.0,0.21
8,32.2,0.15,85.0,8.66,29.39,6.16,23.13,0.09,55.83,15.33,3.86,0.48,0.0,24.0,61.0,0.21
8,31.13,0.15,85.0,8.27,20.15,6.04,14.05,0.07,82.29,21.92,3.39,0.45,58.0,27.0,0.0,0.21
8,56.46,0.15,85.0,8.38,25.2,5.79,19.34,0.07,85.73,35.47,3.61,0.11,35.0,21.0,29.0,0.21
9,34.75,0.1,90.0,6.01,29.67,4.98,24.6,0.1,46.17,14.79,1.06,0.45,0.0,29.0,61.0,0.37
.37
10,29.18,0.15,85.0,5.82,27.17,4.44,22.66,0.08,48.0,26.4,2.2,0.46,59.0,0.0,26.0,0.22
10,36.99,0.17,83.0,6.66,23.14,5.37,17.71,0.07,40.52,15.64,4.03,0.27,50.0,16.0,17.0,0.22
11,23.89,0.24,76.0,4.71,24.15,3.72,20.34,0.09,54.7,20.93,2.69,0.34,39.0,0.0,37.0,0.21
11,57.51,0.11,89.0,3.48,21.08,3.06,17.96,0.07,68.25,26.94,6.14,0.17,30.0,41.0,18.0,0.21
12,52.89,0.12,88.0,4.61,21.83,4.56,17.18,0.09,49.99,28.46,2.88,0.22,44.0,29.0,15.0,0.21
12,54.86,0.15,85.0,4.79,23.62,4.82,18.73,0.07,41.94,6.21,4.87,0.17,38.0,31.0,16.0,0.21
13,47.48,0.21,79.0,2.58,20.36,3.18,17.09,0.08,38.4,18.64,3.13,0.1,29.0,19.0,31.0,0.22

13,43.02,0.19,81.0,3.17,22.03,3.93,18.02,0.07,80.56,37.45,2.5,0.19,24.0,40.0,17.0,0.22
14,32.44,0.14,86.0,8.93,25.17,6.74,18.37,0.05,65.37,23.1,3.11,0.43,31.0,55.0,0.0,0.21

14,33.36,0.17,83.0,10.82,31.27,7.62,23.59,0.06,54.42,27.54,2.64,0.39,34.0,49.0,0.0,0.21
15,62.98,0.13,87.0,8.94,23.32,7.04,16.18,0.09,78.77,27.04,2.22,0.13,38.0,28.0,21.0,0.21
15,49.34,0.14,86.0,8.86,26.01,7.3,18.63,0.09,70.53,33.93,1.35,0.29,15.0,19.0,52.0,0.21
15,17.91,0.24,76.0,8.24,27.37,6.71,20.61,0.06,62.1,26.27,4.03,0.48,55.0,21.0,0.0,0.21
16,44.54,0.16,84.0,8.0,25.46,6.82,18.55,0.09,30.2,13.5,3.1,0.23,23.0,16.0,45.0,0.2
.2
16,37.95,0.15,85.0,10.35,26.68,7.62,19.01,0.05,82.05,33.02,3.55,0.35,45.0,40.0,0.0,0.2
16,45.82,0.15,85.0,7.06,24.44,6.18,18.19,0.08,47.43,22.14,1.69,0.24,48.0,19.0,18.0,0.2
17,21.78,0.14,86.0,6.98,24.98,6.1,18.81,0.06,91.15,21.29,3.22,0.57,12.0,74.0,0.0,0.21
17,31.57,0.18,82.0,6.56,22.27,6.22,15.98,0.07,71.45,33.86,1.96,0.41,50.0,32.0,0.0,0.21
17,29.59,0.11,89.0,9.03,23.07,7.05,15.96,0.06,18.79,6.91,4.03,0.49,65.0,24.0,0.0,0.21
18,64.85,0.12,88.0,6.69,21.36,4.84,16.43,0.09,70.49,29.83,2.78,0.08,22.0,33.0,33.0,0.22
18,31.32,0.15,85.0,4.85,26.57,3.93,22.56,0.07,64.12,20.8,10.66,0.49,63.0,0.0,22.0,0.22
19,28.27,0.19,81.0,5.0,26.87,4.83,21.95,0.09,43.96,23.39,2.38,0.39,0.0,34.0,47.0,0.2

19,17.04,0.27,73.0,5.89,27.31,5.65,21.56,0.1,43.66,26.2,3.05,0.37,33.0,0.0,40.0,0.2
20,22.74,0.24,76.0,13.05,29.17,8.42,20.66,0.09,97.31,38.87,2.34,0.33,38.0,0.0,38.0,0.21
20,39.03,0.11,89.0,11.12,23.46,7.39,16.0,0.07,33.19,16.26,3.18,0.34,46.0,43.0,0.0,0.21
20,38.79,0.13,87.0,13.1,28.33,8.45,19.82,0.07,74.7,38.15,2.02,0.41,61.0,8.0,18.0,0.21

21,40.49,0.12,88.0,5.57,19.19,4.8,14.32,0.07,33.21,19.71,3.38,0.39,36.0,52.0,0.0,10.0

21,54.24,0.13,87.0,5.03,24.74,4.57,20.09,0.08,76.53,29.72,0.93,0.21,30.0,15.0,42.0,10.0
22,58.96,0.12,88.0,3.86,23.01,3.32,19.61,0.08,70.57,32.85,2.98,0.18,43.0,19.0,26.0,0.222,43.46,0.12,88.0,6.8,29.22,4.98,24.18,0.07,47.17,16.84,3.31,0.27,16.0,52.0,20.0,0.23
23,42.56,0.09,91.0,8.51,24.88,6.82,17.98,0.08,29.2,13.93,4.26,0.44,60.0,31.0,0.0,0.22
23,47.4,0.12,88.0,9.58,23.73,7.28,16.36,0.08,67.44,24.03,3.63,0.25,44.0,33.0,11.0,0.22
24,40.96,0.13,87.0,8.85,30.79,6.87,23.86,0.06,65.86,20.94,4.14,0.34,43.0,44.0,0.0,0.22

24,45.17,0.1,90.0,7.89,23.35,6.39,16.89,0.08,21.14,20.03,14.02,0.37,50.0,40.0,0.0,0.22
