r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
4.000005,100,7.959487,-1.0,24.0,4.0,0.22,78.0,8.05,29.37,6.89,22.36,0.12,54.89,26.03,1.71,0.67,0.0,0.0,78.0,0.0
32.511185,100,7.959487,0.54,21.0,32.51,0.15,85.0,7.72,29.65,6.71,22.85,0.1,24.16,15.51,3.32,0.46,0.0,26.0,59.0,0.0
44.804417,100,7.959487,0.63,15.0,44.8,0.11,89.0,6.47,22.63,6.21,16.36,0.06,56.93,28.14,4.52,0.37,49.0,40.0,0.0,0.0
48.88345,100,7.959487,0.58,3.0,48.88,0.07,93.0,9.2,24.51,7.5,16.95,0.06,71.3,23.18,3.73,0.42,35.0,58.0,0.0,0.0
44.93344,100,10.790021,-1.0,24.0,44.93,0.22,78.0,7.59,24.23,6.63,17.51,0.08,54.6,34.62,2.42,0.15,14.0,32.0,32.0,0.22
36.702587,100,10.790021,0.55,19.0,36.7,0.14,86.0,6.6,25.08,6.25,18.77,0.06,34.04,29.75,1.77,0.45,28.0,58.0,0.0,0.22
51.61814,100,10.790021,0.79,3.0,51.62,0.16,84.0,6.81,25.18,6.4,18.69,0.09,76.62,38.28,2.09,0.21,26.0,16.0,42.0,0.22
48.33741,100,10.790021,0.84,19.0,48.34,0.16,84.0,6.86,24.77,6.37,18.33,0.07,96.69,31.5,0.83,0.16,28.0,38.0,18.0,0.22
33.805817,100,13.335829,0.76,11.0,33.81,0.26,74.0,3.76,24.04,3.87,20.08,0.09,65.88,22.72,4.2,0.24,21.0,13.0,40.0,0.22
49.591423,100,13.335829,0.57,15.0,49.59,0.05,95.0,3.99,19.74,3.94,15.75,0.05,117.77,42.16,1.48,0.43,61.0,34.0,0.0,0.22
61.48722,100,13.335829,0.88,13.0,61.49,0.14,86.0,3.0,21.73,3.04,18.63,0.06,70.69,21.12,3.54,0.12,34.0,33.0,19.0,0.22
