#{"t_start": 1718645658.5579524, "env_id": "None"}
r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
-56.63131,100,6.338603,0.48,13.0,-56.63,0.69,31.0,7.35,14.15,6.53,7.55,0.07,63.55,7.92,8.98,0.52,24.0,7.0,0.0,0.0
-78.513374,100,10.908218,-1.0,21.0,-78.51,0.86,14.0,5.43,9.63,5.71,3.86,0.06,79.84,38.94,0.89,0.38,4.0,9.0,1.0,0.51
-70.833755,100,14.84945,-1.0,18.0,-70.83,0.82,18.0,4.5,9.2,4.25,4.89,0.06,29.92,10.92,3.92,0.37,10.0,8.0,0.0,0.54
-36.45636,100,19.297588,0.75,9.0,-36.46,0.62,38.0,5.05,17.49,4.76,12.63,0.09,51.57,31.44,1.13,0.25,8.0,8.0,22.0,0.6
58.216537,100,24.254404,-1.0,23.0,58.22,0.12,88.0,7.14,36.26,6.65,29.52,0.09,125.06,30.44,2.93,0.22,13.0,42.0,33.0,0.58
-69.191574,100,28.797829,-1.0,16.0,-69.19,0.79,21.0,2.33,10.44,2.86,7.52,0.06,50.21,9.27,2.35,0.54,4.0,17.0,0.0,0.55
-15.595116,100,32.876023,-1.0,8.0,-15.6,0.5,50.0,2.32,18.45,2.83,15.52,0.1,77.53,32.47,1.1,0.35,18.0,3.0,29.0,0.56
-82.083694,100,36.882168,-1.0,13.0,-82.08,0.89,11.0,9.73,10.74,6.64,4.0,0.11,60.35,28.92,4.13,0.24,2.0,3.0,6.0,0.51
14.386309,100,41.65398,-1.0,22.0,14.39,0.15,85.0,8.01,73.23,7.24,65.93,0.06,100.58,28.9,2.09,0.58,3.0,77.0,5.0,0.6
59.0296,100,45.616811,0.66,9.0,59.03,0.03,97.0,15.22,53.47,9.58,43.84,0.05,129.94,44.44,1.51,0.34,50.0,47.0,0.0,0.63
