r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
45.46952,100,11.667507,0.8,11.0,45.47,0.17,83.0,6.89,25.36,6.33,18.96,0.07,41.25,16.43,3.24,0.14,23.0,39.0,21.0,0.0
64.91227,100,11.667507,0.8,21.0,64.91,0.08,92.0,5.91,21.89,5.98,15.85,0.07,81.25,28.32,2.74,0.35,48.0,44.0,0.0,0.0
42.013073,100,11.667507,0.81,7.0,42.01,0.19,81.0,6.96,23.94,6.39,17.48,0.07,71.94,32.66,2.34,0.15,35.0,29.0,17.0,0.0
50.741814,100,11.667507,0.82,7.0,50.74,0.13,87.0,7.63,23.11,6.78,16.25,0.08,52.03,26.87,1.54,0.19,42.0,28.0,17.0,0.0
33.26599,100,14.384449,-1.0,24.0,33.27,0.22,78.0,7.95,29.6,6.96,22.56,0.08,56.19,13.69,4.58,0.21,29.0,12.0,37.0,0.27
39.500317,100,14.385455,0.83,11.0,39.5,0.16,84.0,9.62,25.85,7.47,18.29,0.09,97.1,29.96,2.6,0.26,16.0,19.0,49.0,0.27
29.401947,100,14.385455,0.67,17.0,29.4,0.23,77.0,9.19,23.13,7.37,15.69,0.07,60.58,15.61,3.28,0.21,17.0,41.0,19.0,0.27
50.625843,100,14.385455,0.42,23.0,50.63,0.13,87.0,7.68,23.02,6.87,16.07,0.08,42.17,19.61,3.88,0.22,28.0,44.0,15.0,0.27
40.516193,100,16.987288,0.93,15.0,40.52,0.24,76.0,4.03,25.01,4.07,20.87,0.07,51.52,21.43,2.21,0.24,43.0,17.0,16.0,0.21
52.545773,100,16.987288,0.95,17.0,52.55,0.2,80.0,2.71,18.25,2.89,15.28,0.08,29.94,11.64,2.03,0.2,30.0,37.0,13.0,0.21
55.832268,100,16.987288,0.9,17.0,55.83,0.16,84.0,3.94,23.39,3.98,19.31,0.1,38.01,27.92,2.33,0.38,20.0,8.0,56.0,0.21
74.85061,100,16.987288,0.93,15.0,74.85,0.07,93.0,3.35,20.79,3.41,17.29,0.09,58.49,24.69,4.16,0.04,27.0,33.0,33.0,0.21
49.176556,100,19.285087,0.91,17.0,49.18,0.18,82.0,5.01,23.48,4.73,18.66,0.1,60.32,21.08,5.93,0.14,21.0,23.0,38.0,0.23
56.132942,100,19.285087,0.69,5.0,56.13,0.16,84.0,3.92,22.06,3.71,18.26,0.09,37.26,14.45,2.48,0.17,35.0,14.0,35.0,0.23
54.0885,100,19.285087,0.92,7.0,54.09,0.15,85.0,5.2,23.56,4.9,18.59,0.07,31.79,19.87,3.33,0.27,49.0,21.0,15.0,0.23
54.542046,100,19.285087,0.66,3.0,54.54,0.15,85.0,5.04,23.63,4.75,18.82,0.06,45.0,11.09,3.05,0.38,49.0,36.0,0.0,0.23
44.976498,100,22.159088,0.82,9.0,44.98,0.17,83.0,7.08,25.13,6.39,18.67,0.07,35.32,5.55,4.55,0.12,33.0,32.0,18.0,0.21
