r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
45.4217,100,3.146215,0.78,11.0,45.42,0.23,77.0,7.43,27.63,6.66,20.88,0.09,66.64,26.6,2.52,0.34,0.0,38.0,39.0,0.0
49.13348,100,5.039141,0.8,23.0,49.13,0.21,79.0,7.85,27.82,6.8,20.94,0.08,47.65,25.61,2.01,0.15,19.0,23.0,37.0,0.15
54.29118,100,6.47203,0.88,7.0,54.29,0.2,80.0,3.05,18.06,3.34,14.65,0.06,70.29,34.97,2.04,0.47,56.0,24.0,0.0,0.11
51.84482,100,8.113108,0.81,5.0,51.84,0.2,80.0,4.24,25.36,4.01,21.27,0.08,57.57,16.85,2.85,0.17,24.0,18.0,38.0,0.11
57.475174,100,9.505301,0.87,7.0,57.48,0.17,83.0,9.59,25.55,7.53,17.93,0.09,41.53,26.82,3.95,0.38,47.0,36.0,0.0,0.1
48.520267,100,11.520255,-1.0,24.0,48.52,0.22,78.0,2.03,23.92,2.41,21.44,0.07,55.99,20.52,3.43,0.5,58.0,0.0,20.0,0.1
73.571335,100,12.925876,0.9,9.0,73.57,0.1,90.0,2.83,18.07,3.49,14.51,0.07,48.15,24.07,3.29,0.44,60.0,30.0,0.0,0.11
47.435875,100,14.376102,0.84,19.0,47.44,0.22,78.0,8.62,27.24,6.22,20.92,0.1,80.34,32.77,2.53,0.37,35.0,0.0,43.0,0.13
65.96077,100,15.887736,0.78,21.0,65.96,0.12,88.0,6.17,28.27,4.95,23.25,0.07,59.79,18.2,3.6,0.22,47.0,23.0,18.0,0.11
51.464314,100,17.553164,0.86,1.0,51.46,0.2,80.0,5.41,26.5,4.05,22.38,0.08,31.5,16.09,4.48,0.49,59.0,0.0,21.0,0.14
58.838524,100,18.989842,0.83,13.0,58.84,0.17,83.0,3.72,21.62,2.97,18.58,0.07,74.99,43.44,2.2,0.1,35.0,23.0,25.0,0.11
66.42104,100,20.643413,0.81,3.0,66.42,0.12,88.0,3.24,27.02,3.44,23.48,0.1,76.05,28.05,3.95,0.49,0.0,23.0,65.0,0.12
68.14597,100,22.359339,0.8,15.0,68.15,0.12,88.0,2.59,22.33,3.19,19.07,0.08,97.2,37.49,3.55,0.16,18.0,39.0,31.0,0.11
68.409256,100,24.004604,0.76,19.0,68.41,0.11,89.0,9.42,26.75,6.71,19.96,0.09,67.14,22.6,11.24,0.39,63.0,11.0,15.0,0.11
55.98974,100,25.893598,0.86,13.0,55.99,0.18,82.0,7.05,24.35,6.1,18.2,0.05,84.59,29.22,1.8,0.4,49.0,33.0,0.0,0.11
60.59353,100,27.830401,-1.0,24.0,60.59,0.16,84.0,6.9,22.07,6.31,15.69,0.07,30.23,11.56,3.25,0.37,37.0,47.0,0.0,0.12
66.24986,100,29.674469,0.81,23.0,66.25,0.13,87.0,7.26,22.29,6.29,15.93,0.07,93.55,37.78,2.07,0.2,44.0,25.0,18.0,0.12
64.68489,100,31.592282,0.82,19.0,64.68,0.14,86.0,5.88,21.33,4.7,16.56,0.07,76.07,32.51,2.77,0.22,47.0,19.0,20.0,0.12
59.664165,100,33.024833,0.86,13.0,59.66,0.17,83.0,3.94,19.24,3.92,15.25,0.08,53.87,21.42,3.33,0.18,41.0,24.0,18.0,0.12
50.135925,100,34.651838,0.78,17.0,50.14,0.2,80.0,13.55,30.47,8.69,21.7,0.08,41.73,18.34,1.32,0.37,44.0,0.0,36.0,0.11
65.92026,100,36.031085,0.83,7.0,65.92,0.13,87.0,5.24,23.2,4.48,18.64,0.07,73.53,29.28,5.35,0.13,35.0,34.0,18.0,0.11
31.535938,100,37.900388,-1.0,24.0,31.54,0.31,69.0,6.3,23.39,4.72,18.55,0.11,45.69,15.15,4.59,0.67,0.0,0.0,69.0,0.11
55.061726,100,40.019776,0.84,3.0,55.06,0.19,81.0,8.67,21.47,6.32,15.09,0.06,94.26,34.73,2.41,0.24,43.0,24.0,14.0,0.1
67.90779,100,42.15401,0.91,19.0,67.91,0.12,88.0,9.95,22.98,7.76,15.16,0.06,97.06,35.19,2.78,0.36,41.0,47.0,0.0,0.12
66.37589,100,43.629939,0.79,3.0,66.38,0.13,87.0,9.33,21.94,7.39,14.51,0.05,63.95,22.32,3.05,0.34,44.0,43.0,0.0,0.11
49.776024,100,45.470363,0.78,1.0,49.78,0.21,79.0,3.9,25.88,4.24,21.57,0.07,52.75,39.82,2.01,0.11,26.0,33.0,20.0,0.12
70.42977,100,47.099588,0.83,21.0,70.43,0.11,89.0,4.78,21.33,4.8,16.47,0.06,62.67,42.62,3.83,0.25,43.0,36.0,10.0,0.11
65.16148,100,49.012641,0.86,19.0,65.16,0.13,87.0,7.91,25.28,6.64,18.57,0.07,86.08,28.45,3.34,0.28,52.0,15.0,20.0,0.12
64.98402,100,51.087368,0.83,21.0,64.98,0.14,86.0,3.3,20.5,3.56,16.88,0.06,80.34,39.01,1.99,0.44,57.0,29.0,0.0,0.11
59.75571,100,53.206581,0.89,21.0,59.76,0.17,83.0,6.46,18.98,4.52,14.39,0.07,91.85,31.26,2.89,0.22,37.0,37.0,9.0,0.11
65.54627,100,54.868199,0.84,13.0,65.55,0.14,86.0,5.12,18.94,4.71,14.16,0.06,78.4,33.14,3.16,0.36,46.0,40.0,0.0,0.11
58.591698,100,56.522426,0.84,9.0,58.59,0.17,83.0,4.59,22.33,3.84,18.43,0.06,100.1,29.57,3.6,0.35,39.0,44.0,0.0,0.11
60.04718,100,57.961797,0.85,1.0,60.05,0.16,84.0,6.39,23.63,4.95,18.6,0.08,85.73,32.69,5.95,0.21,13.0,32.0,39.0,0.11
64.47867,100,59.422866,-1.0,24.0,64.48,0.13,87.0,3.21,27.16,3.94,23.15,0.06,53.66,32.09,3.43,0.15,42.0,22.0,23.0,0.13
43.31246,100,60.807664,0.82,17.0,43.31,0.25,75.0,2.0,22.31,2.38,19.84,0.09,58.14,36.42,2.3,0.35,36.0,0.0,39.0,0.12
60.692528,100,62.235104,0.81,3.0,60.69,0.15,85.0,3.16,27.17,3.31,23.79,0.08,34.29,24.79,3.01,0.12,35.0,20.0,30.0,0.1
60.63285,100,64.063173,0.76,17.0,60.63,0.14,86.0,11.86,32.59,8.52,24.0,0.07,50.44,15.64,4.25,0.47,61.0,0.0,25.0,0.11
66.58236,100,65.708532,0.86,15.0,66.58,0.13,87.0,6.23,21.38,4.8,16.51,0.07,91.28,32.38,3.53,0.15,41.0,25.0,21.0,0.11
45.636787,100,67.133535,0.82,21.0,45.64,0.24,76.0,3.13,21.01,3.91,17.0,0.1,41.15,24.37,3.56,0.16,15.0,28.0,33.0,0.12
50.95002,100,69.014333,0.81,3.0,50.95,0.2,80.0,7.4,28.04,6.62,21.32,0.09,36.85,24.16,4.47,0.16,21.0,20.0,39.0,0.11
65.57001,100,70.402981,0.84,23.0,65.57,0.14,86.0,2.71,18.87,2.77,16.02,0.07,74.02,26.42,2.27,0.19,44.0,23.0,19.0,0.11
56.046246,100,72.267113,-1.0,24.0,56.05,0.17,83.0,10.07,29.66,7.53,22.05,0.08,57.78,32.68,4.44,0.36,45.0,0.0,38.0,0.11
60.201115,100,73.683558,0.82,13.0,60.2,0.16,84.0,8.96,23.19,6.12,17.0,0.07,60.5,32.86,3.93,0.45,57.0,27.0,0.0,0.11
68.04645,100,75.328048,0.8,1.0,68.05,0.11,89.0,5.21,27.73,4.15,23.48,0.1,45.04,28.14,2.31,0.49,24.0,0.0,65.0,0.11
52.66363,100,76.737804,0.79,5.0,52.66,0.2,80.0,6.4,22.92,5.45,17.4,0.07,23.33,13.91,3.99,0.3,12.0,48.0,20.0,0.11
44.10716,100,78.411816,0.83,5.0,44.11,0.24,76.0,4.84,25.82,5.26,20.47,0.08,65.09,37.9,0.97,0.37,42.0,0.0,34.0,0.11
57.12073,100,80.253148,0.8,11.0,57.12,0.17,83.0,12.43,26.57,8.64,17.86,0.07,87.5,34.71,2.27,0.22,46.0,18.0,19.0,0.11
49.48463,100,81.670036,-1.0,24.0,49.48,0.22,78.0,7.0,20.96,5.99,14.9,0.07,58.25,22.35,4.33,0.17,24.0,37.0,17.0,0.11
