r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
68.5574,100,8.940261,0.84,1.0,68.56,0.12,88.0,7.0,21.21,6.56,14.59,0.06,117.76,37.12,1.64,0.22,37.0,40.0,11.0,0.0
63.30172,100,8.940261,-1.0,24.0,63.3,0.14,86.0,7.35,25.17,6.6,18.51,0.06,70.03,23.52,4.48,0.16,32.0,37.0,17.0,0.0
52.7058,100,8.940261,0.8,11.0,52.71,0.19,81.0,8.2,28.42,6.94,21.41,0.07,53.7,21.54,6.8,0.19,41.0,18.0,22.0,0.0
61.773014,100,8.940261,0.92,21.0,61.77,0.15,85.0,9.88,24.13,7.56,16.52,0.06,63.05,19.34,3.13,0.38,48.0,37.0,0.0,0.0
65.40403,100,11.374921,-1.0,24.0,65.4,0.13,87.0,9.84,24.61,7.76,16.78,0.07,29.28,15.64,4.88,0.34,53.0,26.0,8.0,0.24
66.63642,100,11.374921,0.91,9.0,66.64,0.13,87.0,8.92,21.23,7.3,13.86,0.07,57.46,15.0,1.58,0.38,37.0,50.0,0.0,0.24
63.17625,100,11.374921,0.87,3.0,63.18,0.14,86.0,7.44,25.52,6.63,18.79,0.1,31.58,19.91,5.48,0.1,21.0,34.0,31.0,0.24
52.594845,100,11.374921,0.77,5.0,52.59,0.19,81.0,7.11,28.75,6.51,22.15,0.09,76.76,39.35,0.84,0.67,0.0,0.0,81.0,0.24
53.859676,100,13.962024,0.87,19.0,53.86,0.2,80.0,2.89,19.34,3.16,16.12,0.06,67.79,23.74,2.45,0.21,35.0,35.0,10.0,0.21
53.82012,100,13.962024,0.79,5.0,53.82,0.19,81.0,3.31,25.14,3.41,21.63,0.09,19.03,9.53,2.85,0.52,0.0,18.0,63.0,0.21
64.00826,100,13.962024,0.82,21.0,64.01,0.14,86.0,4.3,23.21,4.35,18.79,0.07,29.52,23.16,9.47,0.43,31.0,55.0,0.0,0.21
53.51994,100,13.962024,0.83,5.0,53.52,0.19,81.0,3.95,26.02,4.02,21.9,0.1,65.52,30.62,1.78,0.37,45.0,0.0,36.0,0.21
70.80162,100,16.622067,0.87,3.0,70.8,0.1,90.0,5.28,25.43,4.97,20.4,0.05,73.53,38.39,2.6,0.35,47.0,43.0,0.0,0.21
63.207943,100,16.622067,0.87,9.0,63.21,0.14,86.0,5.8,25.43,5.46,19.91,0.07,86.51,23.04,2.64,0.31,24.0,51.0,11.0,0.21
50.091316,100,16.622067,0.86,19.0,50.09,0.22,78.0,4.95,19.1,4.67,14.38,0.05,94.2,33.76,4.57,0.34,38.0,40.0,0.0,0.21
52.697044,100,16.622067,-1.0,24.0,52.7,0.2,80.0,5.64,22.82,5.31,17.43,0.09,33.31,11.75,5.48,0.13,18.0,34.0,28.0,0.21
61.60618,100,19.322951,0.81,1.0,61.61,0.14,86.0,7.72,29.89,6.72,23.09,0.08,67.02,42.49,1.41,0.46,59.0,0.0,27.0,0.21
63.011635,100,19.322951,-1.0,24.0,63.01,0.15,85.0,7.91,20.65,6.85,13.69,0.1,29.63,17.52,2.87,0.43,55.0,30.0,0.0,0.21
52.37656,100,19.322951,0.82,1.0,52.38,0.2,80.0,6.8,23.77,6.34,17.38,0.06,109.92,34.86,2.23,0.55,66.0,14.0,0.0,0.21
53.07048,100,19.322951,-1.0,24.0,53.07,0.19,81.0,10.81,27.35,7.96,19.31,0.08,21.71,12.94,4.66,0.36,51.0,23.0,7.0,0.21
62.171215,100,21.859441,0.83,9.0,62.17,0.16,84.0,1.63,17.58,1.87,15.64,0.07,89.17,38.02,3.61,0.02,27.0,30.0,27.0,0.2
53.503647,100,21.859441,0.82,9.0,53.5,0.2,80.0,1.75,20.41,2.02,18.3,0.08,19.16,7.46,30.57,0.07,30.0,22.0,28.0,0.2
64.84012,100,21.859441,0.87,19.0,64.84,0.14,86.0,1.7,20.9,1.95,18.88,0.06,78.91,35.39,3.92,0.19,37.0,37.0,12.0,0.2
61.094803,100,21.859441,-1.0,24.0,61.09,0.16,84.0,2.1,20.65,2.52,18.05,0.08,71.94,24.93,2.7,0.16,16.0,36.0,32.0,0.2
53.16511,100,24.404121,0.82,13.0,53.17,0.2,80.0,3.12,21.42,3.87,17.48,0.08,63.1,30.93,3.04,0.12,32.0,17.0,31.0,0.28
41.06972,100,24.404121,0.83,23.0,41.07,0.26,74.0,2.88,23.38,3.55,19.76,0.08,62.51,26.83,4.08,0.14,21.0,19.0,34.0,0.28
56.936928,100,24.404121,0.86,13.0,56.94,0.18,82.0,2.88,21.59,3.53,17.98,0.08,45.37,22.65,4.0,0.28,50.0,15.0,17.0,0.28
53.188675,100,24.404121,0.83,19.0,53.19,0.2,80.0,2.65,21.35,3.26,18.02,0.07,73.65,36.2,4.01,0.38,54.0,8.0,18.0,0.28
64.21389,100,26.666426,-1.0,24.0,64.21,0.14,86.0,9.65,22.64,6.52,16.05,0.07,69.73,21.23,4.73,0.17,34.0,37.0,15.0,0.21
62.535477,100,26.666426,0.88,19.0,62.54,0.15,85.0,8.52,21.99,5.85,16.07,0.07,35.3,19.79,3.34,0.48,61.0,24.0,0.0,0.21
62.41523,100,26.666426,0.84,21.0,62.42,0.15,85.0,8.45,22.33,6.01,16.24,0.08,34.73,20.96,3.32,0.45,58.0,27.0,0.0,0.21
43.633724,100,26.666426,0.83,11.0,43.63,0.24,76.0,7.63,27.31,5.5,21.74,0.07,89.01,44.15,2.19,0.51,58.0,0.0,18.0,0.21
42.26961,100,29.103884,-1.0,24.0,42.27,0.25,75.0,5.35,25.63,4.31,21.25,0.07,35.37,13.47,33.63,0.04,25.0,23.0,27.0,0.22
42.25846,100,29.103884,0.79,21.0,42.26,0.25,75.0,5.56,25.67,4.69,20.93,0.05,59.57,10.99,3.57,0.36,34.0,41.0,0.0,0.22
46.964024,100,29.103884,0.83,5.0,46.96,0.23,77.0,7.31,22.84,5.95,16.83,0.06,97.23,42.41,1.73,0.16,26.0,35.0,16.0,0.22
61.60059,100,29.103884,0.85,9.0,61.6,0.15,85.0,6.49,24.62,4.99,19.55,0.07,77.9,24.25,5.16,0.23,46.0,17.0,22.0,0.22
40.734325,100,31.576721,0.82,1.0,40.73,0.26,74.0,6.55,24.47,4.89,19.51,0.06,59.81,27.63,2.43,0.5,56.0,18.0,0.0,0.2
78.3492,100,31.576721,0.82,11.0,78.35,0.07,93.0,4.49,20.66,3.34,17.25,0.07,103.33,38.58,2.67,0.07,37.0,29.0,27.0,0.2
64.78739,100,31.576721,0.82,1.0,64.79,0.14,86.0,5.47,21.04,4.4,16.58,0.06,83.24,42.1,4.55,0.22,28.0,43.0,15.0,0.2
58.583183,100,31.576721,0.76,11.0,58.58,0.16,84.0,7.12,27.79,5.27,22.43,0.09,43.99,20.93,4.38,0.24,22.0,16.0,46.0,0.2
58.687065,100,34.096572,0.85,15.0,58.69,0.16,84.0,5.98,27.5,4.45,22.98,0.07,58.77,37.01,2.39,0.06,26.0,33.0,25.0,0.21
