#{"t_start": 1718647767.4506636, "env_id": "None"}
r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
-20.576935,100,5.478941,-1.0,6.0,-20.58,0.59,41.0,8.29,16.02,6.95,8.98,0.09,53.98,30.71,2.26,0.18,9.0,12.0,20.0,0.0
-66.67419,100,8.412664,-1.0,21.0,-66.67,0.83,17.0,4.94,10.48,5.44,4.94,0.1,30.05,16.7,2.88,0.35,6.0,10.0,1.0,0.38
25.566795,100,11.708351,0.77,13.0,25.57,0.34,66.0,1.45,24.3,1.48,22.76,0.06,96.68,29.73,1.6,0.19,30.0,25.0,11.0,0.31
18.54884,100,14.181039,0.93,9.0,18.55,0.38,62.0,5.18,22.01,4.88,17.03,0.1,52.03,19.64,4.16,0.16,13.0,21.0,28.0,0.35
-21.232162,100,16.848416,-1.0,10.0,-21.23,0.59,41.0,6.05,19.84,6.16,13.61,0.07,41.07,29.91,6.57,0.05,15.0,14.0,12.0,0.35
45.671455,100,20.134377,-1.0,16.0,45.67,0.23,77.0,3.22,26.85,4.0,22.78,0.07,78.53,32.01,2.68,0.06,30.0,23.0,24.0,0.33
18.746773,100,23.050583,0.75,19.0,18.75,0.38,62.0,2.58,21.25,3.19,18.0,0.06,43.76,17.8,5.33,0.51,47.0,15.0,0.0,0.33
68.6612,100,25.453193,0.67,3.0,68.66,0.09,91.0,3.21,36.03,2.37,33.6,0.05,95.39,35.93,1.52,0.34,45.0,46.0,0.0,0.33
17.635485,100,28.110014,-1.0,22.0,17.64,0.38,62.0,3.56,25.53,3.09,22.39,0.06,54.09,30.54,2.39,0.53,49.0,13.0,0.0,0.35
-26.071783,100,30.685148,-1.0,13.0,-26.07,0.62,38.0,2.13,14.03,1.92,12.0,0.11,55.08,19.58,1.9,0.18,14.0,17.0,7.0,0.36
28.357029,100,33.284175,0.84,1.0,28.36,0.33,67.0,8.37,21.13,5.81,15.25,0.06,95.07,41.22,2.65,0.37,44.0,16.0,7.0,0.38
29.824291,100,35.81765,-1.0,18.0,29.82,0.32,68.0,2.85,22.71,3.47,19.18,0.06,97.21,39.94,1.82,0.44,23.0,45.0,0.0,0.35
62.477596,100,38.347863,0.78,13.0,62.48,0.14,86.0,2.92,27.46,3.58,23.81,0.07,112.44,26.75,3.05,0.05,33.0,26.0,27.0,0.36
-24.66206,100,40.556158,-1.0,6.0,-24.66,0.6,40.0,2.8,28.86,3.25,25.55,0.06,68.55,9.95,2.85,0.48,30.0,9.0,1.0,0.37
38.850063,100,43.295395,-1.0,18.0,38.85,0.26,74.0,6.16,30.55,5.57,24.92,0.06,69.7,28.71,3.03,0.57,63.0,11.0,0.0,0.35
-7.2254744,100,46.047939,-1.0,8.0,-7.23,0.52,48.0,3.96,17.06,4.11,12.88,0.07,46.12,22.42,3.38,0.42,32.0,14.0,2.0,0.37
74.31896,100,48.810986,0.76,21.0,74.32,0.07,93.0,9.87,31.02,6.99,23.96,0.07,115.65,30.53,1.95,0.11,25.0,41.0,27.0,0.36
20.94026,100,51.487945,-1.0,23.0,20.94,0.37,63.0,2.81,20.19,2.71,17.4,0.08,55.44,17.85,3.35,0.17,12.0,28.0,23.0,0.43
-32.035854,100,54.130055,-1.0,15.0,-32.04,0.65,35.0,3.17,14.9,3.23,11.6,0.07,32.54,6.88,6.34,0.15,7.0,15.0,13.0,0.34
-32.405403,100,56.688946,-1.0,24.0,-32.41,0.64,36.0,4.33,30.25,3.75,26.39,0.11,56.63,38.55,2.18,0.54,2.0,3.0,31.0,0.34
-47.44594,100,59.81897,-1.0,9.0,-47.45,0.73,27.0,2.44,13.8,3.06,10.67,0.08,45.64,25.72,5.19,0.44,18.0,0.0,9.0,0.34
6.3898163,100,62.26676,-1.0,22.0,6.39,0.45,55.0,1.82,16.69,2.09,14.51,0.09,34.32,13.05,2.71,0.05,17.0,17.0,21.0,0.35
-61.064163,100,65.222544,-1.0,16.0,-61.06,0.8,20.0,4.45,13.72,4.33,9.3,0.09,74.38,25.75,0.99,0.37,9.0,0.0,11.0,0.39
-35.87595,100,67.67957,0.91,19.0,-35.88,0.67,33.0,3.82,14.59,4.02,10.48,0.09,43.45,20.15,4.43,0.42,12.0,21.0,0.0,0.3
-23.559927,100,70.050204,0.87,9.0,-23.56,0.6,40.0,4.6,22.27,5.38,16.8,0.1,50.87,26.0,4.07,0.43,0.0,14.0,26.0,0.36
-43.86518,100,72.846277,0.86,7.0,-43.87,0.71,29.0,2.34,16.37,2.84,13.45,0.08,46.85,34.23,4.24,0.41,18.0,0.0,11.0,0.34
-17.214043,100,75.816113,-1.0,15.0,-17.21,0.57,43.0,2.74,18.86,3.33,15.44,0.1,81.81,32.51,4.16,0.23,20.0,5.0,18.0,0.35
-9.391405,100,78.931706,-1.0,12.0,-9.39,0.53,47.0,5.11,18.25,5.21,12.98,0.05,87.44,33.89,3.94,0.37,26.0,21.0,0.0,0.36
39.4144,100,81.283437,-1.0,17.0,39.41,0.28,72.0,2.29,16.22,2.72,13.44,0.05,134.1,38.57,3.16,0.33,34.0,37.0,1.0,0.36
-60.84803,100,83.743109,-1.0,4.0,-60.85,0.8,20.0,1.7,11.13,1.65,9.4,0.08,63.26,24.88,5.24,0.27,2.0,8.0,10.0,0.37
11.216583,100,86.238312,-1.0,20.0,11.22,0.42,58.0,3.1,20.71,3.28,17.34,0.09,38.68,10.97,4.28,0.18,10.0,22.0,26.0,0.34
-36.90549,100,88.699346,-1.0,17.0,-36.91,0.67,33.0,1.45,22.04,1.56,20.42,0.06,49.99,24.49,3.25,0.65,32.0,0.0,1.0,0.38
-2.4414086,100,91.122218,0.71,9.0,-2.44,0.48,52.0,1.4,30.61,1.59,28.96,0.06,58.59,26.29,2.5,0.47,15.0,37.0,0.0,0.36
15.415453,100,94.07867,-1.0,24.0,15.42,0.37,63.0,1.71,41.15,1.95,39.14,0.06,19.68,36.88,45.75,0.51,9.0,51.0,3.0,0.32
