1,46.74,0.14,86.0,7.67,30.26,6.8,23.4,0.06,87.88,34.36,2.74,0.49,63.0,23.0,0.0,0.27
1,53.75,0.19,81.0,6.81,23.94,6.36,17.51,0.08,88.23,24.29,1.13,0.12,18.0,32.0,31.0,0.27
1,49.91,0.14,86.0,7.67,25.75,6.92,18.77,0.06,55.93,27.1,3.46,0.41,33.0,53.0,0.0,0.27
2,67.85,0.1,90.0,8.44,24.8,7.14,17.58,0.08,63.95,23.71,2.92,0.1,35.0,22.0,33.0,0.24

2,33.79,0.2,80.0,8.1,28.11,6.94,21.1,0.07,73.29,29.67,3.6,0.52,62.0,0.0,18.0,0.24
4
3,61.65,0.11,89.0,2.74,20.03,2.97,16.99,0.07,59.04,20.31,3.15,0.25,45.0,33.0,11.0,0.43
3,60.29,0.11,89.0,4.15,18.44,4.21,14.16,0.07,68.75,24.04,4.76,0.23,38.0,41.0,10.0,0.43
4,40.76,0.24,76.0,3.76,20.29,3.57,16.66,0.07,30.09,18.37,2.57,0.2,36.0,27.0,13.0,0.23
4,44.53,0.21,79.0,4.28,25.2,4.04,21.09,0.07,55.29,20.66,1.5,0.24,19.0,44.0,16.0,0.23
4,42.92,0.23,77.0,4.0,20.75,3.79,16.88,0.08,74.39,29.15,3.97,0.12,19.0,25.0,33.0,0.23
5,47.59,0.2,80.0,10.65,27.55,8.03,19.43,0.09,35.68,19.93,4.9,0.17,16.0,27.0,37.0,0.23

5,43.3,0.21,79.0,9.57,24.97,7.5,17.39,0.08,66.14,19.7,3.76,0.17,25.0,37.0,17.0,0.23
5,51.01,0.18,82.0,8.24,25.53,7.16,18.29,0.08,73.86,38.59,2.41,0.19,16.0,39.0,27.0,0.23
6,37.58,0.22,78.0,2.13,20.25,2.56,17.64,0.05,66.1,17.16,3.56,0.38,44.0,34.0,0.0,0.22
6,50.7,0.14,86.0,1.76,17.84,2.06,15.72,0.06,63.33,34.12,2.18,0.36,39.0,47.0,0.0,0.22
7,50.87,0.14,86.0,2.84,19.88,3.5,16.3,0.07,55.28,24.9,4.2,0.37,48.0,38.0,0.0,0.21
7,49.84,0.13,87.0,3.14,19.52,3.88,15.56,0.08,25.86,16.2,1.83,0.44,58.0,29.0,0.0,0.21
7,48.88,0.18,82.0,2.79,25.61,3.44,22.1,0.07,36.69,18.41,51.92,0.2,24.0,41.0,17.0,0.21
8,65.55,0.12,88.0,11.53,26.93,7.67,19.18,0.08,66.64,28.87,2.95,0.14,19.0,37.0,32.0,0.21
8,28.23,0.24,76.0,9.01,26.48,6.33,20.08,0.08,59.08,34.11,2.71,0.51,58.0,0.0,18.0,0.21
9,54.32,0.17,83.0,6.9,27.17,5.31,21.78,0.07,71.0,22.41,2.97,0.15,22.0,40.0,21.0,0.21
9,47.87,0.17,83.0,4.08,19.52,3.42,16.02,0.07,30.22,13.44,4.38,0.35,40.0,43.0,0.0,0.21

9,48.34,0.19,81.0,7.7,23.89,6.01,17.8,0.08,80.57,34.57,1.28,0.18,14.0,31.0,36.0,0.21
10,56.87,0.11,89.0,5.35,23.18,4.15,18.97,0.06,41.02,15.14,2.68,0.38,38.0,51.0,0.0,0.22
10,43.63,0.22,78.0,6.56,19.86,5.28,14.51,0.07,108.57,31.85,1.66,0.19,36.0,28.0,14.0,0.22
10,71.25,0.07,93.0,5.83,24.76,4.32,20.37,0.08,52.99,28.3,3.16,0.22,42.0,12.0,39.0,0.22
11,66.86,0.11,89.0,5.98,18.52,4.37,14.07,0.08,55.02,17.71,2.97,0.16,36.0,37.0,16.0,0.211111,45.27,0.21,79.0,3.71,20.94,3.18,17.65,0.11,34.02,24.81,2.18,0.25,21.0,14.0,44.0,0.21
12,56.15,0.1,90.0,3.01,19.46,3.08,16.31,0.06,15.22,9.25,5.08,0.45,61.0,29.0,0.0,0.21
12,61.72,0.11,89.0,3.97,18.86,4.1,14.67,0.09,30.36,9.96,3.73,0.23,46.0,28.0,15.0,0.21
12,47.7,0.2,80.0,3.26,21.47,3.66,17.73,0.08,44.64,23.66,2.78,0.17,38.0,17.0,25.0,0.21
12,56.82,0.18,82.0,4.3,19.68,4.44,15.17,0.07,75.99,23.2,2.61,0.15,35.0,30.0,17.0,0.21
13,47.38,0.2,80.0,3.2,18.96,3.96,14.93,0.07,51.57,18.62,2.68,0.21,31.0,37.0,12.0,0.23
13,36.2,0.19,81.0,2.8,26.03,3.44,22.49,0.09,91.57,39.93,1.13,0.51,0.0,19.0,62.0,0.23

13,39.87,0.2,80.0,2.62,24.56,3.21,21.27,0.08,77.99,26.59,4.5,0.36,0.0,43.0,37.0,0.23
14,56.33,0.17,83.0,8.39,24.64,6.51,18.05,0.08,25.04,16.77,4.5,0.1,28.0,21.0,34.0,0.21


14,36.88,0.24,76.0,10.58,28.33,7.43,20.82,0.08,32.3,13.29,3.93,0.26,18.0,44.0,14.0,0.21
15,45.72,0.16,84.0,9.64,30.83,7.38,23.36,0.1,49.02,27.72,1.48,0.4,34.0,0.0,50.0,0.2
15,51.3,0.18,82.0,8.73,25.01,7.2,17.76,0.06,87.47,32.35,1.75,0.19,31.0,37.0,14.0,0.2

15,55.15,0.15,85.0,7.06,24.48,5.88,18.52,0.08,33.44,10.06,7.61,0.19,40.0,16.0,29.0,0.2
16,39.26,0.2,80.0,8.6,21.37,6.81,14.5,0.06,50.1,25.03,3.39,0.43,28.0,52.0,0.0,0.21
21

17,61.35,0.09,91.0,8.62,23.34,6.87,16.4,0.08,55.67,10.29,4.25,0.34,47.0,44.0,0.0,0.21
17,59.42,0.14,86.0,9.0,23.81,7.21,16.53,0.07,56.86,26.37,2.86,0.13,36.0,31.0,19.0,0.21
17,50.16,0.15,85.0,6.16,19.38,5.53,13.79,0.06,95.82,29.23,4.41,0.39,50.0,35.0,0.0,0.21
18,66.33,0.1,90.0,5.5,24.9,4.8,20.04,0.06,90.98,38.07,2.1,0.21,47.0,25.0,18.0,0.22
2
18,48.82,0.13,87.0,6.69,21.43,5.3,16.07,0.06,80.1,37.72,1.46,0.46,27.0,60.0,0.0,0.22

19,51.17,0.18,82.0,4.98,23.43,4.82,18.54,0.07,39.1,23.23,1.55,0.2,19.0,43.0,20.0,0.21

19,61.06,0.12,88.0,4.64,24.73,4.5,20.16,0.07,72.04,33.62,2.22,0.17,41.0,28.0,19.0,0.21
20,34.77,0.21,79.0,13.7,30.46,8.77,21.62,0.08,83.93,32.57,1.84,0.46,55.0,0.0,24.0,0.2

20,45.66,0.17,83.0,13.3,25.15,8.55,16.53,0.06,80.51,23.16,3.14,0.37,46.0,37.0,0.0,0.2
21,40.15,0.17,83.0,6.07,27.55,5.06,22.39,0.1,38.19,21.7,3.24,0.49,22.0,0.0,61.0,8.84

22,78.57,0.07,93.0,4.03,20.58,3.62,16.88,0.07,55.06,25.01,4.36,0.02,32.0,32.0,29.0,0.22
22,85.74,0.02,98.0,4.0,21.19,3.2,17.9,0.09,81.92,30.12,3.35,0.16,42.0,38.0,18.0,0.22
22,81.45,0.03,97.0,7.31,24.12,5.56,18.47,0.09,91.7,29.5,4.04,0.21,50.0,27.0,20.0,0.22
22,63.86,0.07,93.0,5.06,24.66,4.17,20.43,0.06,42.62,15.42,6.89,0.37,51.0,42.0,0.0,0.22
23,70.74,0.07,93.0,5.14,21.81,4.49,17.25,0.07,41.8,24.4,2.57,0.22,43.0,37.0,13.0,0.21

24,70.95,0.07,93.0,7.94,26.99,6.64,20.26,0.09,76.91,35.05,3.34,0.32,15.0,19.0,59.0,0.2124,47.96,0.12,88.0,8.7,30.76,7.05,23.61,0.1,56.57,38.16,4.41,0.5,0.0,22.0,66.0,0.21
25,64.21,0.03,97.0,6.68,27.35,6.29,20.99,0.07,58.15,21.72,4.92,0.53,77.0,20.0,0.0,0.21
25,76.35,0.04,96.0,6.83,27.05,6.35,20.6,0.09,71.99,34.01,1.07,0.3,17.0,19.0,60.0,0.21
26,42.98,0.17,83.0,3.78,27.0,4.13,22.8,0.08,39.98,33.9,3.44,0.39,49.0,0.0,34.0,0.21
26,56.63,0.15,85.0,4.0,27.51,4.44,22.99,0.08,65.38,24.82,3.47,0.16,39.0,18.0,28.0,0.21
26,58.5,0.05,95.0,4.65,25.35,4.89,20.4,0.05,73.05,26.48,2.48,0.57,14.0,81.0,0.0,0.21
26,74.67,0.06,94.0,4.36,22.46,4.68,17.7,0.07,60.86,25.64,3.16,0.15,25.0,45.0,24.0,0.21
27,72.89,0.02,98.0,4.89,22.05,4.5,17.49,0.06,107.41,34.7,3.44,0.35,52.0,46.0,0.0,0.21

27,71.32,0.07,93.0,8.13,27.23,6.37,20.77,0.09,34.09,15.19,3.64,0.11,21.0,37.0,35.0,0.21
27,70.27,0.04,96.0,4.41,23.08,4.05,18.98,0.05,105.2,40.52,3.09,0.35,50.0,46.0,0.0,0.21
28,71.82,0.08,92.0,6.26,24.97,5.38,19.52,0.07,67.36,31.01,3.04,0.14,38.0,36.0,18.0,0.23
29,59.63,0.12,88.0,3.16,27.81,3.44,24.3,0.07,59.73,29.19,2.52,0.18,45.0,22.0,21.0,0.21
29,63.34,0.06,94.0,3.22,23.77,3.4,20.3,0.07,70.67,28.17,3.93,0.27,18.0,56.0,20.0,0.21
29,81.42,0.01,99.0,4.4,22.38,4.68,17.64,0.06,97.78,42.11,2.47,0.2,47.0,34.0,18.0,0.21

30,58.53,0.06,94.0,7.64,23.76,5.64,18.06,0.05,92.41,40.04,1.65,0.52,73.0,21.0,0.0,0.2
30,71.68,0.08,92.0,7.17,25.44,5.55,19.8,0.08,38.49,17.47,2.46,0.2,42.0,14.0,36.0,0.2
30,52.4,0.13,87.0,5.99,23.25,4.44,18.74,0.07,42.15,19.6,3.01,0.32,14.0,56.0,17.0,0.2
31,69.81,0.08,92.0,7.02,29.86,5.6,24.2,0.07,68.84,16.36,3.23,0.17,21.0,45.0,26.0,0.21
31,71.98,0.05,95.0,6.72,30.77,5.55,25.14,0.09,49.96,22.87,2.12,0.12,28.0,25.0,42.0,0.21
31,62.5,0.06,94.0,6.45,26.42,5.59,20.77,0.07,35.56,16.21,7.49,0.35,64.0,16.0,14.0,0.21
31,63.51,0.09,91.0,4.86,20.87,4.29,16.51,0.08,34.69,12.9,2.53,0.25,47.0,31.0,13.0,0.21
32,67.18,0.04,96.0,5.73,24.04,4.72,19.27,0.05,92.42,34.93,1.83,0.42,60.0,36.0,0.0,0.2
32,68.9,0.09,91.0,7.08,23.42,5.44,17.89,0.09,20.83,5.46,6.0,0.22,21.0,50.0,20.0,0.2
32,66.23,0.09,91.0,5.91,26.06,4.46,21.52,0.08,85.75,42.13,2.36,0.18,21.0,25.0,45.0,0.2
33,69.48,0.07,93.0,5.19,22.37,4.63,17.66,0.08,28.69,15.03,2.91,0.24,45.0,37.0,11.0,0.21
33,47.22,0.19,81.0,6.81,27.3,5.26,21.95,0.09,62.67,19.97,3.16,0.2,18.0,21.0,42.0,0.21

33,60.11,0.11,89.0,5.6,28.08,4.58,23.42,0.09,61.4,19.56,1.57,0.18,21.0,23.0,45.0,0.21
34,71.02,0.06,94.0,2.66,23.72,3.21,20.45,0.06,80.5,29.68,3.27,0.28,57.0,17.0,20.0,0.21

34,71.1,0.02,98.0,3.51,20.63,4.35,16.2,0.08,40.49,21.2,3.31,0.4,59.0,39.0,0.0,0.21
21
35,85.3,0.03,97.0,2.38,20.43,2.89,17.44,0.09,49.95,16.25,4.59,0.04,35.0,29.0,33.0,0.21
35,58.45,0.08,92.0,1.88,19.69,2.22,17.41,0.06,88.52,45.25,4.54,0.48,66.0,26.0,0.0,0.21

36,62.98,0.08,92.0,3.04,20.28,3.11,17.09,0.08,32.65,14.48,5.03,0.35,48.0,44.0,0.0,0.2
36,51.52,0.13,87.0,2.83,21.95,2.96,18.92,0.08,52.57,30.83,4.64,0.4,52.0,35.0,0.0,0.2
36,71.01,0.07,93.0,3.26,29.38,3.4,25.89,0.09,83.7,26.91,2.16,0.2,23.0,21.0,49.0,0.2
37,50.38,0.14,86.0,10.56,31.14,7.99,23.09,0.05,61.37,21.56,2.76,0.37,38.0,48.0,0.0,0.2

37,61.56,0.12,88.0,10.82,31.24,8.07,23.09,0.08,30.79,16.13,4.88,0.17,22.0,22.0,44.0,0.2
37,55.93,0.16,84.0,10.38,30.79,7.83,22.88,0.08,20.9,28.28,2.68,0.16,28.0,18.0,38.0,0.2
38,60.53,0.07,93.0,6.71,29.97,5.25,24.62,0.09,59.1,33.72,3.5,0.37,41.0,0.0,52.0,0.21
21
38,62.3,0.12,88.0,9.26,25.44,6.53,18.84,0.07,86.59,21.14,3.18,0.16,35.0,37.0,16.0,0.21
