r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
46.739174,100,11.846337,0.67,13.0,46.74,0.14,86.0,7.67,30.26,6.8,23.4,0.06,87.88,34.36,2.74,0.49,63.0,23.0,0.0,0.0
49.913105,100,11.846337,0.69,3.0,49.91,0.14,86.0,7.67,25.75,6.92,18.77,0.06,55.93,27.1,3.46,0.41,33.0,53.0,0.0,0.0
34.211845,100,11.846337,0.7,9.0,34.21,0.21,79.0,8.81,26.66,7.18,19.42,0.06,63.7,33.01,3.71,0.51,60.0,19.0,0.0,0.0
53.748684,100,11.846337,0.86,7.0,53.75,0.19,81.0,6.81,23.94,6.36,17.51,0.08,88.23,24.29,1.13,0.12,18.0,32.0,31.0,0.0
33.790012,100,16.403922,0.64,13.0,33.79,0.2,80.0,8.1,28.11,6.94,21.1,0.07,73.29,29.67,3.6,0.52,62.0,0.0,18.0,0.27
65.09226,100,16.403922,0.92,11.0,65.09,0.12,88.0,9.09,23.85,7.27,16.48,0.1,32.9,20.06,2.13,0.06,30.0,33.0,25.0,0.27
49.377323,100,16.403922,0.8,1.0,49.38,0.17,83.0,7.61,22.38,6.81,15.52,0.06,105.87,32.0,3.06,0.27,41.0,34.0,8.0,0.27
67.84537,100,16.403922,0.88,15.0,67.85,0.1,90.0,8.44,24.8,7.14,17.58,0.08,63.95,23.71,2.92,0.1,35.0,22.0,33.0,0.27
51.11649,100,20.04477,0.76,21.0,51.12,0.15,85.0,2.92,16.72,3.12,13.53,0.06,95.1,34.96,1.94,0.38,48.0,37.0,0.0,0.24
62.6745,100,20.04477,0.83,21.0,62.67,0.13,87.0,2.54,18.35,2.6,15.68,0.08,63.74,28.7,1.51,0.22,30.0,43.0,14.0,0.24
60.294334,100,20.04477,0.8,7.0,60.29,0.11,89.0,4.15,18.44,4.21,14.16,0.07,68.75,24.04,4.76,0.23,38.0,41.0,10.0,0.24
61.648087,100,20.04477,0.81,19.0,61.65,0.11,89.0,2.74,20.03,2.97,16.99,0.07,59.04,20.31,3.15,0.25,45.0,33.0,11.0,0.24
40.7615,100,22.538313,0.83,21.0,40.76,0.24,76.0,3.76,20.29,3.57,16.66,0.07,30.09,18.37,2.57,0.2,36.0,27.0,13.0,0.43
67.94183,100,22.538313,0.82,15.0,67.94,0.08,92.0,4.96,19.39,4.67,14.65,0.07,40.15,17.1,4.45,0.22,39.0,42.0,11.0,0.43
44.527473,100,22.538313,-1.0,24.0,44.53,0.21,79.0,4.28,25.2,4.04,21.09,0.07,55.29,20.66,1.5,0.24,19.0,44.0,16.0,0.43
42.922832,100,22.538313,0.85,23.0,42.92,0.23,77.0,4.0,20.75,3.79,16.88,0.08,74.39,29.15,3.97,0.12,19.0,25.0,33.0,0.43
43.29854,100,25.220123,0.84,11.0,43.3,0.21,79.0,9.57,24.97,7.5,17.39,0.08,66.14,19.7,3.76,0.17,25.0,37.0,17.0,0.23
47.590218,100,25.220123,0.81,21.0,47.59,0.2,80.0,10.65,27.55,8.03,19.43,0.09,35.68,19.93,4.9,0.17,16.0,27.0,37.0,0.23
51.010624,100,25.220123,0.82,23.0,51.01,0.18,82.0,8.24,25.53,7.16,18.29,0.08,73.86,38.59,2.41,0.19,16.0,39.0,27.0,0.23
57.158855,100,25.220123,-1.0,24.0,57.16,0.15,85.0,6.54,24.75,6.21,18.47,0.08,82.19,29.03,2.17,0.12,34.0,19.0,32.0,0.23
40.170906,100,27.959038,-1.0,24.0,40.17,0.2,80.0,2.42,20.2,2.94,17.2,0.07,51.9,23.6,5.74,0.4,48.0,32.0,0.0,0.23
50.69563,100,27.959038,0.75,7.0,50.7,0.14,86.0,1.76,17.84,2.06,15.72,0.06,63.33,34.12,2.18,0.36,39.0,47.0,0.0,0.23
28.201996,100,27.959038,0.66,13.0,28.2,0.25,75.0,1.96,22.3,2.33,19.87,0.11,34.37,24.27,2.47,0.52,17.0,0.0,58.0,0.23
37.579178,100,27.959038,0.73,19.0,37.58,0.22,78.0,2.13,20.25,2.56,17.64,0.05,66.1,17.16,3.56,0.38,44.0,34.0,0.0,0.23
50.87047,100,30.308555,0.76,13.0,50.87,0.14,86.0,2.84,19.88,3.5,16.3,0.07,55.28,24.9,4.2,0.37,48.0,38.0,0.0,0.22
48.877754,100,30.308555,0.83,3.0,48.88,0.18,82.0,2.79,25.61,3.44,22.1,0.07,36.69,18.41,51.92,0.2,24.0,41.0,17.0,0.22
49.8376,100,30.308555,0.71,7.0,49.84,0.13,87.0,3.14,19.52,3.88,15.56,0.08,25.86,16.2,1.83,0.44,58.0,29.0,0.0,0.22
34.50789,100,30.308555,0.74,13.0,34.51,0.23,77.0,2.3,19.64,2.76,16.83,0.05,72.3,40.99,3.41,0.35,36.0,41.0,0.0,0.22
28.22868,100,32.869503,0.65,23.0,28.23,0.24,76.0,9.01,26.48,6.33,20.08,0.08,59.08,34.11,2.71,0.51,58.0,0.0,18.0,0.21
33.75346,100,32.869503,0.65,19.0,33.75,0.21,79.0,9.28,27.57,6.47,21.04,0.07,54.46,23.93,2.95,0.51,61.0,18.0,0.0,0.21
43.825645,100,32.869503,-1.0,24.0,43.83,0.23,77.0,10.62,23.92,7.26,16.6,0.07,69.78,29.05,9.05,0.13,28.0,32.0,17.0,0.21
65.54559,100,32.869503,0.83,13.0,65.55,0.12,88.0,11.53,26.93,7.67,19.18,0.08,66.64,28.87,2.95,0.14,19.0,37.0,32.0,0.21
47.866104,100,35.401061,-1.0,24.0,47.87,0.17,83.0,4.08,19.52,3.42,16.02,0.07,30.22,13.44,4.38,0.35,40.0,43.0,0.0,0.21
54.321865,100,35.401061,-1.0,24.0,54.32,0.17,83.0,6.9,27.17,5.31,21.78,0.07,71.0,22.41,2.97,0.15,22.0,40.0,21.0,0.21
48.33772,100,35.401061,-1.0,24.0,48.34,0.19,81.0,7.7,23.89,6.01,17.8,0.08,80.57,34.57,1.28,0.18,14.0,31.0,36.0,0.21
45.226112,100,35.401061,0.82,5.0,45.23,0.21,79.0,5.95,22.22,4.78,17.37,0.07,31.5,22.66,16.78,0.19,13.0,30.0,36.0,0.21
43.63021,100,38.163363,0.86,19.0,43.63,0.22,78.0,6.56,19.86,5.28,14.51,0.07,108.57,31.85,1.66,0.19,36.0,28.0,14.0,0.21
56.874157,100,38.163363,-1.0,24.0,56.87,0.11,89.0,5.35,23.18,4.15,18.97,0.06,41.02,15.14,2.68,0.38,38.0,51.0,0.0,0.21
71.24826,100,38.163363,0.8,19.0,71.25,0.07,93.0,5.83,24.76,4.32,20.37,0.08,52.99,28.3,3.16,0.22,42.0,12.0,39.0,0.21
57.582508,100,38.163363,0.82,17.0,57.58,0.14,86.0,5.37,24.04,4.37,19.58,0.08,69.16,34.2,1.93,0.16,35.0,15.0,36.0,0.21
66.85859,100,41.21941,0.87,21.0,66.86,0.11,89.0,5.98,18.52,4.37,14.07,0.08,55.02,17.71,2.97,0.16,36.0,37.0,16.0,0.22
47.15579,100,41.21941,0.73,1.0,47.16,0.16,84.0,4.9,19.45,3.8,15.6,0.05,86.38,37.81,2.24,0.35,44.0,40.0,0.0,0.22
53.54449,100,41.21941,-1.0,24.0,53.54,0.2,80.0,6.24,22.96,4.47,18.4,0.09,52.89,12.11,3.17,0.04,25.0,30.0,25.0,0.22
45.27079,100,41.21941,0.78,7.0,45.27,0.21,79.0,3.71,20.94,3.18,17.65,0.11,34.02,24.81,2.18,0.25,21.0,14.0,44.0,0.22
61.72046,100,43.705901,0.82,1.0,61.72,0.11,89.0,3.97,18.86,4.1,14.67,0.09,30.36,9.96,3.73,0.23,46.0,28.0,15.0,0.21
47.69738,100,43.705901,0.86,11.0,47.7,0.2,80.0,3.26,21.47,3.66,17.73,0.08,44.64,23.66,2.78,0.17,38.0,17.0,25.0,0.21
56.149147,100,43.705901,-1.0,24.0,56.15,0.1,90.0,3.01,19.46,3.08,16.31,0.06,15.22,9.25,5.08,0.45,61.0,29.0,0.0,0.21
56.823967,100,43.705901,-1.0,24.0,56.82,0.18,82.0,4.3,19.68,4.44,15.17,0.07,75.99,23.2,2.61,0.15,35.0,30.0,17.0,0.21
36.19556,100,46.472144,0.66,23.0,36.2,0.19,81.0,2.8,26.03,3.44,22.49,0.09,91.57,39.93,1.13,0.51,0.0,19.0,62.0,0.21
45.868946,100,46.472144,0.68,5.0,45.87,0.14,86.0,2.49,27.15,3.02,24.02,0.11,52.15,33.82,1.99,0.51,20.0,0.0,66.0,0.21
