episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
1,20.93,0.21,79,10.04,28.1,4.99,23.11,-0.48,1.78,1.73,-0.14,-0.39,0.27,0.39,0.48,0.43,0.47,0.18,0.12
2,8.93,0.29,71,19.63,63.04,5.24,57.8,-0.49,2.26,1.73,-0.1,-0.41,0.47,0.45,0.49,0.44,0.47,0.11,0.13
3,18.27,0.22,78,11.54,99.65,4.01,95.64,-0.07,1.12,0.67,0.26,-0.01,0.1,0.28,0.42,0.5,0.48,0.1,0.13
4,19.2,0.22,78,29.73,145.29,7.12,138.18,-0.35,1.65,1.75,0.0,-0.24,0.28,0.33,0.46,0.42,0.47,0.12,0.14
5,29.27,0.15,85,23.91,181.29,5.99,175.29,-0.47,2.4,1.4,-0.08,-0.44,0.49,0.46,0.6,0.38,0.48,0.11,0.14
6,21.13,0.2,80,23.8,222.52,5.88,216.65,-0.24,1.46,1.13,0.09,-0.19,0.24,0.34,0.45,0.49,0.49,0.06,0.14
7,11.0,0.27,73,14,264.02,4.43,259.59,-0.18,1.46,1.17,0.18,-0.02,0.16,0.29,0.34,0.48,0.48,0.23,0.15
8,32.2,0.14,86,22.88,298.76,5.41,293.35,-0.24,1.67,0.91,0.13,-0.19,0.42,0.46,0.5,0.46,0.46,0.06,0.13
9,12.8,0.25,75,31.04,345.63,6.19,339.44,-0.21,1.85,1.11,0.21,-0.06,0.26,0.32,0.37,0.56,0.5,0.24,0.13
10,28.73,0.15,85,47.81,384.28,9.24,375.04,-0.18,1.46,1.25,0.16,-0.14,0.14,0.32,0.44,0.45,0.48,0.04,0.14
11,34.07,0.12,88,55.64,424.43,9.61,414.82,-0.38,1.9,1.07,-0.03,-0.36,0.42,0.44,0.5,0.44,0.48,0.07,0.14
12,18.2,0.23,77,6.22,465.43,3.3,462.13,-0.5,2.08,1.46,-0.16,-0.5,0.49,0.47,0.6,0.36,0.46,0.15,0.14
13,17.47,0.22,78,11.15,498.85,4.38,494.46,-0.35,2.03,1.63,-0.0,-0.38,0.61,0.36,0.56,0.41,0.49,0.1,0.14
14,31.93,0.12,88,15.64,546.6,6.01,540.59,-0.31,1.82,1.26,0.03,-0.31,0.5,0.34,0.55,0.43,0.5,0.03,0.14
15,11.13,0.27,73,21.25,587.15,6.68,580.47,-0.32,1.74,2.72,0.03,-0.25,0.07,0.37,0.49,0.44,0.48,0.05,0.14
16,14.67,0.24,76,17.58,622.36,7.05,615.32,-0.34,1.5,1.36,-0.03,-0.31,0.27,0.34,0.55,0.45,0.49,0.1,0.14
17,28.0,0.17,83,12.92,662.57,4.66,657.9,-0.33,1.67,1.5,0.02,-0.24,0.3,0.39,0.51,0.43,0.46,0.07,0.14
18,23.07,0.19,81,20.1,706.64,6.36,700.27,-0.31,1.77,1.49,0.03,-0.31,0.37,0.38,0.56,0.44,0.48,0.08,0.14
19,15.87,0.24,76,18.16,745.26,6.42,738.84,-0.05,1.26,1.52,0.31,0.05,0.06,0.37,0.38,0.51,0.48,0.11,0.13
20,15.2,0.25,75,19.63,782.38,6.59,775.79,-0.15,1.08,1.31,0.17,-0.08,0.11,0.35,0.44,0.52,0.46,0.1,0.12
21,26.47,0.18,82,28.77,833.92,7.07,826.85,0.15,0.37,0.96,0.43,0.26,-0.15,0.27,0.34,0.56,0.46,0.2,0.76
