episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
1,-20.43,0.31,69,10.74,25.74,5.28,20.46,-0.55,2.67,1.89,-0.14,-0.53,0.58,2.91,2.58,2.2,1.54,0.2,0.11
2,-14.27,0.24,76,21.18,62.28,5.2,57.08,-0.34,2.09,2.1,0.04,-0.31,0.38,2.68,2.14,2.29,1.42,0.11,0.11
3,4.73,0.15,85,8.07,99.1,3.22,95.88,-0.27,1.82,2.38,0.09,-0.24,0.2,2.65,2.02,2.45,1.42,0.09,0.11
4,-18.38,0.2,80,33.1,152.49,7.82,144.68,-0.7,2.66,2.05,-0.33,-0.7,0.69,2.66,2.24,2.35,1.45,0.22,0.12
5,-12.94,0.21,79,26.1,183.08,6.25,176.84,-0.25,1.54,1.58,0.08,-0.2,0.26,2.48,1.9,2.61,1.4,0.02,0.11
6,-3.0,0.15,85,17.46,224.89,5.26,219.62,-0.13,1.13,1.32,0.18,-0.07,0.09,2.6,2.14,2.54,1.46,0.07,0.11
7,-7.19,0.22,78,13.26,266.64,4.26,262.38,0.0,1.24,1.65,0.34,0.01,0.05,2.47,1.87,2.78,1.43,0.2,0.11
8,-1.7,0.14,86,18,306.67,4.78,301.88,-0.44,2.04,1.46,-0.07,-0.39,0.34,2.66,2.14,2.42,1.44,0.09,0.11
9,-27.51,0.3,70,31.26,352.02,6.34,345.69,-0.44,2.31,2.22,-0.04,-0.34,0.4,2.67,2.2,2.37,1.45,0.17,0.11
10,-31.08,0.26,74,45.41,393.64,9.13,384.51,-0.48,2.29,2.11,-0.09,-0.43,0.43,2.62,2.13,2.4,1.43,0.11,0.11
11,-26.83,0.14,86,57.3,421.85,9.69,412.16,-0.18,1.28,0.88,0.14,-0.17,0.36,2.46,1.99,2.57,1.4,0.1,0.11
12,-8.41,0.26,74,5.78,455.14,3.11,452.03,-0.13,1.22,1.21,0.21,-0.04,0.08,2.72,2.19,2.34,1.45,0.14,0.11
13,-15.62,0.28,72,13.11,497.91,4.58,493.33,-0.32,1.31,1.58,-0.0,-0.25,0.19,2.6,2.11,2.61,1.46,0.15,0.11
14,-6.07,0.22,78,14.21,522.95,5.95,517.0,-0.15,1.03,1.27,0.15,-0.08,0.11,2.46,1.88,2.56,1.38,0.14,0.11
15,-17.33,0.27,73,21.42,574.18,6.92,567.26,-0.22,1.59,1.09,0.11,-0.24,0.42,2.56,2.11,2.38,1.41,0.13,0.11
16,-13.76,0.26,74,16.43,603.28,6.88,596.41,-0.22,1.88,0.99,0.18,-0.14,0.43,2.64,2.01,2.47,1.42,0.12,0.17
17,-9.08,0.25,75,11.04,639.1,4.22,634.88,-0.4,2.11,2.35,-0.04,-0.38,0.39,2.64,2.13,2.31,1.42,0.09,0.11
