episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,46.26,0.21,79,10.68,30.99,5.27,25.72,0.58,0.06,0.04,0.48,0.04,-0.02,2.67,2.13,2.32,7.11,0.27,0.41
2,53.63,0.13,87,22.32,28.12,5.22,22.9,0.2,0.71,2.11,0.22,-1.46,1.76,2.79,2.16,2.86,7.82,0.04,0.42
3,49.17,0.19,81,13.23,26.6,4.35,22.25,0.75,0.29,0.3,0.77,0.61,0.17,2.44,1.51,1.51,5.46,0.1,0.29
4,29.21,0.23,77,32.56,30.87,7.55,23.32,0.56,0.35,0.76,0.53,-0.2,0.72,2.16,1.52,2.03,5.7,0.22,0.3
5,27.19,0.25,75,30.69,29.63,7.09,22.53,0.78,0.06,-0.05,0.7,0.51,-0.02,1.53,0.84,1.27,3.64,0.2,0.42
6,42.39,0.2,80,21,26.65,5.62,21.02,0.4,0.51,1.64,0.41,-0.67,1.05,2.79,2.19,2.51,7.49,0.02,0.52
7,38.47,0.27,73,7,24.22,2.79,21.42,0.52,0.37,1.31,0.51,-0.21,0.54,2.63,2.0,2.25,6.88,0.18,0.5
8,42.42,0.21,79,18.18,26.47,4.54,21.92,0.59,0.26,0.57,0.54,-0.14,0.48,2.05,1.32,1.92,5.29,0.12,0.29
9,42.57,0.14,86,34.45,33.06,6.62,26.44,0.49,0.39,0.69,0.47,-0.37,0.67,2.78,1.98,2.33,7.08,0.23,0.5
10,25.31,0.19,81,48.99,31.12,9.3,21.83,0.63,0.04,0.07,0.52,0.03,0.11,1.91,1.32,1.89,5.12,0.08,0.74
11,19.93,0.19,81,57.28,31.36,9.69,21.68,0.66,0.04,0.01,0.54,0.06,0.07,1.59,0.96,1.59,4.15,0.08,0.74
12,52.83,0.2,80,4.84,25.73,2.71,23.02,0.43,0.48,1.68,0.43,-0.65,1.15,2.51,1.78,2.38,6.66,0.17,0.71
13,52.13,0.18,82,11.61,26.29,4.38,21.9,0.82,0.08,-0.16,0.77,0.79,-0.3,2.04,1.29,1.23,4.56,0.07,0.73
14,49.18,0.18,82,15.71,27.73,5.9,21.83,0.49,0.26,0.44,0.43,-0.39,0.55,2.72,2.04,2.46,7.22,0.07,0.6
15,34.35,0.23,77,24.42,29.99,7.45,22.55,0.32,0.58,1.71,0.31,-1.06,1.43,2.65,1.99,2.68,7.31,0.17,0.6
16,39.25,0.23,77,17.14,27.49,6.97,20.52,0.44,0.49,1.74,0.44,-0.59,1.0,2.56,1.75,2.16,6.47,0.06,0.48
17,51.84,0.18,82,12.05,26.34,4.51,21.83,0.35,0.56,1.73,0.36,-0.83,1.04,2.87,2.06,2.51,7.44,0.06,0.49
18,56.68,0.12,88,19.98,29.82,6.41,23.41,0.5,0.28,1.14,0.44,-0.44,0.61,2.17,1.47,2.01,5.65,0.07,0.45
