episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
1,35.02,0.22,78,10.92,28.13,5.36,22.77,-0.88,2.92,1.61,-0.51,-0.86,0.8,0.59,0.69,0.22,0.47,0.31,0.12
2,16.33,0.22,78,24.74,65.53,5.46,60.08,-1.64,5.94,3.33,-1.03,-1.66,1.63,0.81,0.87,0.08,0.5,0.65,0.12
3,28.84,0.19,81,10.79,102.64,3.82,98.81,-0.79,2.08,1.9,-0.45,-0.54,0.42,0.38,0.41,0.33,0.47,0.61,0.12
4,11.95,0.21,79,30.47,152.25,7.75,144.51,-1.82,6.73,4.96,-1.18,-1.91,1.66,0.95,0.96,0.04,0.5,0.71,0.15
5,36.77,0.11,89,25.33,189.72,6.33,183.39,-0.13,-0.39,-0.01,0.01,-0.03,-0.01,0.15,0.47,0.42,0.44,0.54,0.14
6,23.97,0.18,82,24.29,226.96,6.04,220.93,-0.14,-0.32,0.1,-0.02,-0.03,-0.11,0.15,0.5,0.35,0.48,0.6,0.12
7,27.88,0.18,82,11.73,272.68,3.93,268.76,-1.81,6.64,4.81,-1.18,-1.9,1.7,0.93,0.98,0.02,0.49,0.7,0.12
8,35.63,0.16,84,23.45,310.46,5.32,305.14,-0.59,1.82,1.36,-0.33,-0.68,0.59,0.42,0.69,0.31,0.47,0.39,0.12
9,10.26,0.28,72,22.65,342.79,5.21,337.58,-0.39,0.75,0.29,-0.16,-0.24,0.11,0.18,0.38,0.42,0.47,0.54,0.14
10,18.09,0.17,83,52.82,395.81,9.48,386.34,-0.77,2.29,2.51,-0.45,-0.74,0.52,0.46,0.61,0.29,0.48,0.3,0.12
11,8.41,0.17,83,55.52,434.06,9.6,424.46,-0.06,-0.47,-0.02,0.04,-0.06,-0.05,0.13,0.51,0.47,0.47,0.51,0.14
12,46.28,0.13,87,5.06,475.86,2.8,473.06,-0.52,1.67,1.92,-0.29,-0.71,0.49,0.51,0.79,0.29,0.45,0.6,0.14
13,27.56,0.19,81,11.8,511.0,4.58,506.42,0.02,-0.64,0.03,0.05,-0.14,-0.11,0.21,0.69,0.42,0.45,0.66,0.13
14,35.61,0.2,80,14.3,555.92,5.72,550.2,-0.62,1.68,1.4,-0.34,-0.54,0.28,0.38,0.55,0.32,0.47,0.36,0.13
15,13.73,0.26,74,25.41,599.32,7.49,591.84,-0.25,0.36,0.7,-0.07,-0.24,0.09,0.31,0.51,0.45,0.45,0.45,0.12
16,22.15,0.27,73,16.99,637.21,6.99,630.22,-0.38,0.91,1.24,-0.19,-0.41,0.13,0.36,0.62,0.36,0.45,0.43,0.12
17,38.59,0.2,80,10.03,675.79,3.91,671.88,-0.84,2.51,1.8,-0.49,-0.77,0.57,0.44,0.61,0.3,0.48,0.37,0.12
18,26.22,0.19,81,22.91,711.41,6.92,704.49,-1.13,3.58,2.68,-0.67,-0.96,0.69,0.51,0.56,0.28,0.49,0.51,0.12
19,26.99,0.23,77,17.45,751.23,6.53,744.7,-1.11,3.67,3.68,-0.71,-1.15,0.8,0.62,0.78,0.2,0.48,0.41,0.12
20,17.27,0.26,74,20.81,796.68,6.59,790.08,-1.28,4.42,3.87,-0.8,-1.28,1.13,0.72,0.78,0.23,0.47,0.47,0.12
21,27.5,0.15,85,28.05,814.06,6.98,807.08,-1.37,4.62,3.62,-0.86,-1.29,0.99,0.64,0.72,0.18,0.5,0.56,0.83
22,55.46,0.1,90,2.56,865.49,1.78,863.71,-0.45,1.27,0.97,-0.24,-0.59,0.25,0.44,0.77,0.31,0.44,0.52,0.15
23,12.24,0.23,77,27.97,930.33,7.53,922.81,-0.31,0.82,1.06,-0.17,-0.54,0.32,0.4,0.82,0.3,0.44,0.65,0.15
24,24.25,0.17,83,35.95,954.73,7.17,947.57,-0.66,1.76,1.51,-0.34,-0.48,0.35,0.36,0.46,0.37,0.47,0.43,0.13
25,23.16,0.16,84,36.57,1000.36,8.64,991.71,-0.35,0.82,0.32,-0.15,-0.41,0.35,0.33,0.63,0.39,0.47,0.45,0.15
26,45.68,0.15,85,3.48,1032.72,2.36,1030.35,-0.92,3.24,3.01,-0.58,-1.09,0.96,0.62,0.82,0.25,0.48,0.5,0.13
27,35.51,0.19,81,19.3,1102.19,6.88,1095.31,-0.59,1.55,1.97,-0.35,-0.61,0.31,0.36,0.69,0.31,0.48,0.32,0.13
28,20.9,0.17,83,29.59,1109.81,6.55,1103.25,-0.12,-0.34,-0.02,0.01,-0.02,-0.03,0.07,0.4,0.49,0.48,0.58,0.15
29,51.62,0.1,90,20.01,1150.08,7.19,1142.89,-0.76,2.37,1.55,-0.43,-0.73,0.62,0.44,0.62,0.26,0.47,0.29,0.12
30,33.1,0.14,86,20.67,1207.92,5.11,1202.81,-1.55,5.48,3.48,-0.97,-1.49,1.6,0.76,0.77,0.16,0.49,0.62,0.13
31,29.16,0.17,83,30.07,1254.58,7.43,1247.16,-0.55,1.19,0.88,-0.29,-0.44,0.32,0.29,0.53,0.34,0.48,0.44,0.13
