episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,52.05,0.18,82,10.18,28.12,5.04,23.07,0.36,0.46,1.27,0.33,-0.91,1.2,2.54,1.96,2.5,7.0,0.14,0.38
2,33.73,0.19,81,22.99,27.54,5.59,21.95,0.68,0.07,-0.13,0.6,0.34,-0.11,2.01,1.31,1.53,4.85,0.1,0.33
3,51.0,0.17,83,12.39,26.6,4.19,22.41,0.55,0.31,0.72,0.52,-0.17,0.56,2.23,1.43,1.89,5.55,0.1,0.21
4,17.76,0.24,76,29.38,30.12,7.52,22.61,0.77,0.05,-0.05,0.69,0.48,-0.05,1.66,0.84,1.36,3.86,0.2,0.13
5,30.84,0.15,85,30.02,30.06,6.7,23.36,0.51,0.31,1.23,0.46,-0.37,0.61,2.25,1.67,2.09,6.01,0.13,0.12
6,46.92,0.16,84,16.81,27.89,5.15,22.74,0.76,0.06,-0.02,0.68,0.46,-0.11,1.98,1.32,1.46,4.76,0.1,0.14
7,44.32,0.23,77,8.92,25.27,3.19,22.08,0.41,0.42,0.73,0.37,-0.79,1.2,2.16,1.47,2.23,5.86,0.16,0.12
8,33.25,0.23,77,17.97,25.24,4.59,20.65,0.63,0.05,0.1,0.52,0.06,0.07,1.99,1.42,1.94,5.34,0.08,0.21
9,26.68,0.21,79,25.97,29.33,5.48,23.85,0.27,0.62,1.78,0.26,-1.26,1.47,2.68,1.98,2.72,7.38,0.21,0.14
10,-0.68,0.21,79,47.8,30.78,9.24,21.54,0.37,0.53,1.55,0.38,-0.74,1.08,3.04,2.2,2.73,7.98,0.11,0.14
11,-13.89,0.21,79,58.33,31.25,9.73,21.52,0.16,0.74,1.9,0.19,-1.54,1.79,3.27,2.63,3.24,9.14,0.1,0.12
12,53.11,0.21,79,4.9,26.71,2.73,23.97,0.71,0.29,0.26,0.72,0.46,0.25,2.53,1.67,1.86,6.06,0.22,0.13
13,42.0,0.22,78,12.31,28.1,4.25,23.85,0.53,0.43,0.8,0.53,-0.24,0.75,2.42,1.64,2.12,6.18,0.23,0.15
14,39.57,0.21,79,15.7,27.12,5.96,21.16,0.49,0.25,1.19,0.41,-0.46,0.5,2.19,1.52,2.08,5.78,0.08,0.12
15,16.59,0.29,71,23.55,28.08,7.35,20.73,0.59,0.31,0.63,0.58,0.04,0.37,2.66,1.86,2.03,6.55,0.17,0.12
16,36.76,0.2,80,19.3,28.86,7.33,21.52,0.6,0.34,1.14,0.59,-0.0,0.5,2.31,1.55,1.86,5.72,0.09,0.13
17,41.73,0.23,77,11.04,24.62,4.28,20.34,0.65,0.04,0.13,0.53,0.02,0.14,1.71,1.13,1.82,4.66,0.04,0.12
18,43.06,0.15,85,20.96,29.72,6.66,23.06,0.52,0.23,0.59,0.45,-0.3,0.46,2.27,1.59,2.04,5.89,0.11,0.12
19,34.59,0.23,77,16.88,26.69,6.36,20.34,0.64,0.32,0.91,0.63,0.13,0.47,2.3,1.52,1.82,5.64,0.04,0.12
20,43.21,0.14,86,22.09,29.69,6.94,22.74,0.6,0.35,0.57,0.6,0.05,0.57,2.69,1.92,2.13,6.73,0.06,0.15
21,19.59,0.22,78,30.41,32.54,7.26,25.28,0.24,0.76,2.46,0.29,-1.25,1.65,3.04,2.46,2.91,8.41,0.26,0.74
22,76.19,0.11,89,2.28,26.99,1.64,25.35,0.44,0.32,0.78,0.38,-0.58,0.68,2.66,2.21,2.47,7.35,0.17,0.14
23,22.05,0.22,78,28.42,30.74,7.63,23.1,0.41,0.4,1.42,0.37,-0.7,0.82,2.31,1.65,2.19,6.15,0.2,0.13
24,14.29,0.2,80,37,29.99,7.72,22.28,0.72,0.07,-0.05,0.65,0.45,-0.14,2.16,1.44,1.68,5.28,0.13,0.12
25,18.6,0.2,80,33.6,29.93,8.51,21.42,0.41,0.49,1.79,0.41,-0.63,0.97,2.96,2.31,2.61,7.89,0.07,0.12
26,68.16,0.14,86,3.81,26.09,2.56,23.53,0.46,0.55,2.05,0.49,-0.46,0.81,2.91,2.04,2.44,7.38,0.12,0.13
27,51.68,0.12,88,18.41,35.26,6.72,28.55,0.54,0.4,0.93,0.53,-0.24,0.68,2.56,1.73,2.1,6.39,0.26,0.12
28,14.57,0.25,75,30.76,31.22,6.82,24.4,0.17,0.73,2.59,0.19,-1.54,1.83,3.08,2.47,3.12,8.67,0.26,0.12
29,45.83,0.14,86,20.17,33.4,7.31,26.09,0.21,0.67,2.45,0.22,-1.38,1.59,3.21,2.56,3.15,8.92,0.21,0.12
30,33.52,0.14,86,29.19,32.11,6.25,25.86,0.75,0.06,-0.07,0.67,0.45,0.01,1.58,0.93,1.28,3.79,0.22,0.12
31,27.81,0.2,80,26.35,28.91,7.04,21.88,0.53,0.23,0.71,0.46,-0.33,0.55,2.1,1.49,2.05,5.64,0.11,0.13
32,24.49,0.17,83,32.51,31.38,7.72,23.66,0.65,0.34,0.54,0.66,0.22,0.46,2.25,1.68,1.66,5.59,0.15,0.13
33,-4.84,0.15,85,56.47,31.98,9.65,22.33,0.56,0.28,0.61,0.52,-0.17,0.57,2.4,1.64,2.15,6.19,0.03,0.13
34,73.41,0.11,89,4.25,29.03,2.76,26.27,0.8,0.08,-0.15,0.75,0.74,-0.24,2.04,1.21,1.28,4.54,0.2,0.13
35,48.94,0.07,93,26.11,30.68,6.38,24.3,0.41,0.5,2.74,0.41,-0.63,0.83,2.78,2.05,2.45,7.29,0.02,0.12
36,42.1,0.12,88,25.27,30.73,6.35,24.39,0.66,0.23,0.59,0.61,0.13,0.33,1.99,1.18,1.65,4.82,0.13,0.12
37,29.19,0.15,85,31.25,32.72,8.32,24.4,0.33,0.58,1.8,0.35,-0.91,1.23,2.89,2.22,2.73,7.85,0.17,0.12
38,51.35,0.2,80,7.81,28.96,4.03,24.92,0.42,0.32,1.57,0.37,-0.61,0.68,2.74,2.31,2.52,7.58,0.24,0.12
