episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
1,14.64,0.15,85,10.49,29.24,5.17,24.07,-0.19,-0.25,-0.08,-0.0,0.05,-0.11,2.48,1.84,2.56,0.1,0.63,0.15
2,6.71,0.27,73,26.3,25.84,5.73,20.11,-1.02,3.15,2.7,-0.61,-0.85,0.68,2.99,2.49,1.86,0.11,0.54,0.15
3,44.62,0.1,90,9.78,28.19,3.61,24.58,-0.5,1.29,1.27,-0.26,-0.49,0.25,2.61,1.98,2.27,0.1,0.36,0.12
4,1.24,0.29,71,24.45,28.59,7.3,21.3,-0.83,2.85,3.2,-0.52,-1.02,0.65,2.8,2.2,2.22,0.1,0.52,0.15
5,14.12,0.2,80,29.02,29.58,6.76,22.82,-0.94,2.7,2.96,-0.56,-0.74,0.46,2.98,2.33,1.96,0.1,0.56,0.13
6,14.47,0.24,76,18.42,27.57,5.59,21.97,-0.3,0.69,0.78,-0.12,-0.4,0.25,2.55,1.87,2.6,0.1,0.49,0.12
7,6.01,0.27,73,9.49,23.93,3.38,20.55,-0.05,-0.42,-0.02,0.06,-0.01,-0.19,2.26,1.81,2.64,0.1,0.53,0.14
8,15.34,0.16,84,25.43,28.97,5.73,23.24,-0.73,1.91,0.87,-0.37,-0.46,0.3,3.01,2.2,1.9,0.1,0.62,0.13
9,9.33,0.25,75,25.89,26.67,5.68,20.99,-1.12,3.62,3.34,-0.69,-0.99,0.83,2.93,2.48,1.88,0.1,0.5,0.14
10,29.08,0.21,79,47.8,30.18,9.24,20.94,-0.95,3.1,2.9,-0.58,-0.96,0.73,2.85,2.25,2.16,0.1,0.34,0.12
11,8.17,0.19,81,56.49,31.77,9.65,22.12,-1.72,6.04,5.66,-1.12,-1.72,1.22,3.4,2.68,1.43,0.11,0.66,0.12
12,16.15,0.17,83,5.99,29.04,3.2,25.83,-1.46,5.03,3.97,-0.92,-1.42,1.15,3.22,2.64,1.61,0.11,0.59,0.14
13,30.62,0.18,82,12.68,26.35,4.62,21.73,-0.54,1.4,1.61,-0.31,-0.58,0.5,2.52,2.0,2.29,0.1,0.36,0.15
14,4.53,0.27,73,15.89,26.08,5.88,20.19,-0.73,2.45,2.72,-0.45,-0.91,0.56,2.62,2.01,2.34,0.1,0.55,0.14
15,4.5,0.27,73,25.73,30.25,7.65,22.6,-0.66,2.12,2.76,-0.4,-0.82,0.57,2.52,1.93,2.4,0.1,0.57,0.14
16,23.9,0.22,78,17.23,28.71,7.06,21.64,-0.44,1.08,1.18,-0.2,-0.4,0.1,2.42,1.8,2.42,0.09,0.38,0.13
17,26.6,0.2,80,10.07,26.67,3.92,22.75,-0.8,2.42,2.58,-0.47,-0.77,0.45,2.94,2.34,2.06,0.11,0.36,0.16
18,1.0,0.23,77,20.18,27.98,6.63,21.35,-0.58,1.2,0.68,-0.28,-0.3,0.27,2.75,2.14,2.18,0.1,0.67,0.12
19,23.48,0.1,90,16.67,29.84,6.29,23.56,-0.67,1.56,2.01,-0.36,-0.44,0.26,2.61,2.26,2.24,0.1,0.63,0.15
20,1.69,0.26,74,21.41,26.8,6.69,20.11,-1.57,5.32,5.41,-1.02,-1.5,1.12,3.31,2.68,1.6,0.11,0.62,0.18
21,27.18,0.15,85,25.95,32.95,6.95,26.0,-0.16,0.01,0.54,-0.06,-0.24,0.13,2.34,1.87,2.49,0.1,0.52,1.16
22,54.82,0.07,93,2.52,28.1,1.76,26.34,-0.7,2.05,1.92,-0.39,-0.61,0.48,2.75,2.28,2.17,0.1,0.35,0.14
23,54.17,0.09,91,28.93,34.75,7.76,26.99,-0.72,2.19,2.05,-0.41,-0.7,0.57,2.77,2.21,2.18,0.1,0.26,0.14
24,26.82,0.1,90,38.67,31.77,7.42,24.36,-1.23,4.06,3.44,-0.77,-1.14,0.96,3.18,2.58,1.78,0.11,0.53,0.15
25,36.31,0.14,86,34.42,31.24,8.55,22.7,-1.0,3.35,2.2,-0.6,-1.02,0.84,3.06,2.31,2.02,0.11,0.36,0.16
26,43.23,0.09,91,3.32,26.23,2.27,23.96,-0.52,1.42,0.68,-0.24,-0.43,0.44,2.64,2.26,2.33,0.1,0.4,0.14
27,44.98,0.04,96,16.78,33.68,6.33,27.35,-1.25,4.25,4.07,-0.8,-1.26,1.05,3.23,2.65,1.73,0.11,0.49,0.15
28,6.25,0.15,85,38.38,41.23,7.72,33.51,-2.01,7.43,5.45,-1.32,-2.08,2.01,3.42,2.82,1.4,0.11,0.75,0.15
29,19.79,0.12,88,19.58,32.19,7.03,25.16,-0.43,1.32,1.7,-0.25,-0.67,0.25,2.57,2.02,2.36,0.1,0.62,0.12
30,32.66,0.09,91,22.16,32.79,5.99,26.79,-0.94,2.91,1.9,-0.55,-0.8,0.68,2.98,2.46,1.9,0.11,0.55,0.15
31,56.9,0.05,95,32.67,33.36,7.68,25.68,-0.98,3.15,2.8,-0.6,-0.96,0.58,2.97,2.23,1.98,0.1,0.35,0.15
32,35.88,0.08,92,32.71,32.23,7.36,24.87,-0.07,-0.4,0.01,0.03,-0.04,-0.14,2.47,1.91,2.51,0.1,0.5,0.13
33,24.15,0.11,89,54.29,33.5,9.54,23.96,-0.72,1.84,1.36,-0.38,-0.49,0.33,2.83,2.43,2.03,0.1,0.62,0.13
34,11.14,0.14,86,4.05,27.4,2.65,24.74,-1.82,6.41,6.83,-1.21,-1.84,1.43,3.29,2.71,1.52,0.11,0.69,0.13
35,42.55,0.11,89,30.56,31.97,7.01,24.97,-0.68,1.86,1.61,-0.37,-0.55,0.55,2.58,2.09,2.33,0.1,0.39,0.13
36,48.6,0.1,90,32.22,31.67,6.92,24.76,-0.58,1.61,1.53,-0.3,-0.53,0.29,2.72,2.04,2.31,0.1,0.32,0.12
37,33.4,0.07,93,30.45,33.08,8.28,24.8,-1.11,3.98,2.77,-0.71,-1.27,1.03,2.95,2.24,1.91,0.1,0.54,0.12
38,24.39,0.11,89,5.39,29.67,2.99,26.67,-1.27,4.53,3.85,-0.83,-1.44,1.17,3.04,2.53,1.9,0.11,0.58,0.12
39,42.69,0.08,92,19.78,29.78,5.52,24.26,-0.58,1.49,1.3,-0.29,-0.45,0.29,2.8,1.97,2.34,0.1,0.4,0.16
40,31.9,0.07,93,10.06,27.94,3.38,24.56,-0.18,-0.24,-0.07,0.01,0.05,-0.14,2.44,1.81,2.64,0.1,0.62,0.15
41,47.96,0.09,91,11.98,31.26,3.94,27.32,-0.93,2.96,2.62,-0.58,-0.94,0.74,2.93,2.35,1.93,0.1,0.34,0.89
42,27.01,0.06,94,8.49,30.44,4.82,25.62,-0.31,0.91,1.31,-0.15,-0.56,0.12,2.63,1.96,2.6,0.1,0.64,0.14
43,44.66,0.09,91,38.13,33.29,7.86,25.43,-0.5,1.41,1.03,-0.25,-0.49,0.37,2.64,1.98,2.25,0.1,0.35,0.14
44,32.36,0.06,94,27.03,38.09,7.26,30.83,-0.69,1.72,1.13,-0.36,-0.48,0.4,2.77,2.18,2.16,0.1,0.57,0.16
45,40.29,0.05,95,39.49,33.15,8.26,24.88,-0.07,-0.41,0.09,0.06,0.0,-0.2,2.52,1.82,2.53,0.1,0.51,0.17
46,34.48,0.08,92,9.6,31.52,5.28,26.24,-0.76,2.69,2.35,-0.43,-0.92,0.67,2.59,1.99,2.37,0.1,0.54,0.13
47,34.65,0.07,93,31.44,31.63,6.42,25.2,-0.77,2.63,2.71,-0.48,-0.97,0.64,2.78,2.19,2.18,0.1,0.54,0.16
48,33.12,0.08,92,47.73,37.22,8.72,28.5,-0.67,2.26,2.05,-0.42,-0.89,0.51,2.88,2.24,2.23,0.11,0.56,0.14
49,46.22,0.07,93,21.2,31.27,6.87,24.41,-0.54,1.43,1.34,-0.27,-0.45,0.29,2.66,2.01,2.34,0.1,0.38,0.13
50,27.81,0.06,94,10.05,28.42,3.48,24.94,-0.61,1.4,1.12,-0.3,-0.37,0.31,2.92,2.3,2.12,0.1,0.65,0.15
51,29.49,0.07,93,3.61,28.39,2.31,26.09,-1.41,5.02,5.28,-0.93,-1.54,1.2,3.16,2.62,1.84,0.11,0.61,0.12
52,26.48,0.07,93,15.78,28.16,3.55,24.6,-0.69,1.59,1.46,-0.37,-0.43,0.15,3.04,2.32,1.9,0.1,0.64,0.14
53,28.97,0.09,91,37.88,37.16,7.25,29.91,-1.5,5.45,3.87,-0.96,-1.58,1.47,3.12,2.58,1.68,0.11,0.57,0.15
54,15.0,0.08,92,18.63,29.92,5.38,24.54,-2.01,7.49,4.78,-1.3,-2.08,2.01,3.42,2.79,1.37,0.11,0.75,0.14
55,49.74,0.09,91,21.33,33.52,5.98,27.54,-0.84,2.48,2.5,-0.49,-0.75,0.65,2.79,2.18,2.25,0.1,0.34,0.15
56,41.04,0.08,92,16.25,31.39,5.49,25.89,-0.5,1.04,0.73,-0.23,-0.31,0.17,2.51,1.88,2.47,0.1,0.48,0.15
57,31.97,0.07,93,18.4,32.41,5.48,26.92,-0.64,2.08,2.86,-0.39,-0.82,0.43,2.59,1.99,2.34,0.1,0.57,0.12
58,44.6,0.02,98,4.95,29.89,2.79,27.1,-0.09,-0.39,0.06,0.04,-0.02,-0.14,2.33,1.65,2.69,0.1,0.51,0.12
59,13.87,0.14,86,27.65,31.83,6.02,25.81,-0.12,0.14,1.04,-0.03,-0.38,0.05,2.43,1.85,2.81,0.1,0.69,0.12
60,50.0,0.06,94,22.09,29.58,4.6,24.98,-0.52,1.37,1.42,-0.29,-0.56,0.35,2.81,2.13,2.26,0.1,0.36,0.23
61,32.56,0.08,92,36.91,37.81,8.4,29.41,-0.02,-0.54,0.04,0.06,-0.09,-0.11,2.35,1.91,2.55,0.1,0.56,0.14
62,55.64,0.04,96,5,31.41,2.84,28.56,-0.82,2.7,2.12,-0.5,-0.9,0.93,2.59,2.12,2.24,0.1,0.39,1.09
63,44.62,0.01,99,12.36,32.17,5.98,26.18,-1.09,3.41,3.35,-0.67,-0.98,0.67,3.08,2.61,1.83,0.11,0.51,0.15
64,56.62,0.07,93,7.57,31.15,4.24,26.9,-0.74,2.29,1.84,-0.43,-0.74,0.63,2.67,2.19,2.16,0.1,0.27,0.15
65,38.41,0.06,94,27.8,33.2,6.73,26.47,-1.24,3.97,3.75,-0.77,-1.13,0.97,3.08,2.46,1.77,0.1,0.53,0.15
66,34.79,0.01,99,38.18,33.4,7.2,26.2,-0.16,-0.23,0.02,0.0,0.02,-0.08,2.68,2.02,2.29,0.1,0.64,0.14
67,28.53,0.04,96,33.86,33.04,7.39,25.65,-0.24,-0.17,-0.11,-0.03,0.06,-0.18,2.59,1.82,2.59,0.1,0.65,0.15
68,32.14,0.03,97,14.06,30.77,5.18,25.59,-0.43,1.37,1.43,-0.24,-0.64,0.43,2.48,1.92,2.41,0.1,0.62,0.12
69,30.77,0.07,93,36,33.73,7.06,26.67,-1.55,5.47,3.82,-0.98,-1.51,1.16,3.39,2.71,1.45,0.11,0.62,0.22
70,46.97,0.06,94,28.85,32.99,7.16,25.83,-0.8,2.28,1.92,-0.46,-0.68,0.44,2.92,2.24,2.07,0.1,0.42,0.57
71,42.07,0.03,97,16.33,29.66,4.15,25.51,-1.22,3.88,4.1,-0.77,-1.11,0.71,3.18,2.55,1.72,0.11,0.52,0.48
72,46.53,0.03,97,23.79,30.88,5.23,25.65,-1.17,3.96,3.28,-0.72,-1.18,0.83,3.1,2.39,1.88,0.11,0.42,0.26
73,47.12,0.05,95,7.83,36.97,3.98,32.99,-0.31,0.53,0.38,-0.1,-0.24,0.12,2.61,1.92,2.54,0.1,0.42,0.17
74,23.41,0.12,88,15.82,30.1,6.08,24.02,-0.56,1.76,2.46,-0.34,-0.77,0.32,2.66,2.01,2.42,0.1,0.59,0.13
75,55.02,0.06,94,40.16,34.23,6.7,27.53,-0.66,1.95,1.34,-0.36,-0.6,0.55,2.79,2.27,2.13,0.1,0.3,0.15
76,41.64,0.09,91,12.19,32.05,6.05,26.0,-0.38,0.72,0.77,-0.18,-0.33,0.13,2.65,2.22,2.28,0.1,0.45,0.16
77,39.05,0.04,96,38.55,35.0,7.27,27.73,-0.96,3.41,3.05,-0.59,-1.12,0.72,2.9,2.22,2.07,0.1,0.5,0.14
78,30.95,0.07,93,26.84,32.39,7.53,24.86,-0.81,2.81,3.2,-0.51,-1.0,0.49,2.9,2.22,2.16,0.1,0.53,0.13
79,48.69,0.03,97,12.99,30.92,4.9,26.02,-0.49,1.26,1.67,-0.3,-0.62,0.37,2.67,2.12,2.31,0.1,0.44,0.15
80,61.32,0.03,97,30.47,32.84,6.32,26.52,-0.64,1.97,1.91,-0.35,-0.69,0.37,2.68,2.02,2.21,0.1,0.35,0.14
81,48.28,0.04,96,20.98,31.3,5.03,26.27,-0.47,0.94,0.94,-0.24,-0.35,0.06,2.8,2.25,2.26,0.1,0.46,0.13
82,49.86,0.03,97,11.57,31.26,4.21,27.05,-0.58,1.42,1.94,-0.31,-0.46,0.18,2.65,2.12,2.22,0.1,0.4,0.97
83,63.53,0.02,98,13.7,33.73,6.51,27.22,-0.81,2.61,1.74,-0.45,-0.78,0.78,2.69,2.12,2.24,0.1,0.29,0.19
84,41.43,0.04,96,2.34,29.73,1.67,28.06,-0.08,-0.43,0.02,0.03,-0.04,-0.19,2.43,1.75,2.42,0.09,0.51,0.15
85,44.08,0.02,98,29.03,34.19,6.19,28.0,-0.92,3.23,2.98,-0.58,-1.1,0.84,2.74,2.17,2.02,0.1,0.5,0.14
86,32.12,0.04,96,4.31,28.45,2.81,25.65,0.05,-0.6,-0.01,0.15,-0.02,-0.22,2.09,1.47,2.88,0.09,0.62,0.13
87,34.61,0.03,97,15.18,31.64,5.89,25.75,-0.78,2.15,1.67,-0.43,-0.58,0.54,2.79,2.23,2.13,0.1,0.6,0.13
88,53.25,0.03,97,6.35,29.11,3.48,25.63,-1.11,3.71,3.33,-0.69,-1.14,0.9,2.99,2.35,2.05,0.11,0.42,0.13
89,48.25,0.03,97,6.76,31.27,4.28,26.99,-0.6,1.76,2.45,-0.36,-0.68,0.42,2.5,1.96,2.36,0.1,0.44,0.13
90,42.0,0.02,98,2.57,35.05,1.79,33.27,-0.06,-0.51,-0.01,0.05,-0.04,-0.03,2.04,1.54,2.8,0.09,0.55,0.14
91,41.8,0.03,97,13.69,33.35,5.78,27.57,-0.09,-0.41,0.01,0.06,0.03,-0.12,2.12,1.64,2.88,0.09,0.52,0.13
92,34.46,0.03,97,19.44,30.46,4.69,25.77,0.03,-0.62,0.02,0.09,-0.1,-0.19,2.36,1.78,2.76,0.1,0.63,0.22
93,21.6,0.08,92,33.91,35.72,7.52,28.2,0.09,-0.71,0.07,0.11,-0.15,-0.1,2.23,1.73,2.67,0.09,0.71,0.14
94,30.31,0.03,97,12.99,30.58,4.62,25.96,-1.63,5.78,4.03,-1.03,-1.59,1.56,3.34,2.68,1.57,0.11,0.64,0.15
95,28.68,0.06,94,29.53,31.32,6.13,25.19,-0.39,1.15,1.62,-0.21,-0.58,0.28,2.39,1.73,2.48,0.09,0.63,0.13
96,41.24,0.04,96,7.05,42.65,4.46,38.19,-1.18,3.82,2.99,-0.72,-1.06,0.87,3.08,2.47,1.86,0.11,0.51,0.14
97,41.21,0.03,97,35.55,35.54,7.99,27.55,-1.15,3.72,2.34,-0.69,-1.01,0.77,3.07,2.5,1.76,0.11,0.5,0.16
98,30.47,0.04,96,6.61,38.4,4.21,34.19,-1.6,5.78,4.97,-1.04,-1.71,1.15,3.31,2.62,1.62,0.11,0.65,0.15
99,53.85,0.03,97,8.27,32.45,4.55,27.9,-1.08,3.47,2.34,-0.65,-1.02,0.68,3.06,2.39,1.78,0.1,0.42,0.13
100,50.1,0.03,97,34.97,34.56,8.15,26.41,-0.66,2.13,1.72,-0.37,-0.74,0.5,2.5,2.03,2.37,0.1,0.37,0.15
101,51.95,0.04,96,26.83,32.62,6.65,25.98,-0.5,1.08,1.92,-0.27,-0.44,0.16,2.57,2.17,2.27,0.1,0.38,0.14
102,35.1,0.03,97,7.71,30.71,4.01,26.7,-0.02,-0.55,-0.02,0.09,-0.04,-0.23,2.26,1.74,2.84,0.1,0.57,0.15
103,54.52,0.01,99,23.82,31.99,6.16,25.84,-0.59,1.58,1.28,-0.31,-0.48,0.19,2.89,2.13,2.14,0.1,0.38,0.82
104,42.33,0.02,98,21.64,35.03,5.91,29.12,-1.01,2.99,2.3,-0.58,-0.8,0.69,2.95,2.33,2.04,0.1,0.55,0.13
105,56.02,0.04,96,16.15,33.16,6.28,26.88,-0.49,1.25,1.27,-0.26,-0.5,0.42,2.43,2.06,2.5,0.1,0.35,0.14
106,37.55,0.03,97,10.48,37.28,5.61,31.67,-0.11,0.12,0.25,0.03,-0.24,0.14,2.3,1.68,2.9,0.1,0.58,0.15
107,56.39,0.0,100,18.16,35.42,6.0,29.42,-1.16,3.8,3.4,-0.72,-1.1,0.8,2.95,2.29,1.94,0.1,0.44,0.14
108,41.61,0.02,98,21.31,31.15,4.49,26.65,-0.97,2.87,2.66,-0.57,-0.78,0.63,2.98,2.4,1.94,0.1,0.55,0.14
109,47.89,0.04,96,18.19,33.49,4.84,28.65,-0.26,0.35,0.63,-0.11,-0.28,0.21,2.43,1.97,2.56,0.1,0.47,0.12
110,61.75,0.02,98,16.88,31.3,4.2,27.1,-0.7,2.07,1.67,-0.4,-0.69,0.66,2.68,2.04,2.26,0.1,0.29,0.13
111,31.51,0.02,98,33.8,35.11,8.5,26.61,-0.3,0.76,1.82,-0.18,-0.54,0.15,2.42,1.82,2.5,0.1,0.65,0.14
112,51.79,0.02,98,43.53,35.47,7.66,27.82,-1.0,3.4,2.54,-0.62,-1.09,0.88,3.01,2.5,1.97,0.11,0.41,0.13
113,59.0,0.05,95,3.98,30.77,2.68,28.08,-0.86,2.65,2.41,-0.5,-0.81,0.56,2.87,2.33,2.17,0.11,0.33,0.17
114,55.64,0.03,97,41.4,37.5,8.9,28.6,-0.44,0.89,1.09,-0.22,-0.38,0.18,2.58,1.97,2.38,0.1,0.4,0.15
115,33.15,0.03,97,5.81,30.11,3.7,26.41,-1.49,5.43,4.02,-0.95,-1.6,1.48,3.1,2.42,1.76,0.1,0.63,0.16
