episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,39.69,0.23,77,9.69,28.29,4.84,23.45,0.28,0.51,3.0,0.26,-0.99,0.85,3.1,2.35,3.29,8.74,0.22,0.26
2,54.87,0.18,82,21.05,26.91,5.26,21.66,0.48,0.23,1.72,0.39,-0.56,0.22,2.7,2.19,2.71,7.6,0.05,0.17
3,40.36,0.25,75,11.31,23.83,3.91,19.92,0.29,0.5,3.94,0.27,-1.05,0.55,2.91,2.27,3.07,8.24,0.05,0.15
4,44.06,0.23,77,23.44,28.64,6.92,21.71,0.44,0.25,1.35,0.38,-0.43,0.23,2.7,1.95,2.62,7.27,0.15,0.18
5,37.7,0.26,74,26.68,26.51,5.97,20.54,0.24,0.57,5.11,0.22,-1.31,0.79,3.11,2.51,3.05,8.68,0.13,0.25
6,55.11,0.16,84,19.43,28.24,5.36,22.88,0.31,0.51,3.02,0.28,-1.17,0.94,2.82,2.17,2.98,7.96,0.11,0.12
7,41.7,0.23,77,9.21,26.09,3.34,22.75,0.57,0.12,1.22,0.44,-0.42,0.02,2.44,1.8,2.39,6.64,0.2,0.17
8,65.24,0.12,88,21.23,28.15,5.02,23.14,0.18,0.69,4.52,0.18,-1.59,1.34,3.16,2.52,3.28,8.97,0.03,0.16
9,47.96,0.18,82,23.91,29.17,5.2,23.98,0.5,0.18,1.03,0.42,-0.28,0.28,2.49,2.02,2.42,6.93,0.19,0.19
10,46.09,0.2,80,44.8,31.75,9.1,22.65,0.43,0.29,1.97,0.36,-0.57,0.27,2.76,2.08,2.84,7.68,0.15,0.15
11,55.67,0.16,84,55.62,31.85,9.61,22.24,0.26,0.55,2.13,0.25,-1.06,1.11,3.17,2.46,3.3,8.93,0.06,0.13
12,45.62,0.2,80,4.33,26.89,2.49,24.4,0.59,0.05,0.04,0.47,-0.08,-0.05,2.56,2.06,2.6,7.22,0.22,0.13
13,55.48,0.17,83,11.73,26.34,4.48,21.86,0.25,0.55,3.39,0.24,-1.06,0.78,3.3,2.52,3.35,9.17,0.04,0.2
14,59.25,0.15,85,15.81,28.58,6.06,22.52,0.28,0.52,2.11,0.26,-1.0,1.08,2.98,2.42,3.18,8.58,0.06,0.23
15,31.34,0.25,75,23.81,29.46,7.25,22.21,0.4,0.31,0.79,0.35,-0.5,0.47,2.69,2.24,2.76,7.69,0.2,0.23
16,49.27,0.2,80,18.6,28.54,7.26,21.28,0.42,0.29,1.56,0.36,-0.59,0.35,2.82,2.16,2.85,7.84,0.06,0.13
17,44.35,0.2,80,14.95,27.98,5.08,22.9,0.41,0.3,1.5,0.36,-0.49,0.29,2.92,2.01,2.96,7.9,0.16,0.12
18,31.44,0.27,73,22,27.23,6.54,20.68,0.42,0.31,1.05,0.37,-0.57,0.5,2.68,2.22,2.7,7.6,0.15,0.12
19,46.92,0.19,81,17.14,29.08,6.69,22.4,0.47,0.23,0.73,0.4,-0.36,0.37,2.62,2.18,2.79,7.59,0.13,0.12
20,48.97,0.19,81,20.15,28.59,6.71,21.88,0.26,0.55,3.38,0.24,-1.17,0.96,3.02,2.42,3.1,8.54,0.1,0.22
21,42.56,0.2,80,23.07,31.96,6.76,25.2,0.13,0.75,5.07,0.15,-1.58,1.46,3.26,2.65,3.31,9.22,0.25,0.96
22,68.79,0.09,91,2.43,26.48,1.71,24.77,0.42,0.32,2.46,0.35,-0.67,0.54,2.72,2.23,2.66,7.62,0.11,0.13
