episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,28.37,0.27,73,10.04,26.14,4.99,21.15,0.72,0.32,0.26,0.74,0.48,0.32,2.42,1.53,1.66,5.62,0.18,0.23
2,51.54,0.13,87,20.74,27.93,4.96,22.97,0.63,0.29,0.57,0.62,0.13,0.36,2.63,1.86,2.05,6.54,0.06,0.26
3,46.09,0.19,81,11.83,25.62,4.04,21.58,0.39,0.55,1.52,0.39,-0.81,1.22,2.74,2.04,2.58,7.36,0.07,0.24
4,17.14,0.27,73,33.84,30.86,7.96,22.9,0.6,0.12,0.31,0.51,-0.05,0.17,1.59,0.84,1.55,3.97,0.24,0.14
5,38.11,0.19,81,26.72,27.72,6.36,21.36,0.63,0.32,0.67,0.62,0.08,0.44,2.31,1.48,1.8,5.59,0.04,0.25
6,34.38,0.22,78,23.23,27.65,5.67,21.97,0.49,0.26,1.1,0.41,-0.5,0.61,2.15,1.49,2.09,5.73,0.15,0.25
7,38.3,0.22,78,14.14,27.39,4.39,23.0,0.42,0.43,1.62,0.4,-0.58,0.88,2.86,2.15,2.59,7.6,0.19,0.32
8,31.78,0.23,77,19.87,25.69,5.17,20.52,0.51,0.27,0.83,0.44,-0.39,0.52,2.01,1.3,1.94,5.25,0.06,0.32
9,29.65,0.23,77,28.51,27.63,6.02,21.61,0.59,0.37,1.29,0.6,0.05,0.4,2.48,1.7,1.88,6.06,0.14,0.22
10,22.17,0.22,78,47.18,30.34,9.21,21.13,0.9,0.09,-0.2,0.88,1.09,-0.33,2.05,1.13,1.09,4.27,0.1,0.13
11,29.29,0.18,82,53.46,31.99,9.51,22.49,0.5,0.37,0.79,0.49,-0.29,0.66,2.54,1.87,2.02,6.43,0.12,0.18
12,33.21,0.24,76,5.89,24.26,3.16,21.11,0.72,0.07,-0.09,0.65,0.45,-0.12,1.97,1.33,1.63,4.93,0.13,0.19
13,37.66,0.19,81,15.43,28.8,5.15,23.65,0.66,0.04,0.04,0.55,0.11,0.11,1.83,1.2,1.68,4.7,0.17,0.12
14,42.55,0.17,83,13.98,30.19,5.75,24.43,0.78,0.06,-0.1,0.72,0.59,-0.16,2.02,1.18,1.43,4.64,0.2,0.12
15,23.91,0.25,75,24.44,29.23,7.36,21.87,0.76,0.06,-0.05,0.69,0.5,-0.06,1.6,0.88,1.24,3.72,0.18,0.12
16,44.01,0.17,83,18.99,29.66,7.18,22.48,0.6,0.31,0.62,0.58,0.05,0.47,2.51,1.94,2.04,6.48,0.1,0.13
17,31.46,0.25,75,10.88,24.1,4.26,19.84,0.7,0.06,-0.06,0.62,0.37,-0.09,2.13,1.44,1.64,5.21,0.04,0.12
18,41.12,0.18,82,19,28.34,6.0,22.34,0.43,0.34,1.46,0.37,-0.68,0.78,2.28,1.68,2.35,6.32,0.11,0.14
19,50.32,0.16,84,15.71,29.17,6.26,22.9,0.47,0.47,1.64,0.47,-0.43,0.8,3.02,2.19,2.63,7.84,0.11,0.14
20,36.83,0.21,79,18.99,28.32,6.45,21.87,0.73,0.06,-0.01,0.66,0.42,-0.1,2.4,1.66,1.87,5.94,0.12,0.12
21,29.56,0.22,78,23.71,34.54,7.0,27.54,0.49,0.26,1.2,0.42,-0.45,0.54,2.35,1.76,2.2,6.31,0.32,0.72
