episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
1,18.38,0.19,81,11,29.84,5.4,24.44,-0.29,0.41,0.29,-0.1,-0.19,0.16,0.18,0.43,0.38,0.46,0.51,0.14
2,17.67,0.19,81,16,68.52,4.38,64.15,-0.5,1.1,0.51,-0.24,-0.36,0.14,0.31,0.47,0.43,0.46,0.46,0.12
3,22.22,0.18,82,8.83,105.55,3.35,102.2,-1.01,3.32,3.46,-0.63,-1.06,0.69,0.58,0.78,0.22,0.49,0.4,0.14
4,9.91,0.23,77,27.77,155.92,7.37,148.55,-0.89,2.97,2.01,-0.53,-0.93,0.9,0.49,0.71,0.23,0.49,0.32,0.2
5,17.46,0.16,84,27.83,196.26,6.62,189.64,-0.08,-0.44,-0.06,0.05,-0.03,-0.09,0.16,0.44,0.49,0.46,0.5,0.15
6,10.51,0.23,77,26.6,230.55,6.1,224.44,-0.96,3.31,2.4,-0.58,-1.04,0.76,0.58,0.74,0.29,0.48,0.41,0.15
7,28.88,0.14,86,10.16,263.21,3.53,259.67,-0.91,3.03,2.01,-0.53,-0.91,0.85,0.54,0.67,0.24,0.47,0.34,0.16
8,22.24,0.13,87,19.26,317.76,5.37,312.39,-0.66,1.5,0.82,-0.32,-0.33,0.22,0.25,0.33,0.45,0.48,0.65,0.15
9,-0.98,0.28,72,30.42,353.99,6.19,347.81,-1.27,4.13,3.9,-0.79,-1.16,0.88,0.61,0.67,0.22,0.49,0.54,0.15
10,8.96,0.17,83,46.65,400.97,9.19,391.78,-1.22,3.91,3.57,-0.75,-1.06,0.77,0.54,0.6,0.25,0.48,0.52,0.15
11,1.23,0.22,78,57.44,442.28,9.69,432.59,-0.42,1.06,1.39,-0.21,-0.48,0.28,0.33,0.62,0.33,0.46,0.4,0.15
12,13.84,0.23,77,5.91,469.87,3.17,466.7,-0.17,0.17,0.51,-0.05,-0.28,0.13,0.26,0.61,0.38,0.46,0.52,0.15
13,21.55,0.19,81,10,516.04,4.04,512.0,-0.71,2.03,1.33,-0.39,-0.62,0.5,0.35,0.54,0.32,0.48,0.36,0.15
14,14.9,0.22,78,16.05,560.78,6.01,554.77,-0.72,2.07,1.86,-0.41,-0.65,0.61,0.36,0.59,0.32,0.49,0.4,0.15
15,6.25,0.23,77,21.13,601.36,7.03,594.34,-1.57,5.62,5.71,-1.05,-1.7,1.5,0.82,0.95,0.09,0.5,0.65,0.15
16,12.57,0.21,79,17.62,621.96,7.25,614.71,-1.31,4.49,4.09,-0.84,-1.34,1.0,0.67,0.78,0.18,0.5,0.48,0.15
17,15.12,0.2,80,9.1,679.15,3.75,675.4,-1.32,4.66,5.21,-0.87,-1.46,1.12,0.76,0.9,0.16,0.5,0.59,0.11
18,13.52,0.21,79,19.09,688.45,6.53,681.92,-0.69,1.87,1.59,-0.38,-0.54,0.3,0.32,0.51,0.35,0.49,0.49,0.14
19,17.17,0.21,79,15.85,763.58,5.8,757.77,-0.78,2.26,1.83,-0.45,-0.71,0.55,0.39,0.6,0.28,0.47,0.36,0.15
20,20.86,0.16,84,23.29,793.07,7.1,785.98,-0.81,2.34,3.07,-0.49,-0.72,0.34,0.45,0.57,0.23,0.48,0.39,0.12
21,12.88,0.18,82,26.67,841.29,7.26,834.02,-1.33,4.85,3.46,-0.85,-1.48,1.51,0.73,0.9,0.16,0.49,0.59,0.82
22,38.24,0.08,92,2.49,896.03,1.74,894.28,-0.58,1.76,1.94,-0.34,-0.72,0.36,0.45,0.73,0.33,0.47,0.48,0.17
23,26.98,0.08,92,27.62,907.01,7.44,899.57,0.02,-0.55,0.01,0.09,-0.08,-0.2,0.16,0.53,0.52,0.47,0.6,0.13
24,20.55,0.11,89,37.98,960.69,7.61,953.08,-0.08,-0.43,-0.04,0.04,-0.03,-0.16,0.18,0.46,0.48,0.47,0.51,0.12
25,30.65,0.07,93,34.92,1017.69,8.57,1009.12,-0.73,2.01,1.37,-0.39,-0.59,0.54,0.42,0.52,0.38,0.45,0.39,0.15
26,34.32,0.08,92,3.43,1049.27,2.34,1046.93,-1.61,5.7,3.68,-1.02,-1.56,1.64,0.78,0.8,0.09,0.5,0.63,0.13
27,23.41,0.14,86,16.21,1075.66,6.33,1069.33,-0.02,-0.57,-0.02,0.07,-0.07,-0.15,0.21,0.55,0.46,0.45,0.56,0.12
28,15.83,0.18,82,30.45,1195.8,7.07,1188.73,-0.34,0.52,0.45,-0.14,-0.24,0.17,0.24,0.48,0.43,0.45,0.46,0.13
