episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
1,33.22,0.21,79,9.32,27.51,4.68,22.84,-0.53,1.52,2.2,-0.32,-0.69,0.39,2.87,2.25,2.3,0.5,0.46,0.13
2,29.55,0.2,80,19.35,65.17,4.64,60.52,-0.17,-0.28,-0.01,-0.03,-0.02,-0.13,2.7,1.98,2.38,0.47,0.59,0.13
3,38.47,0.19,81,8.67,104.54,3.35,101.19,-0.53,1.15,1.09,-0.26,-0.37,0.11,2.62,1.94,2.33,0.46,0.44,0.12
4,27.53,0.19,81,23.67,147.48,6.98,140.49,-1.14,3.62,2.69,-0.69,-1.03,0.78,3.1,2.52,1.75,0.49,0.5,0.12
5,23.08,0.21,79,25.75,188.73,6.35,182.38,-1.36,4.6,2.66,-0.82,-1.22,1.3,3.15,2.46,1.76,0.49,0.55,0.12
6,34.73,0.16,84,20.76,230.86,5.48,225.38,-0.48,1.03,1.4,-0.25,-0.41,0.16,2.8,2.15,2.23,0.48,0.42,0.14
7,29.93,0.24,76,8.41,262.97,3.12,259.84,-0.82,2.56,2.09,-0.46,-0.76,0.46,2.79,2.09,2.07,0.46,0.28,0.15
8,27.19,0.21,79,21.06,305.75,5.09,300.66,-0.19,-0.24,-0.13,-0.0,0.05,-0.13,2.52,1.85,2.56,0.46,0.63,0.15
9,19.37,0.25,75,21.39,341.88,4.95,336.93,-1.06,3.69,3.21,-0.68,-1.23,0.93,3.03,2.31,2.07,0.49,0.52,0.14
10,8.29,0.24,76,43.79,386.74,9.05,377.68,-0.18,-0.18,-0.1,0.01,0.06,-0.21,2.64,1.93,2.49,0.47,0.61,0.12
11,5.72,0.21,79,53.06,426.4,9.49,416.91,-0.81,2.35,2.26,-0.47,-0.71,0.6,2.96,2.43,2.06,0.5,0.44,0.12
12,31.79,0.24,76,3.67,454.31,2.2,452.11,-0.99,3.36,3.08,-0.62,-1.05,0.82,2.97,2.38,1.99,0.49,0.41,0.12
13,34.38,0.21,79,10.61,497.11,4.22,492.89,-0.52,1.39,1.79,-0.27,-0.53,0.18,2.51,1.75,2.43,0.45,0.38,0.12
14,39.79,0.15,85,16.28,540.91,6.3,534.61,-0.9,2.93,1.97,-0.52,-0.89,0.63,2.86,2.13,2.04,0.47,0.33,0.15
15,26.88,0.2,80,24.34,581.73,7.26,574.48,-0.46,1.17,0.99,-0.23,-0.47,0.42,2.49,1.99,2.39,0.46,0.38,0.15
16,32.41,0.19,81,17.78,622.67,7.12,615.56,-0.52,1.14,1.11,-0.26,-0.38,0.19,2.73,1.93,2.31,0.46,0.45,0.15
17,35.59,0.2,80,10.25,660.71,4.04,656.68,-0.56,1.46,0.96,-0.28,-0.46,0.31,2.78,2.0,2.17,0.46,0.38,0.15
18,19.03,0.26,74,21.38,700.66,6.8,693.86,-0.07,-0.48,-0.04,0.03,-0.08,-0.13,2.5,1.9,2.49,0.46,0.51,0.15
19,36.89,0.15,85,18.21,741.57,6.79,734.78,-1.51,5.24,4.27,-0.97,-1.47,1.22,3.34,2.68,1.56,0.51,0.6,0.14
20,34.75,0.16,84,20.52,783.54,6.82,776.71,-0.83,2.77,3.39,-0.54,-1.03,0.81,2.74,2.25,2.24,0.48,0.53,0.12
21,16.93,0.22,78,32.67,829.49,7.65,821.85,-1.25,4.08,3.63,-0.78,-1.12,1.06,3.05,2.51,1.92,0.5,0.53,0.76
22,61.87,0.08,92,2.23,862.68,1.61,861.07,0.13,-0.79,0.04,0.14,-0.16,-0.17,2.32,1.74,2.87,0.46,0.75,0.15
23,35.79,0.12,88,28.12,919.86,7.56,912.3,-1.28,4.61,3.16,-0.82,-1.42,1.06,3.06,2.36,1.83,0.48,0.57,0.12
24,25.09,0.16,84,36.57,961.55,7.74,953.81,-0.5,1.31,0.61,-0.25,-0.43,0.34,2.61,2.06,2.19,0.46,0.38,0.12
25,31.79,0.12,88,36.91,1000.74,8.68,992.07,-0.44,1.23,0.69,-0.2,-0.46,0.24,2.4,1.77,2.35,0.44,0.4,0.12
26,57.74,0.09,91,3.71,1035.6,2.5,1033.1,-1.15,3.89,3.26,-0.72,-1.17,0.87,3.03,2.4,1.92,0.49,0.42,0.14
27,44.32,0.12,88,17.73,1093.67,6.56,1087.11,-0.65,1.74,2.2,-0.37,-0.57,0.36,2.68,2.01,2.12,0.46,0.31,0.12
28,30.58,0.14,86,30.58,1136.73,6.8,1129.93,-1.41,4.75,3.78,-0.88,-1.31,1.08,3.24,2.54,1.63,0.49,0.57,0.13
29,55.9,0.04,96,19.46,1188.19,7.02,1181.17,-0.69,2.09,2.1,-0.41,-0.75,0.41,2.67,2.12,2.09,0.46,0.33,0.12
30,40.42,0.12,88,21.35,1215.05,5.3,1209.75,-0.73,1.77,2.09,-0.4,-0.46,0.3,2.89,2.26,2.14,0.49,0.62,0.14
31,40.09,0.09,91,28.75,1272.34,6.96,1265.38,-0.97,3.16,3.21,-0.59,-0.97,0.56,2.85,2.18,2.19,0.48,0.35,0.13
32,35.87,0.11,89,31.96,1326.99,7.6,1319.39,-0.3,0.54,0.8,-0.14,-0.34,0.25,2.36,2.0,2.47,0.46,0.45,0.12
33,-0.55,0.25,75,56.75,1369.58,9.66,1359.92,-0.52,1.35,1.63,-0.27,-0.49,0.32,2.52,2.05,2.37,0.46,0.36,0.12
34,64.13,0.06,94,4.27,1407.21,2.79,1404.43,-0.67,1.78,1.88,-0.37,-0.59,0.41,2.72,1.98,2.14,0.46,0.34,0.13
35,31.33,0.12,88,33.27,1428.59,6.95,1421.64,-1.37,4.68,3.38,-0.85,-1.3,1.27,3.23,2.64,1.68,0.5,0.57,0.12
36,37.1,0.11,89,29.12,1490.6,6.6,1484.0,-0.31,-0.07,-0.1,-0.09,0.06,-0.06,2.61,2.0,2.48,0.47,0.75,0.12
37,37.02,0.09,91,32.18,1527.38,8.4,1518.99,-1.46,5.03,3.65,-0.92,-1.41,1.11,3.25,2.5,1.65,0.49,0.59,0.13
38,62.89,0.06,94,6.69,1543.12,3.55,1539.57,-0.04,-0.51,-0.04,0.08,-0.03,-0.26,2.29,1.65,2.72,0.44,0.56,0.14
39,38.68,0.15,85,18.02,1614.51,5.26,1609.25,-0.11,-0.45,-0.07,0.01,-0.05,-0.1,2.38,1.92,2.71,0.47,0.5,0.12
40,62.8,0.05,95,7.37,1652.1,2.75,1649.35,-0.79,1.94,1.91,-0.43,-0.51,0.33,2.77,2.1,2.2,0.47,0.61,0.13
41,55.16,0.08,92,11.14,1704.57,3.72,1700.85,-0.81,2.84,2.17,-0.48,-0.96,0.79,2.71,2.04,2.24,0.47,0.53,0.82
42,65.0,0.03,97,8.62,1761.59,4.82,1756.76,-1.13,3.81,3.18,-0.71,-1.14,0.92,2.94,2.31,1.91,0.48,0.4,0.12
43,34.29,0.11,89,35.04,1808.39,7.62,1800.76,-0.48,1.43,1.32,-0.25,-0.54,0.31,2.36,1.83,2.44,0.44,0.46,0.13
44,42.05,0.09,91,27.43,1831.95,7.07,1824.88,-0.18,0.17,0.59,-0.04,-0.23,-0.03,2.5,1.87,2.52,0.46,0.51,0.15
45,25.41,0.14,86,39.81,1894.42,8.26,1886.16,-0.56,1.46,1.45,-0.31,-0.51,0.24,2.78,2.12,2.12,0.47,0.37,0.13
46,54.7,0.08,92,9.4,1942.52,5.26,1937.26,-1.55,5.61,3.03,-0.97,-1.52,1.66,3.34,2.74,1.48,0.5,0.62,0.14
47,31.59,0.14,86,28.56,1995.73,6.34,1989.4,-1.21,3.95,2.95,-0.73,-1.08,0.93,3.17,2.58,1.78,0.5,0.52,0.12
48,24.18,0.1,90,49.7,2035.37,8.68,2026.69,-0.14,-0.34,-0.02,-0.01,-0.03,-0.07,2.38,1.88,2.76,0.47,0.54,0.12
49,49.28,0.07,93,21.81,2083.17,6.99,2076.17,-0.61,1.71,1.97,-0.36,-0.64,0.27,2.66,2.04,2.19,0.46,0.32,0.12
50,63.39,0.04,96,9.2,2118.02,3.27,2114.75,-0.57,1.46,1.12,-0.28,-0.46,0.28,2.66,2.01,2.32,0.47,0.39,0.13
51,64.8,0.06,94,3.68,2191.51,2.34,2189.17,-0.03,-0.51,-0.04,0.06,-0.07,-0.17,2.32,1.71,2.73,0.45,0.58,0.13
52,47.34,0.07,93,23.08,2231.53,4.54,2226.99,-0.96,3.16,3.64,-0.58,-0.99,0.61,2.82,2.13,2.27,0.48,0.39,0.13
53,30.73,0.1,90,41.42,2306.93,7.87,2299.07,-0.13,0.23,0.85,-0.01,-0.35,0.03,2.31,1.68,2.81,0.45,0.69,0.13
54,54.83,0.05,95,16.21,2319.76,4.82,2314.95,-1.05,3.16,3.41,-0.65,-0.88,0.63,3.19,2.5,1.79,0.5,0.53,0.12
55,54.64,0.03,97,20.08,2342.13,5.68,2336.45,-1.67,6.19,3.97,-1.07,-1.77,1.64,3.38,2.67,1.58,0.51,0.67,0.12
56,58.8,0.05,95,13.16,2447.78,4.86,2442.93,-0.57,1.73,1.62,-0.32,-0.64,0.46,2.59,2.03,2.34,0.46,0.37,0.13
57,49.22,0.07,93,20.17,2483.81,5.85,2477.96,-0.7,1.73,1.33,-0.37,-0.45,0.44,2.83,2.28,2.19,0.49,0.63,0.12
58,67.54,0.03,97,6.14,2454.11,3.32,2450.78,-0.3,-0.11,-0.16,-0.07,0.07,-0.1,2.65,1.95,2.36,0.46,0.75,0.12
59,47.37,0.05,95,27.31,2534.07,6.09,2527.98,-0.7,1.71,1.59,-0.37,-0.45,0.28,2.97,2.24,1.99,0.48,0.63,0.13
60,53.85,0.07,93,15.74,2584.05,3.77,2580.28,-0.54,1.6,1.41,-0.27,-0.57,0.28,2.5,1.81,2.56,0.46,0.41,0.13
61,40.22,0.07,93,33.94,2719.96,8.22,2711.74,-0.59,1.92,1.83,-0.34,-0.75,0.56,2.52,1.99,2.42,0.46,0.55,0.12
62,74.12,0.0,100,5.8,2710.14,3.16,2706.98,-0.03,-0.49,0.02,0.07,-0.02,-0.16,2.31,1.76,2.55,0.44,0.52,0.77
63,62.45,0.03,97,12.41,2761.14,6.01,2755.13,-0.06,-0.44,0.02,0.06,-0.02,-0.14,2.45,1.88,2.71,0.47,0.52,0.12
64,66.93,0.02,98,8.08,2803.14,4.42,2798.71,-0.75,1.98,1.81,-0.42,-0.54,0.32,2.92,2.34,1.96,0.48,0.61,0.13
65,48.71,0.04,96,27.94,2820.2,6.74,2813.46,-0.83,2.54,2.74,-0.5,-0.79,0.43,2.9,2.27,1.95,0.47,0.33,0.17
66,36.95,0.09,91,31.25,2863.16,6.35,2856.81,-1.63,5.69,5.11,-1.05,-1.61,1.69,3.18,2.71,1.76,0.51,0.64,0.12
67,40.06,0.06,94,36.21,2938.69,7.93,2930.77,-0.18,-0.27,-0.04,-0.04,-0.03,-0.12,2.46,2.05,2.4,0.46,0.6,0.15
68,60.02,0.03,97,14.31,2958.86,5.11,2953.75,-1.1,3.47,2.93,-0.66,-0.96,0.74,3.18,2.41,1.75,0.49,0.51,0.13
69,36.87,0.07,93,38.71,3039.05,7.16,3031.89,0.12,-0.79,0.05,0.11,-0.19,-0.17,2.39,1.83,2.66,0.46,0.75,0.12
70,40.01,0.1,90,25.96,3051.82,6.84,3044.98,-1.06,3.59,2.51,-0.65,-1.07,0.83,3.19,2.49,1.71,0.49,0.41,0.13
71,59.67,0.02,98,17.24,3130.59,4.46,3126.12,-1.4,4.78,3.34,-0.86,-1.31,1.06,3.16,2.39,1.7,0.48,0.57,0.12
72,54.24,0.04,96,22.12,3185.64,4.89,3180.75,-0.44,1.18,1.36,-0.23,-0.51,0.19,2.51,1.88,2.38,0.45,0.42,0.13
73,56.24,0.09,91,6.34,3186.11,3.34,3182.77,-0.78,2.81,1.79,-0.45,-0.94,0.6,2.87,2.08,2.28,0.48,0.54,0.12
74,58.55,0.04,96,17.08,3237.99,6.2,3231.79,-0.06,-0.48,-0.03,0.05,-0.05,-0.19,2.3,1.68,2.65,0.44,0.54,0.12
75,30.28,0.1,90,41.17,3294.32,6.83,3287.49,-0.69,2.02,2.36,-0.4,-0.71,0.33,2.67,2.04,2.3,0.47,0.32,0.12
76,65.64,0.01,99,11.69,3319.53,5.91,3313.62,-0.67,1.76,0.98,-0.36,-0.53,0.42,2.92,2.34,2.0,0.48,0.49,0.14
77,33.01,0.08,92,40.34,3441.04,7.63,3433.41,-0.85,2.4,2.77,-0.49,-0.65,0.34,2.99,2.35,1.92,0.48,0.58,0.16
78,50.6,0.03,97,24.99,3458.51,7.6,3450.91,-1.71,6.06,5.22,-1.11,-1.73,1.38,3.41,2.77,1.53,0.51,0.66,0.15
79,58.71,0.05,95,12.04,3466.07,4.66,3461.41,-1.05,3.59,2.95,-0.66,-1.12,1.01,2.88,2.38,1.99,0.48,0.42,0.14
80,46.06,0.05,95,28.99,3549.67,6.24,3543.43,-0.82,2.15,1.97,-0.46,-0.58,0.38,2.85,2.25,2.1,0.48,0.6,0.19
81,50.7,0.05,95,22.08,3582.29,5.03,3577.26,-1.51,5.13,5.13,-0.98,-1.47,0.93,3.25,2.59,1.55,0.49,0.6,0.21
82,61.99,0.02,98,14.12,3641.71,5.08,3636.63,-1.03,3.44,2.83,-0.64,-1.05,0.8,3.02,2.34,1.93,0.49,0.38,1.21
83,58.9,0.04,96,14.12,3735.73,6.69,3729.04,-0.68,2.18,1.53,-0.37,-0.71,0.56,2.75,2.2,2.27,0.48,0.3,0.12
