episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
1,37.52,0.25,75,11.48,27.59,5.59,22.0,-1.76,6.28,6.76,-1.19,-1.88,1.23,0.91,0.97,0.07,0.11,0.69,0.14
2,39.52,0.2,80,17.12,26.37,4.59,21.78,-1.12,3.59,2.34,-0.66,-0.98,1.0,0.54,0.6,0.28,0.11,0.51,0.18
3,42.43,0.23,77,10.47,24.12,3.76,20.36,-1.13,3.57,2.59,-0.66,-0.9,0.8,0.49,0.51,0.32,0.1,0.52,0.14
4,9.24,0.3,70,28.69,27.79,7.51,20.29,-1.81,6.57,4.81,-1.17,-1.85,1.63,0.9,0.93,0.04,0.11,0.69,0.14
5,28.86,0.18,82,28,28.41,6.55,21.85,-2.02,7.39,6.51,-1.34,-2.09,1.76,1.0,1.0,0.0,0.11,0.75,0.21
6,26.46,0.27,73,17.86,25.27,5.41,19.86,-0.6,1.78,1.26,-0.34,-0.67,0.46,0.36,0.63,0.36,0.1,0.31,0.15
7,44.68,0.23,77,8.62,23.95,3.15,20.81,-1.32,4.34,3.24,-0.82,-1.2,0.95,0.64,0.68,0.2,0.1,0.54,0.15
8,44.08,0.15,85,20.21,27.48,5.05,22.42,-1.1,3.81,3.04,-0.67,-1.13,0.9,0.62,0.73,0.22,0.11,0.41,0.16
9,14.32,0.25,75,30.97,27.95,6.16,21.79,-0.12,0.18,0.72,-0.02,-0.34,0.12,0.45,0.71,0.41,0.09,0.69,0.17
10,-13.22,0.31,69,47.77,27.56,9.24,18.32,-0.6,1.53,1.77,-0.33,-0.53,0.3,0.35,0.56,0.39,0.1,0.37,0.15
11,-4.83,0.16,84,55.62,31.75,9.61,22.14,-1.1,3.47,2.65,-0.67,-0.98,0.86,0.51,0.62,0.21,0.11,0.51,0.14
12,48.03,0.23,77,5.88,27.34,3.16,24.18,-0.9,2.8,2.37,-0.54,-0.86,0.7,0.46,0.65,0.27,0.11,0.37,0.14
13,64.37,0.09,91,13.21,29.01,4.77,24.24,-0.46,1.29,1.35,-0.25,-0.54,0.38,0.43,0.72,0.28,0.09,0.43,0.15
14,44.83,0.2,80,12.95,28.32,5.67,22.65,-0.21,-0.25,-0.05,-0.05,-0.02,-0.05,0.09,0.41,0.46,0.1,0.62,0.15
15,23.38,0.23,77,26.05,31.95,7.69,24.26,-0.83,2.24,2.45,-0.47,-0.63,0.5,0.43,0.48,0.4,0.1,0.51,0.14
16,43.95,0.17,83,17.73,29.34,7.17,22.17,-0.45,1.46,0.85,-0.25,-0.69,0.57,0.41,0.82,0.31,0.1,0.62,0.14
17,47.78,0.2,80,10.62,25.64,4.26,21.38,-1.1,3.71,2.0,-0.66,-1.06,1.05,0.64,0.72,0.26,0.1,0.39,0.16
18,42.49,0.15,85,21.39,29.63,6.57,23.06,-1.18,4.02,3.63,-0.74,-1.24,0.95,0.62,0.79,0.19,0.11,0.44,0.15
19,43.0,0.19,81,15.78,27.71,6.03,21.68,-0.17,-0.33,0.04,-0.03,-0.03,-0.07,0.14,0.44,0.41,0.1,0.63,0.16
20,43.65,0.14,86,21.77,29.48,6.87,22.6,-0.97,3.28,2.2,-0.57,-0.97,0.76,0.58,0.71,0.27,0.1,0.35,0.15
21,37.46,0.14,86,26.3,33.24,6.96,26.28,-0.18,-0.3,-0.01,-0.04,-0.05,-0.1,0.1,0.45,0.45,0.1,0.6,0.98
22,62.0,0.18,82,2.54,27.82,1.77,26.05,-0.87,2.69,3.43,-0.53,-0.85,0.58,0.51,0.67,0.23,0.1,0.31,0.26
23,30.6,0.16,84,29.05,33.1,7.79,25.31,-0.34,0.46,0.45,-0.14,-0.2,0.12,0.21,0.48,0.37,0.1,0.53,0.31
24,30.52,0.07,93,38.58,33.81,7.31,26.49,-0.72,2.2,1.99,-0.41,-0.72,0.32,0.45,0.63,0.29,0.1,0.27,0.65
25,18.33,0.19,81,34.96,31.26,8.59,22.67,-0.4,0.92,1.55,-0.22,-0.47,0.22,0.28,0.65,0.31,0.1,0.4,0.98
