episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,32.77,0.24,76,11.54,29.12,5.62,23.5,0.57,0.07,-0.03,0.48,0.01,-0.16,2.6,1.84,2.53,6.97,0.2,0.13
2,48.22,0.18,82,21.12,26.63,5.07,21.56,0.15,0.7,4.95,0.17,-1.53,1.18,3.32,2.66,3.42,9.39,0.03,0.15
3,55.02,0.16,84,8.24,26.79,3.29,23.5,0.1,0.79,5.57,0.13,-1.74,1.63,3.4,2.81,3.48,9.69,0.15,0.15
4,38.32,0.21,79,28.27,30.5,7.49,23.01,0.17,0.7,4.25,0.18,-1.62,1.2,3.22,2.56,3.39,9.16,0.18,0.14
5,44.4,0.15,85,34.33,31.71,7.15,24.56,0.41,0.38,1.79,0.34,-0.9,0.62,2.82,2.18,2.86,7.86,0.17,0.14
6,35.39,0.22,78,19.9,26.08,5.51,20.56,0.65,0.01,0.04,0.5,-0.17,-0.12,2.24,1.77,2.17,6.18,0.03,0.12
7,41.93,0.21,79,9.91,26.52,3.43,23.09,0.35,0.4,2.86,0.31,-0.83,0.71,2.91,2.23,2.84,7.98,0.19,0.16
8,42.89,0.21,79,17.77,27.13,5.06,22.08,0.16,0.7,4.37,0.17,-1.51,1.24,3.29,2.67,3.42,9.38,0.14,0.12
9,34.48,0.2,80,31.07,29.82,6.24,23.58,0.43,0.3,1.25,0.37,-0.6,0.48,2.76,2.15,2.65,7.56,0.18,0.13
10,24.75,0.24,76,48.42,29.88,9.27,20.61,0.3,0.49,2.69,0.27,-1.02,0.9,2.74,2.24,2.93,7.91,0.1,0.14
11,26.49,0.21,79,55.09,30.59,9.58,21.01,0.58,0.06,-0.01,0.48,0.0,-0.15,2.29,1.85,2.46,6.6,0.06,0.12
12,32.57,0.27,73,5.53,24.57,3.01,21.56,0.35,0.4,1.51,0.32,-0.7,0.71,2.94,2.2,3.04,8.19,0.19,0.13
13,38.44,0.23,77,13.25,25.81,4.74,21.06,0.31,0.47,2.59,0.28,-1.01,0.75,2.94,2.33,3.06,8.32,0.11,0.12
14,44.4,0.2,80,14.6,27.38,5.9,21.48,0.27,0.54,3.74,0.25,-1.2,0.91,3.08,2.45,3.09,8.61,0.08,0.14
15,29.36,0.24,76,23.72,28.57,7.18,21.39,0.65,0.02,0.06,0.51,-0.15,-0.13,2.17,1.68,2.1,5.96,0.14,0.12
16,48.17,0.18,82,16.49,29.04,6.92,22.12,0.2,0.66,3.77,0.2,-1.5,1.28,3.11,2.42,3.24,8.77,0.09,0.12
17,29.58,0.28,72,12.36,24.65,4.74,19.92,0.49,0.21,1.4,0.4,-0.43,0.19,2.85,2.36,2.67,7.88,0.12,0.12
18,36.61,0.21,79,21.47,27.87,6.8,21.06,0.52,0.2,0.78,0.42,-0.53,0.45,2.28,1.85,2.37,6.49,0.07,0.14
19,39.6,0.22,78,16.31,26.72,6.21,20.51,0.33,0.48,2.78,0.29,-1.11,0.79,2.96,2.35,2.85,8.15,0.01,0.12
20,27.55,0.28,72,20.28,25.78,6.53,19.25,0.44,0.31,0.9,0.37,-0.68,0.54,2.76,2.07,2.78,7.61,0.06,0.14
21,31.35,0.22,78,25.72,31.79,6.71,25.08,0.58,0.06,-0.01,0.47,-0.02,-0.14,2.37,2.01,2.36,6.74,0.27,0.8
22,71.42,0.06,94,2.49,28.81,1.74,27.06,0.27,0.54,3.95,0.24,-1.23,0.88,2.9,2.32,3.01,8.23,0.18,0.19
23,52.5,0.12,88,29.89,34.97,7.99,26.98,0.01,0.94,5.79,0.07,-2.09,1.85,3.5,2.81,3.69,10.0,0.2,0.14
24,43.72,0.17,83,36.82,29.46,7.32,22.14,0.29,0.49,3.39,0.26,-0.98,0.81,3.08,2.46,3.16,8.7,0.08,0.15
25,49.34,0.12,88,37.64,31.91,8.71,23.2,0.27,0.52,2.64,0.26,-0.99,0.96,3.0,2.3,3.07,8.36,0.05,0.14
26,63.85,0.1,90,3.33,26.37,2.28,24.09,0.37,0.35,1.38,0.33,-0.57,0.42,2.74,2.18,2.74,7.67,0.09,0.14
27,59.81,0.08,92,18.41,35.2,6.74,28.46,0.36,0.42,2.38,0.31,-0.89,0.72,2.76,2.29,2.92,7.98,0.22,0.15
28,30.49,0.21,79,29.41,33.0,6.82,26.18,0.53,0.15,0.73,0.44,-0.26,0.12,2.34,1.82,2.34,6.51,0.28,0.15
29,50.89,0.13,87,18.48,33.37,7.14,26.23,0.55,0.08,0.0,0.46,0.02,-0.15,2.58,1.9,2.59,7.06,0.22,0.16
