episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,34.32,0.24,76,11.22,27.88,5.48,22.39,0.43,0.31,0.57,0.38,-0.49,0.62,2.71,2.0,2.36,7.07,0.19,0.19
2,41.92,0.19,81,14.47,27.06,4.17,22.89,0.5,0.26,0.8,0.43,-0.42,0.53,2.31,1.6,2.21,6.12,0.16,0.21
3,44.98,0.18,82,10.93,25.87,3.82,22.05,0.58,0.3,0.71,0.55,-0.06,0.54,2.32,1.65,1.84,5.8,0.08,0.19
4,36.89,0.18,82,25.37,29.02,6.87,22.15,0.71,0.06,0.02,0.62,0.32,-0.09,2.07,1.22,1.78,5.07,0.1,0.36
5,45.68,0.16,84,25.57,28.55,6.2,22.36,0.39,0.5,1.97,0.39,-0.69,0.71,3.06,2.3,2.82,8.18,0.07,0.34
6,48.28,0.15,85,22.68,28.36,5.71,22.66,0.36,0.44,2.0,0.33,-0.88,1.07,2.51,1.86,2.46,6.82,0.07,0.34
7,36.91,0.21,79,10.7,25.24,3.62,21.62,0.72,0.07,-0.07,0.65,0.47,-0.09,1.96,1.4,1.47,4.84,0.11,0.33
8,32.52,0.23,77,20.29,26.95,4.64,22.31,0.51,0.23,0.88,0.43,-0.39,0.53,2.29,1.61,2.27,6.17,0.18,0.33
9,27.73,0.24,76,26.09,28.68,5.61,23.08,0.5,0.32,0.64,0.46,-0.41,0.76,2.21,1.6,2.01,5.83,0.22,0.26
10,31.92,0.17,83,48.19,31.91,9.26,22.65,0.81,0.07,-0.13,0.75,0.7,-0.24,2.11,1.22,1.35,4.68,0.11,0.18
11,24.2,0.2,80,56.4,31.02,9.64,21.38,0.79,0.07,-0.1,0.73,0.67,-0.19,2.0,1.39,1.44,4.82,0.08,0.3
12,37.31,0.24,76,5.62,26.76,3.05,23.71,0.26,0.62,2.02,0.27,-1.14,1.26,3.12,2.46,3.0,8.58,0.22,0.34
13,40.72,0.2,80,9.05,25.73,3.86,21.88,0.71,0.07,-0.09,0.65,0.48,-0.15,2.26,1.6,1.6,5.46,0.11,0.34
14,38.3,0.19,81,16.54,28.9,6.38,22.52,0.72,0.22,0.38,0.7,0.42,0.17,2.17,1.33,1.74,5.25,0.14,0.4
15,45.3,0.16,84,21.87,30.51,7.01,23.5,0.49,0.53,1.46,0.52,-0.34,0.83,2.81,1.96,2.26,7.04,0.15,0.35
16,35.31,0.2,80,19.2,29.42,7.25,22.18,0.8,0.06,-0.03,0.73,0.59,-0.07,1.75,1.08,1.46,4.29,0.13,0.34
17,37.24,0.19,81,12.72,26.85,4.72,22.12,0.8,0.06,-0.07,0.73,0.62,-0.01,1.57,0.98,1.28,3.83,0.1,0.31
18,34.9,0.21,79,17.85,27.69,5.99,21.7,0.66,0.06,-0.11,0.59,0.29,-0.11,2.15,1.66,1.67,5.48,0.12,0.32
19,45.18,0.19,81,15.28,28.04,5.75,22.3,0.18,0.74,1.67,0.2,-1.56,1.85,3.07,2.47,3.07,8.62,0.12,0.32
20,45.64,0.15,85,21.93,30.38,6.97,23.41,0.55,0.3,0.66,0.51,-0.19,0.53,2.19,1.49,1.84,5.52,0.13,0.33
21,42.74,0.14,86,28.59,35.12,7.3,27.81,0.69,0.1,-0.02,0.63,0.4,-0.11,2.49,1.77,1.95,6.21,0.22,1.28
22,52.2,0.13,87,2.41,28.37,1.71,26.67,0.53,0.28,0.96,0.47,-0.39,0.6,1.98,1.3,1.76,5.03,0.23,0.13
23,49.37,0.12,88,27.07,32.1,7.31,24.8,0.41,0.36,1.41,0.36,-0.73,0.73,2.38,1.76,2.33,6.47,0.16,0.13
24,48.42,0.1,90,35.07,31.47,7.47,24.0,0.51,0.24,0.43,0.44,-0.38,0.53,1.9,1.17,1.89,4.96,0.08,0.13
25,50.33,0.11,89,35.6,32.7,8.61,24.09,0.5,0.52,1.31,0.53,-0.32,0.85,2.72,1.92,2.29,6.93,0.1,0.13
26,54.13,0.12,88,3.3,27.51,2.26,25.25,0.63,0.22,0.74,0.57,0.0,0.35,1.92,1.17,1.73,4.82,0.15,0.12
27,39.55,0.17,83,15.3,32.74,6.28,26.46,0.81,0.08,-0.23,0.77,0.82,-0.29,2.07,1.37,1.14,4.59,0.26,0.13
28,34.74,0.18,82,32.83,34.35,6.98,27.37,0.5,0.47,1.45,0.52,-0.29,0.75,2.74,1.96,2.33,7.04,0.29,0.12
29,44.47,0.15,85,20.59,34.24,7.39,26.85,0.62,0.41,1.29,0.64,0.12,0.47,2.58,1.65,1.85,6.07,0.24,0.15
30,49.01,0.11,89,31,33.56,6.64,26.92,0.4,0.43,1.73,0.38,-0.66,0.79,2.88,2.18,2.54,7.6,0.22,0.13
31,49.29,0.12,88,32.68,31.24,7.47,23.77,0.46,0.43,2.19,0.46,-0.43,0.59,2.86,2.06,2.42,7.34,0.1,0.13
32,38.45,0.16,84,28.37,31.11,7.18,23.93,0.64,0.05,-0.02,0.55,0.16,0.0,1.86,1.19,1.61,4.66,0.16,0.13
33,39.49,0.11,89,55.73,33.16,9.61,23.55,0.87,0.09,-0.17,0.84,0.99,-0.35,2.46,1.6,1.53,5.58,0.06,0.12
34,51.38,0.13,87,3.7,29.98,2.44,27.54,0.75,0.16,0.27,0.72,0.58,-0.07,2.4,1.68,1.71,5.79,0.26,0.13
35,54.72,0.1,90,25.2,31.47,6.07,25.4,0.34,0.61,1.7,0.36,-0.94,1.4,2.69,2.06,2.48,7.22,0.15,0.13
36,40.95,0.17,83,25.3,27.91,6.1,21.81,0.5,0.28,0.75,0.43,-0.43,0.67,2.06,1.39,1.98,5.42,0.03,0.14
37,52.94,0.08,92,32.7,32.48,8.41,24.07,0.67,0.07,-0.11,0.61,0.39,-0.14,2.25,1.5,1.6,5.35,0.03,0.13
38,48.54,0.14,86,6.42,28.67,3.42,25.26,0.69,0.04,0.03,0.59,0.19,0.03,1.81,1.21,1.69,4.71,0.2,0.12
39,54.89,0.11,89,22.25,30.04,5.81,24.22,0.57,0.24,0.33,0.52,-0.09,0.33,2.71,2.08,2.38,7.17,0.12,0.13
40,58.86,0.13,87,9.59,26.07,3.27,22.8,0.19,0.73,2.71,0.2,-1.52,1.68,2.84,2.16,2.98,7.98,0.03,0.14
41,53.47,0.12,88,10.11,29.99,3.56,26.43,0.43,0.36,0.99,0.38,-0.65,0.8,2.32,1.68,2.3,6.3,0.21,0.74
42,69.21,0.04,96,9.02,30.76,5.03,25.73,0.5,0.29,0.81,0.43,-0.47,0.68,2.26,1.58,2.17,6.01,0.09,0.13
43,46.01,0.11,89,39.27,36.37,8.37,28.0,0.43,0.5,1.68,0.44,-0.56,0.93,2.72,2.08,2.43,7.22,0.26,0.16
44,53.49,0.09,91,18.51,34.08,6.12,27.96,0.62,0.06,-0.09,0.52,0.13,-0.06,1.85,1.14,1.59,4.58,0.22,0.2
45,52.99,0.06,94,39.57,33.54,8.35,25.19,0.72,0.07,-0.06,0.64,0.44,-0.1,2.17,1.4,1.68,5.26,0.09,0.21
46,57.33,0.07,93,10.71,36.33,5.77,30.56,0.69,0.1,0.19,0.62,0.3,-0.0,2.04,1.29,1.6,4.93,0.28,0.18
47,53.91,0.07,93,35.44,32.09,6.99,25.1,0.6,0.36,0.54,0.6,-0.0,0.67,2.5,1.64,2.01,6.16,0.1,0.19
48,39.62,0.1,90,43.6,37.71,8.68,29.02,0.77,0.05,-0.01,0.69,0.47,-0.04,1.73,0.89,1.4,4.02,0.26,0.2
49,54.56,0.08,92,20.78,31.14,6.6,24.54,0.79,0.06,-0.05,0.72,0.57,-0.09,1.8,0.96,1.35,4.11,0.08,0.2
50,60.72,0.09,91,10.2,27.71,3.49,24.22,0.47,0.32,0.62,0.41,-0.54,0.89,2.18,1.56,2.16,5.9,0.08,0.21
51,59.44,0.1,90,3.77,30.12,2.38,27.73,0.23,0.65,2.74,0.24,-1.33,1.48,2.82,2.12,2.86,7.8,0.23,0.19
52,65.92,0.07,93,21.1,28.9,4.27,24.62,0.23,0.77,2.18,0.29,-1.26,1.86,3.04,2.4,2.78,8.23,0.07,0.24
53,46.64,0.08,92,35.75,36.32,7.03,29.28,0.6,0.31,0.74,0.58,-0.04,0.57,2.14,1.39,1.68,5.22,0.26,0.27
54,66.7,0.05,95,13.37,30.53,4.15,26.38,0.67,0.36,0.76,0.7,0.32,0.38,2.6,1.72,1.93,6.24,0.14,0.25
55,65.37,0.05,95,17.67,32.81,5.13,27.68,0.27,0.6,1.83,0.27,-1.21,1.46,2.75,2.06,2.77,7.58,0.19,0.24
56,66.6,0.07,93,14.26,31.06,5.23,25.83,0.16,0.74,1.99,0.19,-1.52,1.86,3.06,2.44,3.06,8.57,0.14,0.18
57,55.43,0.11,89,20,30.03,5.74,24.29,0.29,0.56,1.81,0.28,-1.12,1.25,2.88,2.13,2.83,7.84,0.12,0.18
58,64.41,0.07,93,6.63,28.78,3.52,25.27,0.52,0.33,0.63,0.48,-0.33,0.65,2.25,1.55,2.03,5.83,0.11,0.21
59,51.81,0.11,89,23.42,30.71,5.84,24.88,0.44,0.32,1.42,0.39,-0.56,0.6,2.35,1.63,2.25,6.22,0.13,0.2
60,65.32,0.06,94,18.83,28.72,4.17,24.55,0.54,0.3,0.38,0.51,-0.17,0.49,2.68,2.07,2.23,6.99,0.03,0.26
61,50.59,0.09,91,37.19,35.8,8.15,27.65,0.56,0.43,0.83,0.58,-0.07,0.66,2.7,1.96,2.13,6.79,0.22,0.33
62,62.67,0.07,93,6.26,29.56,3.35,26.22,0.6,0.22,0.36,0.55,0.02,0.34,2.17,1.39,1.75,5.31,0.16,1.74
63,59.55,0.08,92,13.52,31.84,6.47,25.37,0.43,0.33,0.81,0.37,-0.68,0.92,2.34,1.73,2.41,6.48,0.13,0.21
64,71.4,0.06,94,7.64,30.26,4.22,26.04,0.15,0.84,3.18,0.21,-1.57,1.81,3.26,2.53,3.14,8.93,0.14,0.2
65,51.21,0.04,96,31.46,41.92,7.6,34.31,0.82,0.07,-0.09,0.75,0.7,-0.15,1.71,0.96,1.19,3.85,0.34,0.19
66,53.81,0.07,93,38.84,32.55,7.18,25.38,0.5,0.21,0.45,0.44,-0.24,0.28,2.43,1.84,2.06,6.33,0.12,0.2
67,57.01,0.02,98,39.63,37.83,8.12,29.71,0.85,0.08,-0.15,0.83,0.95,-0.37,2.28,1.48,1.43,5.18,0.22,0.18
68,59.86,0.08,92,14.53,31.19,5.19,26.0,0.56,0.34,0.71,0.55,-0.11,0.53,2.5,1.76,2.01,6.27,0.16,0.2
69,55.91,0.05,95,32.24,35.03,6.63,28.4,0.61,0.05,-0.05,0.52,0.11,-0.06,2.28,1.67,1.87,5.83,0.21,0.18
70,57.23,0.09,91,23.38,32.27,6.58,25.69,0.47,0.36,1.1,0.43,-0.52,0.72,2.5,1.77,2.38,6.66,0.16,0.29
71,60.38,0.06,94,14.83,30.75,3.69,27.06,0.72,0.08,-0.21,0.67,0.59,-0.21,2.07,1.25,1.32,4.65,0.18,0.22
72,58.17,0.05,95,30,34.19,6.46,27.73,0.51,0.3,1.11,0.47,-0.29,0.49,2.41,1.7,2.06,6.18,0.19,0.18
73,56.5,0.09,91,6.82,33.02,3.55,29.47,0.54,0.18,0.66,0.45,-0.29,0.51,2.1,1.55,2.12,5.77,0.27,0.18
74,69.22,0.01,99,15.6,32.27,6.03,26.24,0.71,0.06,-0.07,0.63,0.42,-0.07,2.0,1.28,1.61,4.89,0.08,0.18
75,57.02,0.04,96,38.08,35.1,6.42,28.69,0.55,0.34,1.11,0.51,-0.23,0.6,2.25,1.57,1.98,5.8,0.19,0.22
76,65.58,0.05,95,12.53,36.11,6.3,29.81,0.37,0.44,1.72,0.33,-0.86,1.02,2.55,1.93,2.42,6.9,0.24,0.19
