episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
1,26.17,0.2,80,10,29.15,4.97,24.18,-0.28,-0.08,-0.1,-0.07,0.03,-0.12,0.09,0.25,0.5,0.46,0.7,0.13
2,32.84,0.18,82,26.59,67.79,5.87,61.93,-0.47,1.23,1.49,-0.25,-0.51,0.16,0.38,0.57,0.38,0.47,0.36,0.13
3,28.67,0.25,75,8.85,106.23,3.33,102.91,-0.59,1.39,1.01,-0.31,-0.46,0.37,0.32,0.52,0.33,0.44,0.43,0.19
4,28.3,0.22,78,22.96,149.33,6.76,142.56,-0.92,3.09,2.73,-0.56,-0.96,0.76,0.58,0.68,0.26,0.47,0.37,0.2
5,32.61,0.14,86,30.3,190.56,6.6,183.95,-1.2,4.05,4.11,-0.75,-1.23,0.85,0.69,0.76,0.21,0.49,0.44,0.2
6,30.62,0.2,80,18.6,230.25,5.25,225.0,-1.12,3.71,3.92,-0.71,-1.14,0.72,0.59,0.71,0.24,0.5,0.42,0.17
7,31.66,0.18,82,9.06,262.54,3.27,259.27,-1.67,6.03,5.83,-1.1,-1.77,1.17,0.92,0.93,0.08,0.5,0.67,0.17
8,29.26,0.21,79,23.06,305.75,5.27,300.48,-0.95,3.1,2.34,-0.56,-0.93,0.64,0.54,0.67,0.24,0.47,0.34,0.22
9,30.17,0.19,81,28.05,340.62,5.78,334.84,-0.61,1.84,1.64,-0.34,-0.66,0.43,0.46,0.69,0.3,0.47,0.34,0.14
10,9.89,0.22,78,45.95,391.49,9.15,382.33,-1.09,3.62,3.77,-0.68,-1.11,0.78,0.63,0.72,0.24,0.48,0.4,0.16
11,9.21,0.23,77,53.61,430.81,9.51,421.3,-0.7,2.14,2.02,-0.36,-0.63,0.43,0.53,0.51,0.4,0.46,0.28,0.12
