episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
1,25.0,0.2,80,10.86,28.46,5.33,23.12,-0.23,-0.17,-0.08,-0.04,0.04,-0.07,2.09,1.91,2.78,0.47,0.69,0.12
2,30.89,0.16,84,21.1,67.69,5.38,62.31,-0.85,2.31,1.87,-0.48,-0.6,0.31,2.71,2.36,2.46,0.49,0.6,0.17
3,42.6,0.19,81,10.54,107.2,3.8,103.41,-0.9,2.9,2.83,-0.55,-0.89,0.55,2.88,2.36,2.69,0.49,0.34,0.13
4,31.93,0.18,82,26.72,153.84,7.01,146.83,-0.94,3.11,3.07,-0.58,-1.0,0.67,2.76,2.24,2.88,0.48,0.37,0.12
5,28.7,0.12,88,30.14,193.01,6.53,186.48,-1.47,5.19,6.25,-0.98,-1.59,1.08,3.16,2.57,2.48,0.5,0.62,0.17
6,22.8,0.2,80,22.9,238.51,5.69,232.82,-1.22,3.97,2.73,-0.74,-1.09,1.07,2.86,2.39,2.68,0.49,0.52,0.2
7,19.85,0.23,77,12.64,271.49,4.12,267.38,-0.23,-0.15,0.01,-0.04,0.05,-0.09,2.23,2.08,2.47,0.47,0.72,0.5
8,23.42,0.19,81,21.11,313.25,5.23,308.02,-0.7,1.71,1.46,-0.38,-0.45,0.25,2.72,2.17,2.84,0.47,0.63,0.23
9,12.26,0.27,73,28.67,348.55,6.22,342.33,-0.38,0.63,0.65,-0.13,-0.2,0.08,1.97,1.74,2.88,0.45,0.5,0.12
10,9.21,0.23,77,46.13,392.62,9.16,383.45,-0.38,0.76,1.71,-0.18,-0.39,0.12,2.26,1.86,2.9,0.46,0.43,0.18
11,10.45,0.19,81,54.91,432.66,9.57,423.09,-0.84,2.54,3.03,-0.5,-0.8,0.51,2.65,2.06,2.83,0.46,0.3,0.12
12,27.14,0.22,78,5.22,462.81,2.87,459.95,-0.27,0.74,1.98,-0.12,-0.47,0.04,2.33,1.77,2.96,0.45,0.65,0.14
13,23.2,0.23,77,10.73,506.9,4.23,502.68,-1.56,5.55,5.67,-1.03,-1.66,1.28,3.12,2.46,2.61,0.48,0.64,0.15
14,14.23,0.26,74,16.05,546.2,6.15,540.05,-0.0,-0.56,-0.0,0.07,-0.09,-0.17,2.22,1.65,3.01,0.45,0.62,0.12
15,23.29,0.2,80,23.38,591.39,6.99,584.4,-1.2,4.45,2.71,-0.74,-1.36,1.07,3.19,2.48,2.94,0.5,0.56,0.14
16,20.52,0.22,78,17.85,624.23,7.21,617.03,-0.28,0.9,1.37,-0.09,-0.46,-0.05,2.46,1.68,3.12,0.45,0.65,0.14
17,32.62,0.23,77,10.03,663.61,4.23,659.38,-0.47,1.1,0.54,-0.22,-0.4,0.33,2.6,2.01,2.96,0.48,0.39,0.13
18,20.76,0.24,76,18.37,703.21,5.89,697.32,-1.16,3.7,2.81,-0.69,-0.99,0.7,2.76,2.34,2.74,0.48,0.5,0.13
19,29.74,0.22,78,16.23,734.04,6.4,727.64,-1.19,4.2,2.25,-0.73,-1.22,1.04,3.05,2.47,2.74,0.49,0.44,0.12
20,27.45,0.21,79,20.51,777.64,6.65,770.99,-0.61,1.82,1.89,-0.35,-0.7,0.44,2.66,2.05,3.02,0.48,0.42,0.13
21,25.84,0.16,84,29.02,834.89,7.27,827.62,-0.77,2.76,2.04,-0.44,-0.93,0.62,2.7,2.07,3.01,0.48,0.54,0.86
22,61.33,0.09,91,2.43,863.56,1.71,861.85,-0.66,1.73,2.63,-0.39,-0.59,0.37,2.68,2.38,2.54,0.49,0.42,0.13
23,27.85,0.16,84,28.31,893.2,7.61,885.6,-1.12,3.59,2.23,-0.67,-1.01,0.9,2.84,2.51,2.62,0.49,0.51,0.13
24,32.36,0.12,88,36.86,951.19,7.44,943.75,-0.54,1.53,1.84,-0.31,-0.63,0.32,2.73,2.19,2.89,0.48,0.37,0.12
25,32.07,0.14,86,34.23,995.15,8.54,986.6,-0.99,3.43,1.66,-0.58,-0.99,0.94,2.77,2.34,2.73,0.48,0.36,0.13
