episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
1,32.81,0.28,72,10.79,26.16,5.3,20.86,-0.58,1.52,2.15,-0.32,-0.53,0.28,0.38,0.58,0.39,0.47,0.33,0.12
2,36.05,0.17,83,23.73,67.11,5.81,61.3,-0.13,-0.33,-0.0,0.03,0.03,-0.11,0.18,0.42,0.53,0.46,0.59,0.12
3,42.11,0.23,77,10.73,102.05,3.79,98.26,-0.87,2.99,3.44,-0.54,-1.04,0.56,0.61,0.8,0.25,0.48,0.52,0.12
4,18.24,0.24,76,28.99,151.22,7.35,143.87,-1.09,3.4,2.21,-0.65,-0.94,0.95,0.5,0.6,0.26,0.49,0.52,0.13
5,35.73,0.17,83,23.98,181.96,5.92,176.05,-1.14,3.64,2.82,-0.69,-0.99,1.06,0.54,0.6,0.28,0.49,0.5,0.13
6,43.0,0.17,83,18.46,226.11,5.39,220.72,-0.52,1.25,1.09,-0.26,-0.43,0.4,0.29,0.46,0.39,0.48,0.42,0.13
7,58.56,0.13,87,12.18,259.65,4.02,255.63,-1.45,5.05,3.58,-0.91,-1.4,1.15,0.69,0.76,0.17,0.5,0.59,0.13
8,43.43,0.16,84,19.43,307.12,4.67,302.45,-0.97,3.15,2.95,-0.59,-1.0,0.82,0.52,0.71,0.27,0.5,0.36,0.13
9,13.32,0.28,72,27.85,346.83,5.75,341.08,-0.54,1.12,0.51,-0.25,-0.26,0.21,0.21,0.33,0.43,0.48,0.67,0.12
10,4.33,0.17,83,47.81,388.81,9.24,379.57,-0.68,1.6,1.2,-0.34,-0.38,0.28,0.24,0.36,0.43,0.48,0.64,0.13
11,-4.32,0.16,84,55.24,429.8,9.59,420.21,-0.04,-0.49,0.02,0.07,-0.05,-0.17,0.23,0.48,0.39,0.45,0.53,0.13
12,58.7,0.18,82,5.07,465.0,2.8,462.2,-0.58,1.48,1.58,-0.31,-0.49,0.25,0.35,0.52,0.33,0.47,0.4,0.13
13,35.79,0.27,73,9.81,509.29,4.0,505.29,-2.01,7.43,5.58,-1.32,-2.09,1.89,1.0,1.0,0.0,0.52,0.75,0.11
14,34.24,0.25,75,14.24,543.46,5.78,537.68,-1.09,3.73,2.55,-0.67,-1.11,0.85,0.6,0.76,0.21,0.5,0.4,0.12
15,33.86,0.2,80,21.59,589.11,6.81,582.3,-1.22,3.93,3.33,-0.75,-1.09,0.78,0.59,0.64,0.25,0.48,0.52,0.14
16,38.94,0.21,79,16.2,619.99,6.91,613.09,-0.62,1.89,1.7,-0.36,-0.69,0.61,0.42,0.72,0.25,0.44,0.38,0.12
17,38.06,0.24,76,12.55,659.54,4.43,655.11,-0.92,3.01,2.53,-0.54,-0.9,0.62,0.54,0.64,0.34,0.48,0.34,0.11
18,27.6,0.23,77,22.6,701.19,6.98,694.21,-1.16,3.98,3.01,-0.71,-1.17,1.06,0.68,0.74,0.29,0.49,0.44,0.16
19,37.35,0.21,79,17.47,740.42,6.42,734.0,-0.59,1.48,1.06,-0.33,-0.52,0.41,0.3,0.6,0.29,0.48,0.4,0.16
20,41.59,0.16,84,20.81,780.45,6.74,773.71,-1.17,3.68,3.54,-0.73,-1.06,0.9,0.57,0.62,0.2,0.5,0.51,0.15
21,34.08,0.16,84,26.44,819.01,6.93,812.07,-0.69,2.17,1.97,-0.39,-0.72,0.46,0.46,0.63,0.29,0.47,0.29,0.7
22,73.84,0.12,88,2.55,867.98,1.77,866.2,-1.27,4.36,2.78,-0.77,-1.2,1.1,0.65,0.66,0.19,0.48,0.5,0.12
23,36.6,0.13,87,28.08,906.82,7.55,899.26,-0.5,1.2,1.63,-0.28,-0.49,0.21,0.31,0.59,0.3,0.48,0.36,0.12
24,33.81,0.1,90,33.33,957.61,7.14,950.47,-0.37,0.92,1.53,-0.19,-0.46,0.12,0.36,0.63,0.4,0.48,0.44,0.12
25,25.59,0.12,88,37.09,1002.22,8.67,993.55,-1.5,5.23,3.42,-0.94,-1.45,1.26,0.73,0.8,0.15,0.5,0.6,0.13
26,82.52,0.07,93,3.35,1044.59,2.29,1042.3,-0.17,-0.3,0.09,-0.04,-0.03,-0.05,0.15,0.46,0.33,0.45,0.61,0.13
27,50.11,0.13,87,18.3,1102.56,6.49,1096.07,-0.2,0.19,0.3,-0.07,-0.27,0.27,0.29,0.62,0.36,0.44,0.5,0.12
28,43.48,0.1,90,26.57,1152.48,6.59,1145.89,-0.38,0.8,0.98,-0.16,-0.28,0.07,0.27,0.43,0.43,0.46,0.46,0.14
29,48.35,0.13,87,19.57,1181.28,7.28,1174.0,-1.31,4.69,4.0,-0.84,-1.45,1.12,0.75,0.92,0.15,0.5,0.58,0.12
30,45.76,0.15,85,18.96,1205.5,5.41,1200.09,-0.99,3.57,2.52,-0.61,-1.13,1.02,0.69,0.87,0.16,0.46,0.51,0.14
31,34.14,0.15,85,27.58,1262.84,7.02,1255.81,-1.21,3.96,2.86,-0.74,-1.13,0.97,0.55,0.68,0.14,0.5,0.52,0.15
32,33.25,0.19,81,23.36,1324.19,6.51,1317.68,-0.13,-0.32,-0.06,0.03,0.02,-0.09,0.17,0.33,0.49,0.44,0.56,0.12
33,-2.3,0.15,85,54.59,1347.44,9.56,1337.88,-0.5,1.57,2.27,-0.27,-0.67,0.21,0.58,0.76,0.34,0.45,0.6,0.13
34,74.08,0.11,89,3.78,1383.93,2.51,1381.42,-0.41,1.01,1.56,-0.19,-0.45,0.19,0.43,0.61,0.4,0.44,0.42,0.14
35,26.25,0.18,82,30,1430.91,6.88,1424.02,-0.08,-0.39,0.07,0.03,-0.06,-0.21,0.17,0.49,0.38,0.46,0.53,0.12
