#{"t_start": 1737639954.5762222, "env_id": "None"}
r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,qoe,gini,executionTime
37.928574,100,0.654664,0.59,0.0,37.93,0.2,80.0,10.82,27.43,5.3,22.12,7.25,0.13,0.0
30.378965,100,0.841887,-1.0,4.0,30.38,0.21,79.0,22.13,26.87,5.55,21.32,7.63,0.09,0.15
48.781734,100,1.005222,0.7,0.0,48.78,0.15,85.0,11.08,26.23,3.88,22.35,7.93,0.04,0.18
26.32143,100,1.159745,0.76,1.0,26.32,0.24,76.0,28.51,30.23,7.62,22.61,9.13,0.18,0.16
26.595236,100,1.291779,0.91,3.0,26.6,0.24,76.0,23.5,27.67,5.59,22.08,8.26,0.18,0.15
24.363108,100,1.47051,0.46,1.0,24.36,0.26,74.0,22.16,25.53,5.74,19.78,8.36,0.07,0.12
35.827377,100,1.668492,-1.0,4.0,35.83,0.21,79.0,10.11,27.43,3.53,23.9,7.0,0.21,0.17
28.198416,100,2.041265,0.87,0.0,28.2,0.23,77.0,20.31,25.85,5.12,20.73,7.64,0.09,0.19
14.561507,100,2.53071,-1.0,4.0,14.56,0.26,74.0,33.46,28.8,6.55,22.24,7.34,0.21,0.36
9.113095,100,3.090969,0.33,1.0,9.11,0.23,77.0,47.79,30.07,9.24,20.83,6.92,0.09,0.47
4.7876983,100,3.583478,0.46,2.0,4.79,0.26,74.0,55.35,29.89,9.59,20.3,8.34,0.11,0.53
39.065468,100,3.978563,0.55,2.0,39.07,0.18,82.0,7.37,28.82,3.79,25.02,5.91,0.22,0.47
29.41271,100,4.31416,0.74,1.0,29.41,0.24,76.0,11.37,24.7,4.43,20.26,6.84,0.07,0.38
41.553566,100,4.615697,0.85,0.0,41.55,0.2,80.0,15.55,27.13,5.88,21.25,9.24,0.06,0.32
32.549614,100,4.929686,0.5,2.0,32.55,0.19,81.0,23.8,31.27,7.44,23.83,7.62,0.18,0.29
44.26587,100,5.078151,0.8,3.0,44.27,0.17,83.0,15.9,29.95,6.8,23.16,8.55,0.14,0.31
